KO Id	Name	Count
K01959	pycA; pyruvate carboxylase subunit A	24
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	16
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	4
K02031	ddpD; peptide/nickel transport system ATP-binding protein	10
K02032	ddpF; peptide/nickel transport system ATP-binding protein	9
K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	81
K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	135
K10125	dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB	48
K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	72
K02010	afuC, fbpC; iron(III) transport system ATP-binding protein	4
K02791	malX; maltose/glucose PTS system EIICB component	21
K13004	wbtD; galacturonosyltransferase WbtD	6
K11192	murP; N-acetylmuramic acid PTS system EIICB component	12
K02056	ABC.SS.A; simple sugar transport system ATP-binding protein	44
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	6
K00314	SARDH; sarcosine dehydrogenase	2
K09817	znuC; zinc transport system ATP-binding protein	2
K00265	gltB; glutamate synthase (NADPH) large chain	8
K02013	ABC.FEV.A; iron complex transport system ATP-binding protein	2
K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	20
K01897	ACSL, fadD; long-chain acyl-CoA synthetase	12
K00360	nasB; assimilatory nitrate reductase electron transfer subunit	4
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2)	2
K00248	ACADS, bcd; butyryl-CoA dehydrogenase	18
K02768	fruB; fructose PTS system EIIA component	301
K11183	fruB, fpr; multiphosphoryl transfer protein	10
K01840	manB; phosphomannomutase	16
K11072	potA; spermidine/putrescine transport system ATP-binding protein	5
K01586	lysA; diaminopimelate decarboxylase	6
K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase	1
K03574	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase	4
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	7
K12047	MGAM; maltase-glucoamylase	5
K01426	E3.5.1.4, amiE; amidase	30
K01270	pepD; dipeptidase D	2
K00128	ALDH; aldehyde dehydrogenase (NAD+)	72
K01200	pulA; pullulanase	3
K01439	dapE; succinyl-diaminopimelate desuccinylase	2
K00669	AANAT; arylalkylamine N-acetyltransferase	1
K01658	trpG; anthranilate synthase component II	224
K01187	malZ; alpha-glucosidase	8
K04757	rsbW; serine/threonine-protein kinase RsbW	30
K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	52
K00155	LNAA, LNBA; L-tyrosine reductase	5
K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	30
K08884	K08884; serine/threonine protein kinase, bacterial	72
K02482	flgS; two-component system, NtrC family, sensor kinase	99
K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	78
K11188	PRDX6; peroxiredoxin 6	15
K00430	E1.11.1.7; peroxidase	9
K01692	paaF, echA; enoyl-CoA hydratase	120
K01179	E3.2.1.4; endoglucanase	4
K01835	pgm; phosphoglucomutase	20
K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit	30
