	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
GCA_029887335.1_OP880254.1_1	GCA_029887335.1	OP880254.1	1	717	1565	1	E				0
GCA_029887335.1_OP880254.1_2	GCA_029887335.1	OP880254.1	2	1597	1848	1	E				0
GCA_029887335.1_OP880254.1_3	GCA_029887335.1	OP880254.1	3	1878	2528	-1	C	K14060	putative DNA-invertase from lambdoid prophage Rac	Resolvase, N terminal domain [PF00239.24]	0
GCA_029887335.1_OP880254.1_4	GCA_029887335.1	OP880254.1	4	2796	3116	-1	E				0
GCA_029887335.1_OP880254.1_5	GCA_029887335.1	OP880254.1	5	3144	3581	-1	E				0
GCA_029887335.1_OP880254.1_6	GCA_029887335.1	OP880254.1	6	3544	3714	-1	E				0
GCA_029887335.1_OP880254.1_7	GCA_029887335.1	OP880254.1	7	3728	4060	-1	E				0
GCA_029887335.1_OP880254.1_8	GCA_029887335.1	OP880254.1	8	4066	4185	-1	E				0
GCA_029887335.1_OP880254.1_9	GCA_029887335.1	OP880254.1	9	4192	4377	-1	E				0
GCA_029887335.1_OP880254.1_10	GCA_029887335.1	OP880254.1	10	4469	4684	-1	E				0
GCA_029887335.1_OP880254.1_11	GCA_029887335.1	OP880254.1	11	4651	4893	-1	E				0
GCA_029887335.1_OP880254.1_12	GCA_029887335.1	OP880254.1	12	4890	5126	-1	E				0
GCA_029887335.1_OP880254.1_13	GCA_029887335.1	OP880254.1	13	5123	5338	-1	E				0
GCA_029887335.1_OP880254.1_14	GCA_029887335.1	OP880254.1	14	5335	5931	-1	E				0
GCA_029887335.1_OP880254.1_15	GCA_029887335.1	OP880254.1	15	5928	7211	-1	E				0
GCA_029887335.1_OP880254.1_16	GCA_029887335.1	OP880254.1	16	7216	7863	-1	E				0
GCA_029887335.1_OP880254.1_17	GCA_029887335.1	OP880254.1	17	7870	8253	-1	E				0
GCA_029887335.1_OP880254.1_18	GCA_029887335.1	OP880254.1	18	8255	11098	-1	D			Carboxypeptidase regulatory-like domain [PF13620.9]	0
GCA_029887335.1_OP880254.1_19	GCA_029887335.1	OP880254.1	19	11095	11409	-1	E				0
GCA_029887335.1_OP880254.1_20	GCA_029887335.1	OP880254.1	20	11413	11688	-1	E				0
GCA_029887335.1_OP880254.1_21	GCA_029887335.1	OP880254.1	21	11675	11944	-1	E				0
GCA_029887335.1_OP880254.1_22	GCA_029887335.1	OP880254.1	22	11951	14344	-1	E				0
GCA_029887335.1_OP880254.1_23	GCA_029887335.1	OP880254.1	23	14351	14449	-1	E				0
GCA_029887335.1_OP880254.1_24	GCA_029887335.1	OP880254.1	24	14446	15147	-1	E				0
GCA_029887335.1_OP880254.1_25	GCA_029887335.1	OP880254.1	25	15144	15557	-1	E				0
GCA_029887335.1_OP880254.1_26	GCA_029887335.1	OP880254.1	26	15554	16228	-1	E				0
GCA_029887335.1_OP880254.1_27	GCA_029887335.1	OP880254.1	27	16240	17166	-1	E				0
GCA_029887335.1_OP880254.1_28	GCA_029887335.1	OP880254.1	28	17163	17534	-1	E				0
GCA_029887335.1_OP880254.1_29	GCA_029887335.1	OP880254.1	29	17544	18152	-1	E				0
GCA_029887335.1_OP880254.1_30	GCA_029887335.1	OP880254.1	30	18173	18550	-1	E				0
GCA_029887335.1_OP880254.1_31	GCA_029887335.1	OP880254.1	31	18540	18776	-1	E				0
GCA_029887335.1_OP880254.1_32	GCA_029887335.1	OP880254.1	32	18727	20220	-1	E				0
GCA_029887335.1_OP880254.1_33	GCA_029887335.1	OP880254.1	33	20217	20450	-1	E				0
GCA_029887335.1_OP880254.1_34	GCA_029887335.1	OP880254.1	34	20514	21113	-1	E				0
GCA_029887335.1_OP880254.1_35	GCA_029887335.1	OP880254.1	35	21094	21405	-1	E				0
GCA_029887335.1_OP880254.1_36	GCA_029887335.1	OP880254.1	36	21492	21719	-1	E				0
GCA_029887335.1_OP880254.1_37	GCA_029887335.1	OP880254.1	37	21694	22038	-1	E				0
GCA_029887335.1_OP880254.1_38	GCA_029887335.1	OP880254.1	38	22025	22294	-1	E				0
GCA_029887335.1_OP880254.1_39	GCA_029887335.1	OP880254.1	39	22233	22406	-1	E				0
GCA_029887335.1_OP880254.1_40	GCA_029887335.1	OP880254.1	40	22393	22647	-1	E				0
GCA_029887335.1_OP880254.1_41	GCA_029887335.1	OP880254.1	41	22654	22881	-1	E				0
GCA_029887335.1_OP880254.1_42	GCA_029887335.1	OP880254.1	42	22829	23173	-1	E				0
GCA_029887335.1_OP880254.1_43	GCA_029887335.1	OP880254.1	43	23154	23372	-1	E				0
GCA_029887335.1_OP880254.1_44	GCA_029887335.1	OP880254.1	44	23514	23696	-1	E				0
GCA_029887335.1_OP880254.1_45	GCA_029887335.1	OP880254.1	45	23700	24110	-1	E				0
GCA_029887335.1_OP880254.1_46	GCA_029887335.1	OP880254.1	46	24221	24403	1	E				0
GCA_029887335.1_OP880254.1_47	GCA_029887335.1	OP880254.1	47	24772	25311	1	E				0
