	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_022328.1_1	NC_022328.1	NC_022328.1	1	1	798	1	E			YP_008530881.1	YP_008530881.1 ParB-like partition protein [Mycobacterium phage Adawi]	True	0.94	512	2.209e-164		VOG02645	sp|P77174|YBDM_ECOLI Uncharacterized protein YbdM; Xu	Xu	0	False	F
NC_022328.1_2	NC_022328.1	NC_022328.1	2	785	1753	1	E			YP_008530882.1	YP_008530882.1 queuine tRNA-ribosyltransferase [Mycobacterium phage Adawi]	True	0.978	666	1.803e-216		VOG08448	REFSEQ queuine tRNA-ribosyltransferase; Xu	Xu	0	False	F
NC_022328.1_3	NC_022328.1	NC_022328.1	3	1807	2391	1	D			YP_008530883.1	YP_008530883.1 terminase small subunit [Mycobacterium phage Adawi]	True	0.938	384	3.44e-121	P-loop Nucleotide Kinase3 [PF18751.4]	VOG01544	sp|E1XT70|HMUD1_BPSAV 5-hmdU DNA kinase 1; Xp	Xp	0	False	F
NC_022328.1_4	NC_022328.1	NC_022328.1	4	2384	4132	1	D			YP_008530884.1	YP_008530884.1 terminase large subunit [Mycobacterium phage Adawi]	True	0.964	1182	0.0	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
NC_022328.1_5	NC_022328.1	NC_022328.1	5	4129	4695	-1	C	K01159	crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]	YP_008530885.1	YP_008530885.1 RuvC-like Holliday junction resolvase [Mycobacterium phage Adawi]	True	0.967	385	1.004e-121	Crossover junction endodeoxyribonuclease RuvC [PF02075.20]	VOG00053	sp|P13004|YLYS_BPPHV Uncharacterized protein near lysin gene (Fragment); Xu	Xu	0	False	F
NC_022328.1_6	NC_022328.1	NC_022328.1	6	4730	5164	1	D			YP_008530886.1	YP_008530886.1 hypothetical protein ADAWI_6 [Mycobacterium phage Adawi]	False	0.964	294	4.079e-91	Protein of unknown function (DUF1360) [PF07098.14]	VOG02149	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_022328.1_7	NC_022328.1	NC_022328.1	7	5194	7086	1	E			YP_008530887.1	YP_008530887.1 portal protein [Mycobacterium phage Adawi]	True	0.949	1257	0.0		VOG03866	REFSEQ portal protein; Xu	Xu	0	False	
NC_022328.1_8	NC_022328.1	NC_022328.1	8	7184	9709	1	E			YP_008530888.1	YP_008530888.1 portal protein [Mycobacterium phage Adawi]	True	0.942	1663	0.0		VOG02585	sp|Q04765|VSP1_BPLLH Structural protein; Xs	Xs	0	False	V
NC_022328.1_9	NC_022328.1	NC_022328.1	9	9709	9933	1	E			YP_008530889.1	YP_008530889.1 hypothetical protein ADAWI_9 [Mycobacterium phage Adawi]	False	1.0	161	3.2550000000000003e-46		VOG01005	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_022328.1_10	NC_022328.1	NC_022328.1	10	10044	11843	1	E			YP_008530890.1	YP_008530890.1 major head protein [Mycobacterium phage Adawi]	True	0.941	1184	0.0		VOG08450	REFSEQ major head protein; Xu	Xu	0	False	
NC_022328.1_11	NC_022328.1	NC_022328.1	11	11939	12730	1	E			YP_008530891.1	YP_008530891.1 hypothetical protein ADAWI_11 [Mycobacterium phage Adawi]	True	0.977	544	3.07e-175		VOG04109	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_022328.1_12	NC_022328.1	NC_022328.1	12	12742	13599	1	E			YP_008530892.1	YP_008530892.1 hypothetical protein ADAWI_12 [Mycobacterium phage Adawi]	True	0.938	563	2.318e-181		VOG08453	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_022328.1_13	NC_022328.1	NC_022328.1	13	13603	14004	1	E			YP_008530893.1	YP_008530893.1 holin [Mycobacterium phage Adawi]	False	0.904	253	4.391e-77		VOG00090	REFSEQ holin; Xu	Xu	0	False	
NC_022328.1_14	NC_022328.1	NC_022328.1	14	14052	14372	1	E			YP_008530894.1	YP_008530894.1 small terminase [Mycobacterium phage Adawi]	False	0.904	202	5.973999999999999e-60		VOG08451	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_022328.1_15	NC_022328.1	NC_022328.1	15	14369	14977	1	E			YP_008530895.1	YP_008530895.1 hypothetical protein ADAWI_15 [Mycobacterium phage Adawi]	True	0.953	407	5.697e-129		VOG02362	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_022328.1_16	NC_022328.1	NC_022328.1	16	15062	15868	1	E			YP_008530896.1	YP_008530896.1 major tail protein [Mycobacterium phage Adawi]	True	0.986	560	9.462e-181		VOG08452	REFSEQ major tail protein; Xu	Xu	0	False	
NC_022328.1_17	NC_022328.1	NC_022328.1	17	15937	16224	-1	E			YP_008530897.1	YP_008530897.1 hypothetical protein ADAWI_17 [Mycobacterium phage Adawi]	False	0.898	180	1.708e-52		VOG08425	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_022328.1_18	NC_022328.1	NC_022328.1	18	16346	17086	1	E			YP_008530898.1	YP_008530898.1 head-tail adaptor [Mycobacterium phage Adawi]	True	0.99	516	5.2850000000000005e-166		VOG08454	REFSEQ head-tail adaptor; Xu	Xu	0	False	
NC_022328.1_19	NC_022328.1	NC_022328.1	19	17086	17616	1	E			YP_008530899.1	YP_008530899.1 hypothetical protein ADAWI_19 [Mycobacterium phage Adawi]	True	1.0	374	2.834e-118		VOG02652	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_022328.1_20	NC_022328.1	NC_022328.1	20	17643	18002	1	E			YP_009018435.1	YP_009018435.1 hypothetical protein STINGER_20 [Mycobacterium phage Stinger]	False	0.944	238	3.647e-72		VOG00973	REFSEQ hypothetical protein; Xu	Xu	0	False	
