	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_042347.1_1	NC_042347.1	NC_042347.1	1	384	716	1	E	YP_009639267.1	YP_009639267.1 hypothetical protein FGG62_gp01 [Sulfolobus ellipsoid virus 1]	False	0.955	223.0	3.857e-67					0	False	F
NC_042347.1_2	NC_042347.1	NC_042347.1	2	718	1026	1	E	YP_009639268.1	YP_009639268.1 hypothetical protein FGG62_gp02 [Sulfolobus ellipsoid virus 1]	False	1.0	219.0	8.433e-66					0	False	F
NC_042347.1_3	NC_042347.1	NC_042347.1	3	1007	1474	1	E	YP_009639269.1	YP_009639269.1 SAM-dependent methyltransferase [Sulfolobus ellipsoid virus 1]	False	1.0	344.0	5.059000000000001e-108		VOG05460	sp|Q914G7|Y065_SIFVH Uncharacterized protein 65; Xu	Xu	0	False	F
NC_042347.1_4	NC_042347.1	NC_042347.1	4	1479	1814	1	E	YP_009639270.1	YP_009639270.1 hypothetical protein FGG62_gp04 [Sulfolobus ellipsoid virus 1]	False	0.975	230.0	1.372e-69					0	False	F
NC_042347.1_5	NC_042347.1	NC_042347.1	5	1847	2116	-1	E	YP_009639271.1	YP_009639271.1 hypothetical protein FGG62_gp05 [Sulfolobus ellipsoid virus 1]	False	0.998	167.0	5.957e-48					0	False	F
NC_042347.1_6	NC_042347.1	NC_042347.1	6	2184	2393	1	E	YP_009639272.1	YP_009639272.1 hypothetical protein FGG62_gp06 [Sulfolobus ellipsoid virus 1]	False	0.922	136.0	1.598e-37					0	False	F
NC_042347.1_7	NC_042347.1	NC_042347.1	7	2453	2758	1	E	YP_009639273.1	YP_009639273.1 hypothetical protein FGG62_gp07 [Sulfolobus ellipsoid virus 1]	False	0.917	196.0	7.362e-58					0	False	F
NC_042347.1_8	NC_042347.1	NC_042347.1	8	2835	3230	1	E	YP_009639274.1	YP_009639274.1 hypothetical protein FGG62_gp08 [Sulfolobus ellipsoid virus 1]	False	0.92	254.0	1.546e-77					0	False	F
NC_042347.1_9	NC_042347.1	NC_042347.1	9	3223	3489	1	E	YP_009639275.1	YP_009639275.1 hypothetical protein FGG62_gp09 [Sulfolobus ellipsoid virus 1]	False	0.94	176.0	3.925e-51					0	False	F
NC_042347.1_10	NC_042347.1	NC_042347.1	10	3554	3865	1	E	YP_009639276.1	YP_009639276.1 hypothetical protein FGG62_gp10 [Sulfolobus ellipsoid virus 1]	False	0.932	203.0	1.999e-60					0	False	F
NC_042347.1_11	NC_042347.1	NC_042347.1	11	3917	4105	1	E	YP_009639277.1	YP_009639277.1 hypothetical protein FGG62_gp11 [Sulfolobus ellipsoid virus 1]	False	1.0	134.0	2.898e-37					0	False	F
NC_042347.1_12	NC_042347.1	NC_042347.1	12	4102	4278	-1	E	YP_009639278.1	YP_009639278.1 hypothetical protein FGG62_gp12 [Sulfolobus ellipsoid virus 1]	False	0.942	117.0	2.6860000000000004e-31					0	False	F
NC_042347.1_13	NC_042347.1	NC_042347.1	13	4275	4736	-1	E	YP_009639279.1	YP_009639279.1 hypothetical protein FGG62_gp13 [Sulfolobus ellipsoid virus 1]	False	0.962	312.0	4.255e-97					0	False	F
NC_042347.1_14	NC_042347.1	NC_042347.1	14	4772	5161	1	E	YP_009639280.1	YP_009639280.1 3 transmembrane domain protein [Sulfolobus ellipsoid virus 1]	False	0.905	246.0	1.0660000000000001e-74					0	False	F
NC_042347.1_15	NC_042347.1	NC_042347.1	15	5208	5531	1	E	YP_009639281.1	YP_009639281.1 VP4 [Sulfolobus ellipsoid virus 1]	False	0.94	213.0	8.994e-64					0	False	
NC_042347.1_16	NC_042347.1	NC_042347.1	16	5547	5825	1	E											0	False	
NC_042347.1_17	NC_042347.1	NC_042347.1	17	5864	6001	1	E											0	False	
NC_042347.1_18	NC_042347.1	NC_042347.1	18	6007	7152	1	E	YP_009639282.1	YP_009639282.1 signal peptide protein [Sulfolobus ellipsoid virus 1]	True	0.98	790.0	4.180000000000002e-258					0	False	
NC_042347.1_19	NC_042347.1	NC_042347.1	19	7191	7427	1	E	YP_009639283.1	YP_009639283.1 2 transmembrane domain protein [Sulfolobus ellipsoid virus 1]	False	0.896	148.0	9.962e-42					0	False	
NC_042347.1_20	NC_042347.1	NC_042347.1	20	7424	7846	1	E	YP_009639284.1	YP_009639284.1 hypothetical protein FGG62_gp18 [Sulfolobus ellipsoid virus 1]	False	0.989	295.0	2.453e-91		VOG36965	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_042347.1_21	NC_042347.1	NC_042347.1	21	8029	9618	1	E	YP_009639286.1	YP_009639286.1 VP1,2 transmembrane domain protein [Sulfolobus ellipsoid virus 1]	True	0.957	927.0	9.767e-303					0	False	
NC_042347.1_22	NC_042347.1	NC_042347.1	22	9620	11659	1	E	YP_009639287.1	YP_009639287.1 VP3 [Sulfolobus ellipsoid virus 1]	True	0.944	1347.0	0.0					0	False	
NC_042347.1_23	NC_042347.1	NC_042347.1	23	11816	12661	1	E	YP_009639289.1	YP_009639289.1 glycosyltransferase [Sulfolobus ellipsoid virus 1]	True	0.982	584.0	5.675e-189		VOG00313	sp|Q8QL34|Y335_SIRV1 Uncharacterized glycosyltransferase 335; Xh	Xh	0	False	
NC_042347.1_24	NC_042347.1	NC_042347.1	24	12667	12903	1	E	YP_009639290.1	YP_009639290.1 hypothetical protein FGG62_gp24 [Sulfolobus ellipsoid virus 1]	False	0.985	164.0	2.305e-47					0	False	
NC_042347.1_25	NC_042347.1	NC_042347.1	25	12903	13106	1	E	YP_009639291.1	YP_009639291.1 transmembrane domain protein [Sulfolobus ellipsoid virus 1]	False	0.927	132.0	1.821e-36					0	False	
