	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001866.1_1	QGNH01001866.1	QGNH01001866.1	1	50	271	-1	E																								0	False	F
QGNH01001866.1_2	QGNH01001866.1	QGNH01001866.1	2	268	543	-1	E																								0	False	F
QGNH01001866.1_3	QGNH01001866.1	QGNH01001866.1	3	650	2071	-1	C	K01493	dCMP deaminase [EC:3.5.4.12]	YP_010358946.1	YP_010358946.1 endonuclease [uncultured phage cr151_1]	False	0.306	111.0	4.332e-24								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]					VOG04494	sp|P16006|DCTD_BPT4 Deoxycytidylate deaminase; XhXr	Xr;Xh	0	False	VF
QGNH01001866.1_4	QGNH01001866.1	QGNH01001866.1	4	2073	2426	-1	E																								0	False	F
QGNH01001866.1_5	QGNH01001866.1	QGNH01001866.1	5	2416	2736	-1	E			YP_006383265.1	YP_006383265.1 hypothetical protein CR3_gp250 [Cronobacter phage CR3]	False	0.588	122.0	4.508e-32													VOG12424	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001866.1_6	QGNH01001866.1	QGNH01001866.1	6	2733	2915	-1	E																								0	False	F
QGNH01001866.1_7	QGNH01001866.1	QGNH01001866.1	7	3011	3280	1	E																								0	False	F
QGNH01001866.1_8	QGNH01001866.1	QGNH01001866.1	8	3290	3781	1	E																								0	False	F
QGNH01001866.1_9	QGNH01001866.1	QGNH01001866.1	9	3778	4059	1	E																								1	False	F
QGNH01001866.1_10	QGNH01001866.1	QGNH01001866.1	10	4053	4352	1	E																								0	False	F
QGNH01001866.1_11	QGNH01001866.1	QGNH01001866.1	11	4349	4600	-1	E			YP_009809275.1	YP_009809275.1 hypothetical protein HOU00_gp480 [Caulobacter phage CcrPW]	False	0.462	62.0	1.797e-11													VOG03951	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001866.1_12	QGNH01001866.1	QGNH01001866.1	12	6420	6674	-1	E																								0	False	
QGNH01001866.1_13	QGNH01001866.1	QGNH01001866.1	13	6996	8408	1	D			YP_009809910.1	YP_009809910.1 hypothetical protein HOU02_gp445 [Caulobacter phage CcrBL9]	False	0.539	131.0	1.436e-30								Nucleoside 2-deoxyribosyltransferase like [PF15891.8]					VOG13503	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001866.1_14	QGNH01001866.1	QGNH01001866.1	14	8408	8689	1	E																								0	False	
QGNH01001866.1_15	QGNH01001866.1	QGNH01001866.1	15	9071	10453	1	D			YP_007007853.1	YP_007007853.1 endonuclease [Vibrio phage pVp-1]	False	0.368	129.0	7.273e-30								Protein of unknown function (DUF723) [PF05265.16]					VOG00023	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease; Xh	Xh	0	False	
QGNH01001866.1_16	QGNH01001866.1	QGNH01001866.1	16	10455	11855	1	D			YP_009006265.1	YP_009006265.1 baseplate hub subunit and tail lysozyme [Vibrio phage VH7D]	False	0.375	240.0	8.262e-67								Gp5 N-terminal OB domain [PF06714.14]					VOG04851	REFSEQ baseplate hub subunit and tail lysozyme; Xu	Xu	0	False	
QGNH01001866.1_17	QGNH01001866.1	QGNH01001866.1	17	11770	11952	-1	E																								0	False	
QGNH01001866.1_18	QGNH01001866.1	QGNH01001866.1	18	12226	13167	1	D			YP_009018049.1	YP_009018049.1 hypothetical protein CL87_gp038 [Mycobacterium phage Thibault]	False	0.231	68.0	5.572e-11								Collagen triple helix repeat (20 copies) [PF01391.21]								0	False	
QGNH01001866.1_19	QGNH01001866.1	QGNH01001866.1	19	13164	13418	-1	E																								0	False	
QGNH01001866.1_20	QGNH01001866.1	QGNH01001866.1	20	13493	13888	1	D			YP_007517919.1	YP_007517919.1 baseplate wedge subunit [Pelagibacter phage HTVC008M]	False	0.502	130.0	1.8199999999999999e-34								Baseplate wedge protein gp25 [PF04965.17]					VOG00875	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xs;Xh	0	False	V
QGNH01001866.1_21	QGNH01001866.1	QGNH01001866.1	21	13885	14502	1	D			YP_010682380.1	YP_010682380.1 HNH endonuclease [Streptococcus phage CHPC1042]	False	0.45	79.0	1.31e-15								HNH endonuclease [PF14279.9]; HNH endonuclease [PF01844.26]; HNH endonuclease [PF13395.9]					VOG00049	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	0	False	
QGNH01001866.1_22	QGNH01001866.1	QGNH01001866.1	22	14505	16307	1	D			YP_007517920.1	YP_007517920.1 baseplate wedge subunit [Pelagibacter phage HTVC008M]	True	0.391	399.0	2.682e-119								Baseplate J-like protein [PF04865.17]					VOG01398	sp|P19060|BP06_BPT4 Baseplate wedge protein gp6; Xs	Xs	0	False	V
QGNH01001866.1_23	QGNH01001866.1	QGNH01001866.1	23	16307	17128	1	E																								0	False	
QGNH01001866.1_24	QGNH01001866.1	QGNH01001866.1	24	17137	20256	1	E			YP_009595665.1	YP_009595665.1 hypothetical protein FDG98_gp086 [Pseudomonas phage pf16]	False	0.223	124.0	5.2369999999999996e-27																0	False	
QGNH01001866.1_25	QGNH01001866.1	QGNH01001866.1	25	20305	21864	1	D			YP_007677252.1	YP_007677252.1 baseplate wedge subunit [Synechococcus phage S-SSM4]	False	0.298	232.0	1.726e-63								Bacteriophage T4, Gp8 [PF09215.13]					VOG07688	REFSEQ baseplate wedge subunit; Xu	Xu	0	False	
