	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_027329.1_1	NC_027329.1	NC_027329.1	1	1	2292	1	E			YP_009146246.1	YP_009146246.1 RIIA lysis inhibitor [Salmonella phage vB_SPuM_SP116]	True	0.964	1549.0	0.0													VOG00493	sp|P03690|VR2A_BPT4 Protein rIIA; XhXr	Xh;Xr	0	False	VF
NC_027329.1_2	NC_027329.1	NC_027329.1	2	2372	3481	1	E			YP_009146247.1	YP_009146247.1 RIIB lysis inhibitor [Salmonella phage vB_SPuM_SP116]	True	0.943	732.0	3.115e-238													VOG00728	sp|P03691|VR2B_BPT4 Protein rIIB; XhXr	Xh;Xr	0	False	VF
NC_027329.1_3	NC_027329.1	NC_027329.1	3	3582	4130	1	E			YP_009146248.1	YP_009146248.1 hypothetical protein HB2014_3 [Salmonella phage vB_SPuM_SP116]	True	0.96	370.0	1.664e-116													VOG07277	sp|P13311|Y06E_BPT4 Uncharacterized 20.7 kDa protein in vs-regB intergenic region; Xu	Xu	0	False	F
NC_027329.1_4	NC_027329.1	NC_027329.1	4	4108	4803	1	E			YP_009146249.1	YP_009146249.1 polynucleotide kinase [Salmonella phage vB_SPuM_SP116]	True	0.976	477.0	6.841e-153													VOG05916	sp|P32275|Y12F_BPT4 Uncharacterized 32.4 kDa protein in Gp30-rIII intergenic region; Xu	Xu	0	False	F
NC_027329.1_5	NC_027329.1	NC_027329.1	5	4814	5278	1	E			YP_009621506.1	YP_009621506.1 hypothetical protein FDJ21_gp020 [Salmonella phage BPS17L1]	False	0.884	286.0	6.83e-88													VOG00563	sp|P17308|Y13B_BPT4 Uncharacterized 11.5 kDa protein in Gp31-cd intergenic region; Xu	Xu	0	False	F
NC_027329.1_6	NC_027329.1	NC_027329.1	6	5330	6214	1	C	K06223	DNA adenine methylase [EC:2.1.1.72]	YP_009146251.1	YP_009146251.1 DNA methyltransferase [Salmonella phage vB_SPuM_SP116]	True	0.999	623.0	4.017e-202								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]								0	False	
NC_027329.1_7	NC_027329.1	NC_027329.1	7	6226	7038	1	E			YP_009146252.1	YP_009146252.1 hypothetical protein HB2014_7 [Salmonella phage vB_SPuM_SP116]	True	0.954	543.0	5.852e-175													VOG08807	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_027329.1_8	NC_027329.1	NC_027329.1	8	7085	7432	1	E			YP_009146253.1	YP_009146253.1 Rz-like spanin [Salmonella phage vB_SPuM_SP116]	False	0.975	239.0	2.189e-72													VOG02690	REFSEQ Rz-like spanin; Xu	Xu	0	False	
NC_027329.1_9	NC_027329.1	NC_027329.1	9	7374	7595	1	E			YP_009621504.1	YP_009621504.1 o-spanin [Salmonella phage BPS17L1]	False	0.93	145.0	1.341e-40																0	False	
NC_027329.1_10	NC_027329.1	NC_027329.1	10	7592	7861	1	E			YP_009146255.1	YP_009146255.1 hypothetical protein HB2014_10 [Salmonella phage vB_SPuM_SP116]	False	1.0	195.0	7.675e-58													VOG12889	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_027329.1_11	NC_027329.1	NC_027329.1	11	7864	8190	1	E			YP_009146256.1	YP_009146256.1 hypothetical protein HB2014_11 [Salmonella phage vB_SPuM_SP116]	False	0.997	230.0	1.625e-69													VOG12888	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_027329.1_12	NC_027329.1	NC_027329.1	12	8165	8392	1	E			YP_009146257.1	YP_009146257.1 hypothetical protein HB2014_12 [Salmonella phage vB_SPuM_SP116]	False	0.953	153.0	2.637e-43													VOG07038	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_027329.1_13	NC_027329.1	NC_027329.1	13	8385	8585	1	E			YP_009146258.1	YP_009146258.1 hypothetical protein HB2014_13 [Salmonella phage vB_SPuM_SP116]	False	1.0	154.0	6.478999999999999e-44													VOG04975	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_027329.1_14	NC_027329.1	NC_027329.1	14	8586	9371	1	D			YP_009146259.1	YP_009146259.1 phosphatase [Salmonella phage vB_SPuM_SP116]	True	0.977	540.0	6.536e-174								Macro domain [PF01661.24]								0	False	
NC_027329.1_15	NC_027329.1	NC_027329.1	15	9894	10085	1	E			YP_009621624.1	YP_009621624.1 hypothetical protein FDJ22_gp012 [Salmonella phage BPS17W1]	False	0.963	130.0	9.948e-36													VOG18161	REFSEQ hypothetical protein; Xu	Xu	0	False	
