	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001406.1_1	QGNH01001406.1	QGNH01001406.1	1	749	1210	1	D			NP_599033.1	NP_599033.1 terminase small subunit [Enterobacteria phage SfV]	False	0.338	81.0	5.485e-17								Phage terminase, small subunit [PF05119.15]					VOG00738	REFSEQ terminase small subunit; Xu	Xu	0	False	F
QGNH01001406.1_2	QGNH01001406.1	QGNH01001406.1	2	1290	2897	1	D			YP_009275664.1	YP_009275664.1 terminase large subunit [Pseudomonas phage phi2]	True	0.61	662.0	5.997e-211								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001406.1_3	QGNH01001406.1	QGNH01001406.1	3	2954	3805	1	D			NP_945033.1	NP_945033.1 portal protein [Burkholderia phage phi1026b]	False	0.395	147.0	7.834999999999999e-38								Phage portal protein [PF04860.15]								0	False	F
QGNH01001406.1_4	QGNH01001406.1	QGNH01001406.1	4	3744	4157	1	D			NP_945033.1	NP_945033.1 portal protein [Burkholderia phage phi1026b]	False	0.555	130.0	4.446e-34								Phage portal protein [PF04860.15]								0	False	F
QGNH01001406.1_5	QGNH01001406.1	QGNH01001406.1	5	4154	4855	1	C	K06904	uncharacterized protein	YP_001686873.1	YP_001686873.1 head maturation protease [Azospirillum phage Cd]	False	0.485	185.0	1.7059999999999997e-51	MER0236864	S78	MER0236864 - prohead peptidase (bacteriophage HK97) (Acinetobacter radioresistens) [S78.001]#S78#{peptidase unit: 6-197}~source EET82849~	False	0.523	199.0	5.332e-56	Caudovirus prohead serine protease [PF04586.20]					VOG02183	sp|D3WAC4|PRO_BPLP2 Probable capsid maturation protease; XhXs	Xs;Xh	0	False	VPF
QGNH01001406.1_6	QGNH01001406.1	QGNH01001406.1	6	4868	6412	1	D			YP_010773299.1	YP_010773299.1 major capsid protein [Pseudomonas phage PP9W2]	False	0.405	251.0	6.064000000000001e-70								Phage capsid family [PF05065.16]					VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	VF
QGNH01001406.1_7	QGNH01001406.1	QGNH01001406.1	7	6423	6563	1	E																								0	False	
QGNH01001406.1_8	QGNH01001406.1	QGNH01001406.1	8	6566	7030	1	D																Phage gp6-like head-tail connector protein [PF05135.16]								0	False	
QGNH01001406.1_9	QGNH01001406.1	QGNH01001406.1	9	7179	7385	1	E																								0	False	
QGNH01001406.1_10	QGNH01001406.1	QGNH01001406.1	10	7385	7774	1	E																					VOG00069	sp|Q7Y5D9|FIBL2_BPT5 Collar protein p132; XhXs	Xs;Xh	0	False	V
QGNH01001406.1_11	QGNH01001406.1	QGNH01001406.1	11	7771	8106	1	E			YP_009600163.1	YP_009600163.1 hypothetical protein FDH38_gp039 [Dinoroseobacter phage vB_DshS-R5C]	False	0.464	61.0	7.845e-11																0	False	
QGNH01001406.1_12	QGNH01001406.1	QGNH01001406.1	12	8119	9129	1	E			YP_010658198.1	YP_010658198.1 minor tail protein [Rhizobium phage RHph_Y2_6]	False	0.462	125.0	1.397e-29													VOG03766	REFSEQ head decoration; Xu	Xu	0	False	
QGNH01001406.1_13	QGNH01001406.1	QGNH01001406.1	13	9126	9980	1	E																								0	False	
QGNH01001406.1_14	QGNH01001406.1	QGNH01001406.1	14	9981	10412	1	D																Phage head-tail joining protein [PF05521.14]								0	False	
QGNH01001406.1_15	QGNH01001406.1	QGNH01001406.1	15	10409	10861	1	E																								0	False	
QGNH01001406.1_16	QGNH01001406.1	QGNH01001406.1	16	10858	11250	1	E																								0	False	
QGNH01001406.1_17	QGNH01001406.1	QGNH01001406.1	17	11256	11693	1	D																Lambda phage tail tube protein, TTP [PF16461.8]								0	False	
QGNH01001406.1_18	QGNH01001406.1	QGNH01001406.1	18	11690	11956	1	E																								0	False	
QGNH01001406.1_19	QGNH01001406.1	QGNH01001406.1	19	12043	12276	1	E																								0	False	
QGNH01001406.1_20	QGNH01001406.1	QGNH01001406.1	20	12307	14838	1	E			YP_009290922.1	YP_009290922.1 endolysin [Propionibacterium phage PFR2]	False	0.237	84.0	3.74e-15													VOG02508	sp|P51731|TMP_BPHC1 Probable tape measure protein; Xs	Xs	0	False	V
