Target Name	ID	EC value	E-Value (sequence)	Score (domain)
strain_GIC31_complete_genome_1985010_1986314_-	COG0001		1.3e-244	811.8
strain_GIC31_complete_genome_2225761_2227059_+	COG0001		1.6e-217	722.1
strain_GIC31_complete_genome_2563630_2564655_-	COG0002		4.5e-124	411.6
strain_GIC31_complete_genome_642855_644615_+	COG0003		1.2e-140	303.8
strain_GIC31_complete_genome_642855_644615_+	COG0003		1.2e-140	125.3
strain_GIC31_complete_genome_2175357_2176655_+	COG0004		4.6e-136	451.7
strain_GIC31_complete_genome_1192825_1193634_+	COG0005		1.9e-108	360.0
strain_GIC31_complete_genome_1123911_1124981_+	COG0006		3.3e-139	462.2
strain_GIC31_complete_genome_974208_975305_-	COG0006		1e-126	421.1
strain_GIC31_complete_genome_57012_58466_+	COG0008		2.5e-176	585.4
strain_GIC31_complete_genome_364409_365407_+	COG0009		1.5e-125	417.2
strain_GIC31_complete_genome_320278_321159_+	COG0010		1.2e-99	331.4
strain_GIC31_complete_genome_107823_108872_+	COG0010		2.2e-72	241.4
strain_GIC31_complete_genome_2857714_2858814_-	COG0012		8e-178	588.5
strain_GIC31_complete_genome_1900446_1903085_-	COG0013		0	1240.1
strain_GIC31_complete_genome_2426156_2427448_-	COG0015		1.5e-181	601.8
strain_GIC31_complete_genome_1011671_1012693_+	COG0016		2.1e-165	548.9
strain_GIC31_complete_genome_1612727_1614040_-	COG0017		3.7e-182	603.5
strain_GIC31_complete_genome_2588114_2589796_-	COG0018		1.3e-180	599.3
strain_GIC31_complete_genome_2376842_2378134_-	COG0019		6.4e-137	454.5
strain_GIC31_complete_genome_1691639_1692376_-	COG0020		4.4e-126	419.2
strain_GIC31_complete_genome_1231731_1233722_+	COG0021		0	1073.6
strain_GIC31_complete_genome_1145511_1146488_+	COG0022		4.7e-174	578.2
strain_GIC31_complete_genome_1841559_1842536_-	COG0022		3.8e-170	565.3
strain_GIC31_complete_genome_92150_92908_+	COG0024		7.1e-134	443.3
strain_GIC31_complete_genome_2278790_2279539_-	COG0024		1.5e-94	313.8
strain_GIC31_complete_genome_2427445_2428539_-	COG0026		4.3e-142	471.0
strain_GIC31_complete_genome_1943165_1944598_-	COG0029		2.2e-138	459.9
strain_GIC31_complete_genome_12046_12924_+	COG0030		1.9e-107	356.7
strain_GIC31_complete_genome_35332_36285_+	COG0031		1e-153	509.9
strain_GIC31_complete_genome_1047729_1048667_+	COG0031		1.7e-125	416.9
strain_GIC31_complete_genome_2420899_2421939_-	COG0034		5.3e-161	534.2
strain_GIC31_complete_genome_376480_377112_+	COG0035		1e-105	349.7
strain_GIC31_complete_genome_1754596_1755252_-	COG0036		4.4e-127	422.7
strain_GIC31_complete_genome_29320_30726_+	COG0037		5.2e-80	267.2
strain_GIC31_complete_genome_990301_991236_+	COG0039		1.8e-140	465.7
strain_GIC31_complete_genome_1103202_1104158_+	COG0039		1.8e-137	455.8
strain_GIC31_complete_genome_856858_857841_+	COG0039		1.4e-120	400.1
strain_GIC31_complete_genome_1583612_1584220_-	COG0040		8.1e-59	197.3
strain_GIC31_complete_genome_2428539_2429027_-	COG0041		7.2e-98	325.9
strain_GIC31_complete_genome_40817_41812_+	COG0042		2.6e-128	425.5
strain_GIC31_complete_genome_689794_690810_+	COG0042		2e-87	290.8
strain_GIC31_complete_genome_1778199_1779479_-	COG0044		2.3e-162	538.4
strain_GIC31_complete_genome_1729088_1730248_-	COG0045		3.5e-193	639.8
strain_GIC31_complete_genome_2422284_2424503_-	COG0046		0	1114.7
strain_GIC31_complete_genome_2424487_2425167_-	COG0047		2.1e-93	311.4
strain_GIC31_complete_genome_75371_75793_+	COG0048		1.4e-73	244.2
strain_GIC31_complete_genome_75842_76309_+	COG0049		8.7e-79	260.7
strain_GIC31_complete_genome_78620_79807_+	COG0050		1.5e-262	870.5
strain_GIC31_complete_genome_80805_81113_+	COG0051		3.8e-57	189.5
strain_GIC31_complete_genome_1694848_1695588_-	COG0052		3.5e-138	457.7
strain_GIC31_complete_genome_1484568_1485431_-	COG0053		8.3e-93	308.7
strain_GIC31_complete_genome_671480_671944_+	COG0054		6.3e-78	258.0
strain_GIC31_complete_genome_390007_391425_+	COG0055		9.9e-258	853.5
strain_GIC31_complete_genome_387570_389078_+	COG0056		2.8e-273	905.8
strain_GIC31_complete_genome_998711_999805_+	COG0057		1.2e-182	606.1
strain_GIC31_complete_genome_797914_798921_+	COG0057		2.1e-173	575.6
strain_GIC31_complete_genome_2198387_2200867_-	COG0058		4.6e-245	812.8
strain_GIC31_complete_genome_1784041_1786767_-	COG0060		0	1234.8
strain_GIC31_complete_genome_1869682_1870479_-	COG0061		8.5e-78	259.9
strain_GIC31_complete_genome_965169_966014_-	COG0061		6e-64	214.2
strain_GIC31_complete_genome_1083263_1084660_+	COG0063		4.8e-138	458.2
strain_GIC31_complete_genome_681637_683067_+	COG0064		6.2e-256	849.8
strain_GIC31_complete_genome_482561_484153_+	COG0069		1.5e-124	414.2
strain_GIC31_complete_genome_1523260_1527699_-	COG0070		0	2120.6
strain_GIC31_complete_genome_259929_260372_-	COG0071		1e-35	120.8
strain_GIC31_complete_genome_1012706_1015081_+	COG0072		0	1021.1
strain_GIC31_complete_genome_942380_943000_+	COG0072		2.2e-43	145.4
strain_GIC31_complete_genome_1728158_1729075_-	COG0074		1.3e-159	529.7
strain_GIC31_complete_genome_245521_247113_+	COG0075		2.8e-56	188.4
strain_GIC31_complete_genome_224955_225983_+	COG0078		1.8e-157	522.9
strain_GIC31_complete_genome_2555536_2556462_-	COG0078		1e-145	484.3
strain_GIC31_complete_genome_1581388_1582341_-	COG0079		1.8e-97	324.5
strain_GIC31_complete_genome_1575592_1576542_+	COG0079		2.1e-84	281.4
strain_GIC31_complete_genome_64635_65060_+	COG0080		2.1e-75	249.4
strain_GIC31_complete_genome_65084_65845_+	COG0081		2.8e-118	391.5
strain_GIC31_complete_genome_1634930_1636090_-	COG0082		6.7e-151	500.3
strain_GIC31_complete_genome_9419_10186_+	COG0084		1.7e-115	382.5
strain_GIC31_complete_genome_67903_71460_+	COG0085		0	1825.9
strain_GIC31_complete_genome_71483_75082_+	COG0086		0	2211.2
strain_GIC31_complete_genome_81175_81801_+	COG0087		4.7e-98	325.4
strain_GIC31_complete_genome_81830_82453_+	COG0088		1.7e-102	339.5
strain_GIC31_complete_genome_82453_82734_+	COG0089		6.9e-45	149.8
strain_GIC31_complete_genome_82769_83599_+	COG0090		7.5e-136	449.2
strain_GIC31_complete_genome_83962_84294_+	COG0091		5.1e-61	203.5
strain_GIC31_complete_genome_84308_84967_+	COG0092		3.5e-109	361.7
strain_GIC31_complete_genome_85965_86333_+	COG0093		7.3e-60	197.7
strain_GIC31_complete_genome_86712_87251_+	COG0094		2e-98	326.1
strain_GIC31_complete_genome_2169418_2170407_-	COG0095		3.3e-129	429.8
strain_GIC31_complete_genome_298930_299760_-	COG0095		5.6e-87	290.3
strain_GIC31_complete_genome_303856_304704_-	COG0095		4e-52	175.0
strain_GIC31_complete_genome_87573_87971_+	COG0096		6e-59	195.0
strain_GIC31_complete_genome_88005_88544_+	COG0097		3.4e-84	278.5
strain_GIC31_complete_genome_88962_89462_+	COG0098		9.2e-90	298.0
strain_GIC31_complete_genome_93396_93761_+	COG0099		1.8e-57	190.6
strain_GIC31_complete_genome_93778_94173_+	COG0100		1e-66	220.6
strain_GIC31_complete_genome_98133_98873_+	COG0101		9.8e-111	367.5
strain_GIC31_complete_genome_99028_99465_+	COG0102		6.8e-79	261.5
strain_GIC31_complete_genome_99491_99883_+	COG0103		2.2e-72	240.4
strain_GIC31_complete_genome_2850998_2852287_-	COG0104		2.1e-202	670.1
strain_GIC31_complete_genome_1636998_1637414_-	COG0105		2.9e-71	237.6
strain_GIC31_complete_genome_1579539_1580252_-	COG0106		1.9e-78	260.5
strain_GIC31_complete_genome_1578779_1579546_-	COG0107		3.1e-121	402.9
strain_GIC31_complete_genome_1818624_1819550_-	COG0109		1.2e-109	364.8
strain_GIC31_complete_genome_1576582_1577136_-	COG0110		4.4e-66	220.3
strain_GIC31_complete_genome_2103953_2104492_-	COG0110		2.7e-63	211.2
strain_GIC31_complete_genome_458297_458854_+	COG0110		3.7e-54	181.1
strain_GIC31_complete_genome_505537_506079_+	COG0110		4.5e-42	141.5
strain_GIC31_complete_genome_786659_787141_+	COG0110		2.5e-35	119.4
strain_GIC31_complete_genome_1031709_1032872_+	COG0111		2.8e-100	333.6
strain_GIC31_complete_genome_540024_540929_+	COG0111		8.1e-91	302.4
strain_GIC31_complete_genome_367877_369130_+	COG0112		8.1e-252	834.5
strain_GIC31_complete_genome_1986311_1987291_-	COG0113		2.1e-151	501.3
strain_GIC31_complete_genome_1539318_1540718_-	COG0114		5.6e-226	747.9
strain_GIC31_complete_genome_2379206_2380132_-	COG0115		1e-102	341.5
strain_GIC31_complete_genome_38324_39154_+	COG0115		8.4e-77	256.1
strain_GIC31_complete_genome_1308781_1309947_+	COG0116		1.1e-152	506.9
strain_GIC31_complete_genome_1580230_1580817_-	COG0118		5.3e-81	270.0
strain_GIC31_complete_genome_2812912_2813811_-	COG0122		1.5e-87	291.8
strain_GIC31_complete_genome_950920_951855_-	COG0123		1.3e-64	215.9
strain_GIC31_complete_genome_1924037_1925317_-	COG0124		1e-168	559.0
strain_GIC31_complete_genome_1679_2317_+	COG0125		1.7e-97	324.9
strain_GIC31_complete_genome_799005_800204_+	COG0126		2.4e-192	637.1
strain_GIC31_complete_genome_1999542_2000132_-	COG0127		2.3e-83	277.7
strain_GIC31_complete_genome_1632638_1633888_-	COG0128		2.6e-151	502.6
strain_GIC31_complete_genome_1676384_1677292_-	COG0130		4.7e-115	382.5
strain_GIC31_complete_genome_1580814_1581317_-	COG0131		2.9e-85	283.9
strain_GIC31_complete_genome_257945_259126_+	COG0133		4.9e-226	748.7
strain_GIC31_complete_genome_256654_257415_+	COG0134		2.7e-105	350.8
strain_GIC31_complete_genome_257391_257963_+	COG0135		3.3e-62	207.3
strain_GIC31_complete_genome_2382504_2383499_-	COG0136		5.7e-142	470.5
strain_GIC31_complete_genome_1273480_1274712_-	COG0137		1.2e-189	628.1
strain_GIC31_complete_genome_2417760_2419280_-	COG0138		5.8e-254	841.6
strain_GIC31_complete_genome_1578498_1578830_-	COG0139		6.5e-51	170.8
strain_GIC31_complete_genome_1578193_1578501_-	COG0140		1e-41	141.0
strain_GIC31_complete_genome_1582398_1583615_-	COG0141		2.1e-159	528.8
strain_GIC31_complete_genome_1637506_1638468_-	COG0142		4.7e-101	335.9
strain_GIC31_complete_genome_1130455_1131333_+	COG0142		7.5e-97	322.1
strain_GIC31_complete_genome_7404_9365_+	COG0143		5.7e-271	898.3
strain_GIC31_complete_genome_1759963_1761291_-	COG0144		1.1e-151	504.2
strain_GIC31_complete_genome_596517_597848_-	COG0147		5.3e-184	611.4
strain_GIC31_complete_genome_36380_37759_+	COG0147		2.5e-175	582.6
strain_GIC31_complete_genome_802551_803843_+	COG0148		2.3e-232	768.5
strain_GIC31_complete_genome_800223_800975_+	COG0149		1.4e-128	426.9
strain_GIC31_complete_genome_2419852_2420886_-	COG0150		4.1e-171	567.5
strain_GIC31_complete_genome_2416493_2417746_-	COG0151		5.7e-195	646.9
strain_GIC31_complete_genome_2425403_2426107_-	COG0152		1.7e-106	354.5
strain_GIC31_complete_genome_680182_681624_+	COG0154		5.5e-214	710.2
strain_GIC31_complete_genome_1288670_1290073_+	COG0154		1.1e-125	417.7
strain_GIC31_complete_genome_1217417_1218598_+	COG0156		6.1e-184	610.0
strain_GIC31_complete_genome_1942342_1943211_-	COG0157		8.2e-103	341.2
strain_GIC31_complete_genome_259123_259902_+	COG0159		3.9e-87	289.0
strain_GIC31_complete_genome_958034_959428_+	COG0162		1.8e-156	518.6
strain_GIC31_complete_genome_1731483_1732235_-	COG0164		1.5e-86	287.7
strain_GIC31_complete_genome_1272105_1273487_-	COG0165		2.8e-206	683.9
strain_GIC31_complete_genome_907584_908987_+	COG0166		3.4e-139	462.4
strain_GIC31_complete_genome_1772295_1773221_-	COG0167		3.5e-110	366.0
strain_GIC31_complete_genome_2605645_2607024_-	COG0168		2.2e-108	360.2
strain_GIC31_complete_genome_2410394_2411776_-	COG0168		6.2e-94	312.5
