	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
GCF_014635985.1_NZ_BMDT01000001.1_1	GCF_014635985.1	NZ_BMDT01000001.1	1	138	278	1	E															0
GCF_014635985.1_NZ_BMDT01000001.1_2	GCF_014635985.1	NZ_BMDT01000001.1	2	378	1454	1	D										ABC transporter [PF00005.30]					0
GCF_014635985.1_NZ_BMDT01000001.1_3	GCF_014635985.1	NZ_BMDT01000001.1	3	1454	2335	1	C	K02025	multiple sugar transport system permease protein								Binding-protein-dependent transport system inner membrane component [PF00528.25]					0
GCF_014635985.1_NZ_BMDT01000001.1_4	GCF_014635985.1	NZ_BMDT01000001.1	4	2337	3155	1	C	K02026	multiple sugar transport system permease protein								Binding-protein-dependent transport system inner membrane component [PF00528.25]					0
GCF_014635985.1_NZ_BMDT01000001.1_5	GCF_014635985.1	NZ_BMDT01000001.1	5	3139	4431	1	C	K12574	ribonuclease J [EC:3.1.-.-]								Beta-lactamase superfamily domain [PF12706.10]					0
GCF_014635985.1_NZ_BMDT01000001.1_6	GCF_014635985.1	NZ_BMDT01000001.1	6	4458	5750	1	D										Bacterial extracellular solute-binding protein [PF13416.9]; Bacterial extracellular solute-binding protein [PF01547.28]					0
GCF_014635985.1_NZ_BMDT01000001.1_7	GCF_014635985.1	NZ_BMDT01000001.1	7	5821	7377	1	C	K01119	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]								5'-nucleotidase, C-terminal domain [PF02872.21]; Bacterial capsule synthesis protein PGA_cap [PF09587.13]					0
GCF_014635985.1_NZ_BMDT01000001.1_8	GCF_014635985.1	NZ_BMDT01000001.1	8	7689	8795	-1	D										FAD dependent oxidoreductase [PF01266.27]					0
GCF_014635985.1_NZ_BMDT01000001.1_9	GCF_014635985.1	NZ_BMDT01000001.1	9	8792	9727	-1	C	K03471	ribonuclease HIII [EC:3.1.26.4]								Ribonuclease HII [PF01351.21]; Domain of unknown function (DUF3378) [PF11858.11]					0
GCF_014635985.1_NZ_BMDT01000001.1_10	GCF_014635985.1	NZ_BMDT01000001.1	10	9872	10312	1	C	K09888	cell division protein ZapA								Cell division protein ZapA [PF05164.16]					0
GCF_014635985.1_NZ_BMDT01000001.1_11	GCF_014635985.1	NZ_BMDT01000001.1	11	10331	10882	1	D										Colicin V production protein [PF02674.19]					0
GCF_014635985.1_NZ_BMDT01000001.1_12	GCF_014635985.1	NZ_BMDT01000001.1	12	10948	13314	1	C	K07456	DNA mismatch repair protein MutS2								MutS domain V [PF00488.24]; Smr domain [PF01713.24]; MutS2 and Smr-associated SH3 domain [PF20297.1]					0
GCF_014635985.1_NZ_BMDT01000001.1_13	GCF_014635985.1	NZ_BMDT01000001.1	13	13393	13707	1	C	K03671	thioredoxin 1								Thioredoxin [PF00085.23]; Redoxin [PF08534.13]; Thioredoxin-like [PF13905.9]; Thioredoxin [PF14595.9]; AhpC/TSA family [PF00578.24]; Thioredoxin-like [PF13899.9]; F plasmid transfer operon protein [PF13728.9]					0
GCF_014635985.1_NZ_BMDT01000001.1_14	GCF_014635985.1	NZ_BMDT01000001.1	14	13819	15618	1	C	K03703	excinuclease ABC subunit C								UvrC RNAse H endonuclease domain [PF08459.14]; Helix-hairpin-helix motif [PF12826.10]; GIY-YIG catalytic domain [PF01541.27]					0
GCF_014635985.1_NZ_BMDT01000001.1_15	GCF_014635985.1	NZ_BMDT01000001.1	15	15771	16670	1	C	K01990	ABC-2 type transport system ATP-binding protein								ABC transporter [PF00005.30]; Domain of unknown function (DUF4162) [PF13732.9]					0
