	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000193.1_1	QGNH01000193.1	QGNH01000193.1	1	81	767	-1	D																Transglycosylase [PF00912.25]	GT51	GT51 murein polymerase (EC 2.4.1.129).	2.4.1.129	GT51.hmm				0	False	F
QGNH01000193.1_2	QGNH01000193.1	QGNH01000193.1	2	769	1224	-1	C	K06940	uncharacterized protein																						0	False	F
QGNH01000193.1_3	QGNH01000193.1	QGNH01000193.1	3	1257	1529	1	E																								0	False	F
QGNH01000193.1_4	QGNH01000193.1	QGNH01000193.1	4	1696	2043	-1	E																								0	False	F
QGNH01000193.1_5	QGNH01000193.1	QGNH01000193.1	5	2493	2618	-1	E																								0	False	F
QGNH01000193.1_6	QGNH01000193.1	QGNH01000193.1	6	2694	3500	-1	C	K07458	DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]														DNA mismatch endonuclease Vsr [PF03852.18]								0	False	F
QGNH01000193.1_7	QGNH01000193.1	QGNH01000193.1	7	3578	5257	-1	D			YP_010114617.1	YP_010114617.1 major capsid protein [Flavobacterium phage vB_FspM_immuto_2-6A]	False	0.239	158.0	1.049e-38								Major capsid protein Gp23 [PF07068.14]					VOG00452	sp|P04535|CAPSH_BPT4 Major capsid protein; XhXs	Xh;Xs	0	False	VF
QGNH01000193.1_8	QGNH01000193.1	QGNH01000193.1	8	5287	6231	-1	E																								0	False	
QGNH01000193.1_9	QGNH01000193.1	QGNH01000193.1	9	6246	6884	-1	D			YP_010656661.1	YP_010656661.1 head maturation protease [Synechococcus phage S-SZBM1]	False	0.408	128.0	3.027e-32	MER1151973	S77	MER1151973 - family S77 (general) (Wuchereria bancrofti) [S77.UPW]#S77#{peptidase unit: 3-146}~source WBA_0000940501~	False	0.461	122.0	6.068e-30	Prohead core protein serine protease [PF03420.16]								0	False	P
QGNH01000193.1_10	QGNH01000193.1	QGNH01000193.1	10	6886	7365	-1	E																								0	False	
