	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_002670.1_1	NC_002670.1	NC_002670.1	1	122	1321	-1	C	K14059	integrase	NP_795660.1	NP_795660.1 putative integrase [Streptococcus phage 315.6]	False	0.281	161.0	4.3869999999999997e-41	Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF14659.9]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VF
NC_002670.1_2	NC_002670.1	NC_002670.1	2	1402	2109	-1	D									Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Antitoxin component of bacterial toxin-antitoxin system, MqsA [PF15731.8]				0	False	F
NC_002670.1_3	NC_002670.1	NC_002670.1	3	2258	2464	1	D									Protein of unknown function (DUF739) [PF05339.14]; Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]				0	False	F
NC_002670.1_4	NC_002670.1	NC_002670.1	4	2579	3094	1	D			YP_009900636.1	YP_009900636.1 transcriptional regulator [Lactococcus phage Q33]	False	0.884	317.0	2.273e-98	Phage regulatory protein Rha (Phage_pRha) [PF09669.13]	VOG28903	REFSEQ transcriptional regulator; Xu	Xu	0	False	F
NC_002670.1_5	NC_002670.1	NC_002670.1	5	3333	3503	1	D									Protein of unknown function (DUF1655) [PF07868.14]				0	False	F
NC_002670.1_6	NC_002670.1	NC_002670.1	6	3505	3669	1	E													0	False	F
NC_002670.1_7	NC_002670.1	NC_002670.1	7	3757	3909	1	E													0	False	F
NC_002670.1_8	NC_002670.1	NC_002670.1	8	3906	4175	1	E													0	False	F
NC_002670.1_9	NC_002670.1	NC_002670.1	9	4186	5655	1	E			YP_009900637.1	YP_009900637.1 DNA helicase [Lactococcus phage Q33]	True	0.579	490.0	3.384e-152					0	False	F
NC_002670.1_10	NC_002670.1	NC_002670.1	10	5607	5882	1	E													0	False	
NC_002670.1_11	NC_002670.1	NC_002670.1	11	6251	6433	1	E													0	False	
NC_002670.1_12	NC_002670.1	NC_002670.1	12	6452	6658	1	E			YP_009900638.1	YP_009900638.1 hypothetical protein H1N73_gp17 [Lactococcus phage Q33]	False	0.907	131.0	4.9530000000000005e-36					0	False	
NC_002670.1_13	NC_002670.1	NC_002670.1	13	6820	7392	1	E													0	False	
NC_002670.1_14	NC_002670.1	NC_002670.1	14	7409	7771	1	E													0	False	
NC_002670.1_15	NC_002670.1	NC_002670.1	15	7859	8806	-1	C	K07482	transposase, IS30 family	YP_009797228.1	YP_009797228.1 transposase [Faecalibacterium phage FP_Lagaffe]	False	0.291	142.0	1.144e-35					0	False	
NC_002670.1_16	NC_002670.1	NC_002670.1	16	9076	9246	1	E													0	False	
NC_002670.1_17	NC_002670.1	NC_002670.1	17	9405	9911	1	D									Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) family [PF00583.28]; Acetyltransferase (GNAT) domain [PF13420.10]; FR47-like protein [PF08445.13]; Acetyltransferase (GNAT) domain [PF13508.10]	VOG00123	sp|C7IZ16|GNA2_ORYSJ Probable glucosamine 6-phosphate N-acetyltransferase 2; Xh	Xh	0	False	F
NC_002670.1_18	NC_002670.1	NC_002670.1	18	10054	10284	1	E													0	False	F
NC_002670.1_19	NC_002670.1	NC_002670.1	19	10434	10655	1	E													0	False	F
NC_002670.1_20	NC_002670.1	NC_002670.1	20	10844	11140	1	D									Motility quorum-sensing regulator, toxin of MqsA [PF15723.8]				0	False	F
NC_002670.1_21	NC_002670.1	NC_002670.1	21	11152	12072	1	D			YP_006560565.1	YP_006560565.1 DUF4065 domain-containing protein [Salmonella phage vB_SemP_Emek]	False	0.373	91.0	1.399e-18	Protein of unknown function (DUF4065) [PF13274.9]; Antitoxin component of bacterial toxin-antitoxin system, MqsA [PF15731.8]	VOG02157	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA; Xu	Xu	0	False	F
NC_002670.1_22	NC_002670.1	NC_002670.1	22	13384	14331	-1	C	K07482	transposase, IS30 family	YP_009797228.1	YP_009797228.1 transposase [Faecalibacterium phage FP_Lagaffe]	False	0.291	142.0	1.144e-35					0	False	F
