	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_048778.1_NC_048778.1_1	NC_048778.1	NC_048778.1	1	1	564	-1	E											0
NC_048778.1_NC_048778.1_2	NC_048778.1	NC_048778.1	2	648	1469	-1	D										Bifunctional DNA primase/polymerase, N-terminal [PF09250.14]	0
NC_048778.1_NC_048778.1_3	NC_048778.1	NC_048778.1	3	1471	2766	-1	C	K06919	putative DNA primase/helicase								Family of unknown function (DUF5906) [PF19263.2]	0
NC_048778.1_NC_048778.1_4	NC_048778.1	NC_048778.1	4	2788	3207	1	E											0
NC_048778.1_NC_048778.1_5	NC_048778.1	NC_048778.1	5	3148	4410	-1	E											0
NC_048778.1_NC_048778.1_6	NC_048778.1	NC_048778.1	6	4403	5200	-1	D										Domain of unknown function (DUF6378) [PF19905.2]	0
NC_048778.1_NC_048778.1_7	NC_048778.1	NC_048778.1	7	5193	5525	-1	C	K18955	WhiB family transcriptional regulator, redox-sensing transcriptional regulator								Transcription factor WhiB [PF02467.19]	0
NC_048778.1_NC_048778.1_8	NC_048778.1	NC_048778.1	8	5495	6043	-1	E											0
NC_048778.1_NC_048778.1_9	NC_048778.1	NC_048778.1	9	6036	6356	-1	E											0
NC_048778.1_NC_048778.1_10	NC_048778.1	NC_048778.1	10	6409	8628	-1	C	K02334	DNA polymerase bacteriophage-type [EC:2.7.7.7]								DNA polymerase family A [PF00476.23]	0
NC_048778.1_NC_048778.1_11	NC_048778.1	NC_048778.1	11	8625	8852	-1	E											0
NC_048778.1_NC_048778.1_12	NC_048778.1	NC_048778.1	12	8845	9066	-1	E											0
NC_048778.1_NC_048778.1_13	NC_048778.1	NC_048778.1	13	9059	10186	-1	D										Protein of unknown function (DUF2800) [PF10926.11]	0
NC_048778.1_NC_048778.1_14	NC_048778.1	NC_048778.1	14	10167	10298	-1	E											0
NC_048778.1_NC_048778.1_15	NC_048778.1	NC_048778.1	15	10482	11249	-1	E											0
