	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	heme_regulatory_motif_count
NC_041956_NC_041956_1	NC_041956	NC_041956	1	62	373	1	E		0
NC_041956_NC_041956_2	NC_041956	NC_041956	2	373	1884	1	E		0
NC_041956_NC_041956_3	NC_041956	NC_041956	3	1881	3206	1	D	Phage portal protein, SPP1 Gp6-like [PF05133.17]	0
NC_041956_NC_041956_4	NC_041956	NC_041956	4	3213	3968	1	E		0
NC_041956_NC_041956_5	NC_041956	NC_041956	5	4079	4633	1	E		0
NC_041956_NC_041956_6	NC_041956	NC_041956	6	4640	5587	1	E		0
NC_041956_NC_041956_7	NC_041956	NC_041956	7	5631	6092	1	E		0
NC_041956_NC_041956_8	NC_041956	NC_041956	8	6094	6441	1	E		0
NC_041956_NC_041956_9	NC_041956	NC_041956	9	6466	6738	1	E		0
NC_041956_NC_041956_10	NC_041956	NC_041956	10	6735	7106	1	E		0
NC_041956_NC_041956_11	NC_041956	NC_041956	11	7159	7782	1	E		0
NC_041956_NC_041956_12	NC_041956	NC_041956	12	7809	8105	1	E		0
NC_041956_NC_041956_13	NC_041956	NC_041956	13	8204	8491	1	E		0
NC_041956_NC_041956_14	NC_041956	NC_041956	14	8499	11264	1	D	Tape measure protein [PF20155.2]	0
NC_041956_NC_041956_15	NC_041956	NC_041956	15	11280	12221	1	D	Phage tail protein [PF05709.14]	0
NC_041956_NC_041956_16	NC_041956	NC_041956	16	12229	13386	1	D	Siphovirus ReqiPepy6 Gp37-like protein [PF14594.9]	0
NC_041956_NC_041956_17	NC_041956	NC_041956	17	13406	14224	1	D	H-type lectin domain [PF09458.13]	0
NC_041956_NC_041956_18	NC_041956	NC_041956	18	14269	14538	1	E		0
NC_041956_NC_041956_19	NC_041956	NC_041956	19	14535	15323	1	D	Collagen triple helix repeat (20 copies) [PF01391.21]	0
NC_041956_NC_041956_20	NC_041956	NC_041956	20	15301	15882	-1	E		0
NC_041956_NC_041956_21	NC_041956	NC_041956	21	15961	16233	1	E		0
NC_041956_NC_041956_22	NC_041956	NC_041956	22	16240	16635	1	D	Putative lactococcus lactis phage r1t holin [PF16945.8]	0
NC_041956_NC_041956_23	NC_041956	NC_041956	23	16720	17019	-1	E		0
NC_041956_NC_041956_24	NC_041956	NC_041956	24	17215	17595	-1	E		0
NC_041956_NC_041956_25	NC_041956	NC_041956	25	17599	17883	-1	E		0
NC_041956_NC_041956_26	NC_041956	NC_041956	26	17896	18216	-1	E		0
NC_041956_NC_041956_27	NC_041956	NC_041956	27	18226	19266	-1	E		0
NC_041956_NC_041956_28	NC_041956	NC_041956	28	19263	19454	-1	E		0
NC_041956_NC_041956_29	NC_041956	NC_041956	29	19438	19998	-1	E		0
NC_041956_NC_041956_30	NC_041956	NC_041956	30	19995	20558	-1	E		0
NC_041956_NC_041956_31	NC_041956	NC_041956	31	20602	21273	-1	D	Toprim-like [PF13155.9]	0
NC_041956_NC_041956_32	NC_041956	NC_041956	32	21471	21827	-1	E		0
NC_041956_NC_041956_33	NC_041956	NC_041956	33	21831	22694	-1	D	DnaB-like helicase C terminal domain [PF03796.18]; AAA domain [PF13481.9]	0
NC_041956_NC_041956_34	NC_041956	NC_041956	34	22736	23197	-1	E		0
NC_041956_NC_041956_35	NC_041956	NC_041956	35	23250	23660	-1	E		0
NC_041956_NC_041956_36	NC_041956	NC_041956	36	23657	24604	-1	D	PD-(D/E)XK nuclease superfamily [PF12705.10]	0
NC_041956_NC_041956_37	NC_041956	NC_041956	37	24604	24957	-1	D	dATP/dGTP diphosphohydrolase, N-terminal [PF18909.3]	0
NC_041956_NC_041956_38	NC_041956	NC_041956	38	25063	25263	-1	E		0
NC_041956_NC_041956_39	NC_041956	NC_041956	39	25260	25487	-1	E		0
NC_041956_NC_041956_40	NC_041956	NC_041956	40	25497	26111	-1	E		0
NC_041956_NC_041956_41	NC_041956	NC_041956	41	26157	26468	-1	E		0
NC_041956_NC_041956_42	NC_041956	NC_041956	42	26501	26809	-1	E		0
NC_041956_NC_041956_43	NC_041956	NC_041956	43	27033	27137	-1	E		0
