	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000007.1_1	QGNH01000007.1	QGNH01000007.1	1	2	1414	-1	D	YP_009783026.1	YP_009783026.1 portal protein [Synechococcus phage S-RIM8]	True	0.546	346.0	3.567e-103	MER0194249	N10	MER0194249 - family N10 unassigned peptide lyases (Cylindrospermopsis raciborskii) [N10.UPW]#N10#{peptidase unit: 439-592}~source EFA70527~	False	0.341	78.0	1.491e-13	Bacteriophage T4-like portal protein (Gp20) [PF07230.14]; Intein splicing domain [PF14890.9]					VOG00778	sp|E1XTG6|PORTL_BPSAV Portal protein; XhXpXrXs	Xp;Xs;Xr;Xh	0	False	VF
QGNH01000007.1_2	QGNH01000007.1	QGNH01000007.1	2	1414	2022	-1	D	YP_007674438.1	YP_007674438.1 homing endonuclease [Synechococcus phage S-SKS1]	False	0.274	66.0	2.203e-11								NUMOD3 motif [PF07460.14]								0	False	F
QGNH01000007.1_3	QGNH01000007.1	QGNH01000007.1	3	2064	2654	-1	E	YP_009323075.1	YP_009323075.1 tail tube [Synechococcus phage S-CAM7]	False	0.435	147.0	4.87e-39													VOG00050	sp|P13333|TUBE_BPT4 Tail tube protein gp19; XhXpXrXs	Xp;Xs;Xr;Xh	0	False	VF
QGNH01000007.1_4	QGNH01000007.1	QGNH01000007.1	4	2684	4960	-1	D	YP_009098945.1	YP_009098945.1 tail sheath [Caulobacter phage Cr30]	False	0.288	317.0	1.827e-89								Phage tail sheath protein subtilisin-like domain [PF04984.17]; Phage tail sheath C-terminal domain [PF17482.5]					VOG00168	sp|P13332|TSP_BPT4 Tail sheath protein; XpXrXs	Xp;Xs;Xr	0	False	VF
QGNH01000007.1_5	QGNH01000007.1	QGNH01000007.1	5	5041	7773	-1	D	YP_009602116.1	YP_009602116.1 terminase large subunit [Escherichia phage ECD7]	True	0.364	517.0	5.268e-155	MER0223699	N09	MER0223699 - family N9 unassigned peptide lyases (Sulfurovum sp. NBC37-1) [N09.UPW]#N09#{peptidase unit: 206-550}~source YP_001359430~	False	0.274	104.0	7.732e-21	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Hom_end-associated Hint [PF05203.19]; Terminase RNaseH-like domain [PF17289.5]; Homing endonuclease [PF05204.17]; LAGLIDADG-like domain [PF14528.9]					VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xr;Xh	0	False	VP
QGNH01000007.1_6	QGNH01000007.1	QGNH01000007.1	6	7784	9325	-1	E																						0	False	
QGNH01000007.1_7	QGNH01000007.1	QGNH01000007.1	7	9327	9857	-1	D	YP_010669718.1	YP_010669718.1 terminase small subunit [Synechococcus phage S-SCSM1]	False	0.423	83.0	3.416e-17								Terminase DNA packaging enzyme [PF11053.11]					VOG07293	sp|P17311|TERS_BPT4 Terminase, small subunit; Xr	Xr	0	False	V
QGNH01000007.1_8	QGNH01000007.1	QGNH01000007.1	8	9867	10631	-1	D	YP_007673124.1	YP_007673124.1 tail sheath stabilizer [Synechococcus phage S-CAM1]	False	0.33	123.0	5.143e-30								T4-like virus Myoviridae tail sheath stabiliser [PF16724.8]					VOG04621	sp|P11112|COMPL_BPT4 Tail completion protein gp15; XhXs	Xs;Xh	0	False	VF
QGNH01000007.1_9	QGNH01000007.1	QGNH01000007.1	9	10646	11296	-1	D														Methyltransferase FkbM domain [PF05050.15]					VOG00316	REFSEQ methyltransferase; Xu	Xu	0	False	F
QGNH01000007.1_10	QGNH01000007.1	QGNH01000007.1	10	11297	14989	-1	D	YP_214498.1	YP_214498.1 methyltransferase [Prochlorococcus phage P-SSM2]	False	0.284	74.0	8.228e-12								Glycosyltransferase like family 2 [PF13641.9]; Glycosyl transferase family 2 [PF00535.29]; Glycosyl transferases group 1 [PF00534.23]; Methyltransferase FkbM domain [PF05050.15]; Glycosyltransferase like family 2 [PF10111.12]; Glycosyl transferases group 1 [PF13692.9]; Glycosyltransferase family 9 (heptosyltransferase) [PF01075.20]; Glycosyl transferase family 21 [PF13506.9]	GT74; GT2_Glycos_transf_2; GT2_Glyco_tranf_2_3; GT112	GT112 ADP-glyceromannoheptose: glycoprotein O-heptosyltransferase (EC 2.4.99.-); GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-); GT74 alpha-1,2-L-fucosyltransferase (EC 2.4.1.69)	2.4.99.-; 	GT112.hmm	VOG00316	REFSEQ methyltransferase; Xu	Xu	0	False	MKF
