	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
SAMN03319930_LCOH01000001.1_1	SAMN03319930	LCOH01000001.1	1	2	472	-1	D										Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]; Met-10+ like-protein [PF02475.19]; Vibrio cholerae RfbT protein [PF05575.14]; Methyltransferase FkbM domain [PF05050.15]; tRNA methyltransferase complex GCD14 subunit [PF08704.13]; 16S rRNA methyltransferase RsmB/F [PF01189.20]; ubiE/COQ5 methyltransferase family [PF01209.21]					0
SAMN03319930_LCOH01000001.1_2	SAMN03319930	LCOH01000001.1	2	500	1504	1	E															0
SAMN03319930_LCOH01000001.1_3	SAMN03319930	LCOH01000001.1	3	1501	2286	-1	E															0
SAMN03319930_LCOH01000001.1_4	SAMN03319930	LCOH01000001.1	4	2341	2724	1	D										GtrA-like protein [PF04138.17]					0
SAMN03319930_LCOH01000001.1_5	SAMN03319930	LCOH01000001.1	5	2740	3780	1	C	K12454	CDP-paratose 2-epimerase [EC:5.1.3.10]								GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; RmlD substrate binding domain [PF04321.20]; Polysaccharide biosynthesis protein [PF02719.18]					0
SAMN03319930_LCOH01000001.1_6	SAMN03319930	LCOH01000001.1	6	3770	4474	1	D										Nucleotidyl transferase [PF00483.26]; MobA-like NTP transferase domain [PF12804.10]; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [PF01128.22]					0
SAMN03319930_LCOH01000001.1_7	SAMN03319930	LCOH01000001.1	7	4504	5487	1	D										GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; NAD(P)H-binding [PF13460.9]; Polysaccharide biosynthesis protein [PF02719.18]; NmrA-like family [PF05368.16]; Male sterility protein [PF07993.15]; short chain dehydrogenase [PF00106.28]					0
SAMN03319930_LCOH01000001.1_8	SAMN03319930	LCOH01000001.1	8	5490	6896	-1	D										Methionine biosynthesis protein MetW [PF07021.15]					0
SAMN03319930_LCOH01000001.1_9	SAMN03319930	LCOH01000001.1	9	6878	8422	-1	E															0
SAMN03319930_LCOH01000001.1_10	SAMN03319930	LCOH01000001.1	10	8406	10178	-1	E															0
SAMN03319930_LCOH01000001.1_11	SAMN03319930	LCOH01000001.1	11	10196	11029	1	D										Glycosyltransferase like family 2 [PF13641.9]; Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF10111.12]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
SAMN03319930_LCOH01000001.1_12	SAMN03319930	LCOH01000001.1	12	11026	12135	1	D										Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]; Glycosyltransferase Family 4 [PF13439.9]; Glycosyl transferase 4-like domain [PF13579.9]; Glycosyl transferases group 1 [PF13524.9]	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132	GT4.hmm	0
SAMN03319930_LCOH01000001.1_13	SAMN03319930	LCOH01000001.1	13	12181	13164	1	C	K10046	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]								GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; RmlD substrate binding domain [PF04321.20]; NmrA-like family [PF05368.16]					0
SAMN03319930_LCOH01000001.1_14	SAMN03319930	LCOH01000001.1	14	13164	14129	1	C	K02377	GDP-L-fucose synthase [EC:1.1.1.271]								NAD dependent epimerase/dehydratase family [PF01370.24]; GDP-mannose 4,6 dehydratase [PF16363.8]; RmlD substrate binding domain [PF04321.20]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]					0
SAMN03319930_LCOH01000001.1_15	SAMN03319930	LCOH01000001.1	15	14133	14897	1	D										RmlD substrate binding domain [PF04321.20]; NAD dependent epimerase/dehydratase family [PF01370.24]					0
SAMN03319930_LCOH01000001.1_16	SAMN03319930	LCOH01000001.1	16	14926	16074	1	D										DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.20]					0
SAMN03319930_LCOH01000001.1_17	SAMN03319930	LCOH01000001.1	17	16086	17237	1	D										Glycosyl transferases group 1 [PF13692.9]					0
SAMN03319930_LCOH01000001.1_18	SAMN03319930	LCOH01000001.1	18	17271	18179	1	D										RmlD substrate binding domain [PF04321.20]; GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; Polysaccharide biosynthesis protein [PF02719.18]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]					0
