#hmm_accession	TC1	TC2	gene_symbol	length	hmm_description	scope	type	subtype	class	subclass	db_version	hierarchy_node
NF000100.2	          510.000000	          510.000000	aac(2')-IIa	238	kasugamycin N-acetyltransferase AAC(2')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	KASUGAMYCIN	2024-01-31.1	aac(2')-IIa
NF033472.1	          390.000000	          390.000000	aac(2')-IIb	228	kasugamycin N-acetyltransferase AAC(2')-IIb	core	AMR	AMR	AMINOGLYCOSIDE	KASUGAMYCIN	2024-01-31.1	aac(2')-IIb
NF000108.1	          350.000000	          350.000000	aac(2')-Ia	178	aminoglycoside N-acetyltransferase AAC(2')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	2024-01-31.1	aac(2')-Ia
NF000010.1	          400.000000	          400.000000	aac(2')-Ib	195	aminoglycoside N-acetyltransferase AAC(2')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	2024-01-31.1	aac(2')-Ib
NF000034.1	          375.000000	          375.000000	aac(2')-Ic	181	aminoglycoside N-acetyltransferase AAC(2')-Ic	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	2024-01-31.1	aac(2')-Ic
NF000042.1	          400.000000	          400.000000	aac(2')-Id	210	aminoglycoside N-acetyltransferase AAC(2')-Id	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	2024-01-31.1	aac(2')-Id
NF000054.1	          400.000000	          400.000000	aac(2')-Ie	182	aminoglycoside N-acetyltransferase AAC(2')-Ie	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	2024-01-31.1	aac(2')-Ie
NF033082.0	          270.000000	          270.000000	aac(3)	262	aminoglycoside 3-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	2024-01-31.1	aac(3)
NF033083.0	          200.000000	          200.000000	aac(3)-I	145	AAC(3)-I family aminoglycoside N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	2024-01-31.1	aac(3)-I
NF033080.0	          480.000000	          480.000000	aac(3)-II	268	AAC(3)-II family aminoglycoside N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	2024-01-31.1	aac(3)-II
NF033081.0	          420.000000	          420.000000	aac(3)-IV	252	AAC(3)-IV family aminoglycoside N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	2024-01-31.1	aac(3)_IV_fam
NF033180.1	          560.000000	          560.000000	aac(3)-VIII	286	aminoglycoside N-acetyltransferase AAC(3)-VIII	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(3)-VIII
NF033612.0	          675.000000	          675.000000	aac(3)-VIa	298	aminoglycoside N-acetyltransferase AAC(3)-VIa	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	2024-01-31.1	aac(3)-VIa
NF000482.1	          300.000000	          300.000000	aac(3)-XI	148	aminoglycoside N-acetyltransferase AAC(3)-XI	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(3)-XI
NF012165.0	          280.000000	          280.000000	aac(6')	177	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')-set_A
NF043067.1	          140.000000	          140.000000	aac(6')	140	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')_E
NF033078.2	          265.000000	          265.000000	aac(6')	181	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')_Ia_fam
NF000140.3	          270.000000	          270.000000	aac(6')	145	cryptic aminoglycoside N-acetyltransferase AAC(6')-Iy/Iaa	non-reported	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')_Salmo
NF000021.4	          310.000000	          310.000000	aac(6')	146	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')_Serra
NF033075.0	          290.000000	          290.000000	aac(6')	148	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')_Steno
NF000225.3	          250.000000	          250.000000	aac(6')	156	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')_Strep
NF033076.0	          290.000000	          290.000000	aac(6')	140	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')_Yersi
NF000050.2	          250.000000	          250.000000	aac(6')-29	131	aminoglycoside 6'-N-acetyltransferase AAC(6')-29	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')-29
NF033077.0	          255.000000	          255.000000	aac(6')-30	129	aminoglycoside 6'-N-acetyltransferase AAC(6')-30	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')-30
NF000118.3	          385.000000	          385.000000	aac(6')-31	172	aminoglycoside N-acetyltransferase AAC(6')-31	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')-31
NF000224.3	          225.000000	          225.000000	aac(6')-I	146	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aac(6')_Acine
NF000165.3	          300.000000	          300.000000	aac(6')-I	178	aminoglycoside N-acetyltransferase AAC(6')-Ii	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')_Entco
NF038102.1	          305.000000	          305.000000	aac(6')-III	156	tobramycin N-acetyltransferase AAC(6')-III	core	AMR	AMR	AMINOGLYCOSIDE	TOBRAMYCIN	2024-01-31.1	aac(6')-III
NF000135.2	          415.000000	          415.000000	aac(6')-IIc	193	aminoglycoside N-acetyltransferase AAC(6')-IIc	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aac(6')-IIc
NF000115.2	          275.000000	          275.000000	aac(6')-Iad	144	aminoglycoside N-acetyltransferase AAC(6')-Iad	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	2024-01-31.1	aac(6')-Iad
NF000497.1	          325.000000	          325.000000	aac(6')-Iak	153	aminoglycoside N-acetyltransferase AAC(6')-Iak	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')-Iak
