KO Id	Name	Level	Count
	lvl1: Metabolism	1	1168
	lvl2: Carbohydrate metabolism	2	290
	lvl3: Propanoate metabolism [PATH:ko00640]	3	23
K00005	K00005: gldA; glycerol dehydrogenase	Function	2
	lvl2: Lipid metabolism	2	64
	lvl3: Glycerolipid metabolism [PATH:ko00561]	3	15
	lvl3: Fructose and mannose metabolism [PATH:ko00051]	3	17
K00009	K00009: mtlD; mannitol-1-phosphate 5-dehydrogenase	Function	1
	lvl3: Inositol phosphate metabolism [PATH:ko00562]	3	9
K00010	K00010: iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	Function	2
	lvl2: Biosynthesis of other secondary metabolites	2	40
	lvl3: Streptomycin biosynthesis [PATH:ko00521]	3	7
	lvl3: Pentose and glucuronate interconversions [PATH:ko00040]	3	8
K00012	K00012: UGDH, ugd; UDPglucose 6-dehydrogenase	Function	4
	lvl3: Ascorbate and aldarate metabolism [PATH:ko00053]	3	8
	lvl3: Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	3	30
	lvl2: Glycan biosynthesis and metabolism	2	57
	lvl3: O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	3	19
	lvl2: Amino acid metabolism	2	238
	lvl3: Histidine metabolism [PATH:ko00340]	3	15
K00013	K00013: hisD; histidinol dehydrogenase	Function	1
	lvl3: Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	3	19
K00014	K00014: aroE; shikimate dehydrogenase	Function	1
	lvl3: Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	3	24
K00015	K00015: gyaR, GOR1; glyoxylate reductase	Function	1
	lvl3: Glycolysis / Gluconeogenesis [PATH:ko00010]	3	30
K00016	K00016: LDH, ldh; L-lactate dehydrogenase	Function	8
	lvl3: Pyruvate metabolism [PATH:ko00620]	3	33
	lvl3: Cysteine and methionine metabolism [PATH:ko00270]	3	37
	lvl1: Environmental Information Processing	1	260
	lvl2: Signal transduction	2	110
	lvl3: HIF-1 signaling pathway [PATH:ko04066]	3	5
	lvl1: Organismal Systems	1	61
	lvl2: Endocrine system	2	18
	lvl3: Glucagon signaling pathway [PATH:ko04922]	3	5
	lvl1: Human Diseases	1	128
	lvl2: Cancer: overview	2	13
	lvl3: Central carbon metabolism in cancer [PATH:ko05230]	3	4
	lvl1: Brite Hierarchies	1	1414
	lvl2: Protein families: signaling and cellular processes	2	590
	lvl3: Exosome [BR:ko04147]	3	34
	lvl3: Valine, leucine and isoleucine degradation [PATH:ko00280]	3	11
K00020	K00020: HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	Function	1
	lvl3: Citrate cycle (TCA cycle) [PATH:ko00020]	3	19
K00024	K00024: mdh; malate dehydrogenase	Function	7
	lvl2: Energy metabolism	2	121
	lvl3: Carbon fixation in photosynthetic organisms [PATH:ko00710]	3	12
	lvl3: Carbon fixation pathways in prokaryotes [PATH:ko00720]	3	22
	lvl3: Methane metabolism [PATH:ko00680]	3	22
K00027	K00027: ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)	Function	2
	lvl3: Two-component system [PATH:ko02020]	3	92
K00029	K00029: E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	Function	3
	lvl3: PPAR signaling pathway [PATH:ko03320]	3	3
K00030	K00030: IDH3; isocitrate dehydrogenase (NAD+)	Function	1
	lvl3: Pentose phosphate pathway [PATH:ko00030]	3	19
K00033	K00033: PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	Function	2
	lvl2: Metabolism of other amino acids	2	48
	lvl3: Glutathione metabolism [PATH:ko00480]	3	12
K00034	K00034: gdh; glucose 1-dehydrogenase	Function	1
K00036	K00036: G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	Function	5
	lvl2: Cardiovascular disease	2	13
	lvl3: Diabetic cardiomyopathy [PATH:ko05415]	3	6
	lvl3: Steroid hormone biosynthesis [PATH:ko00140]	3	1
K00038	K00038: E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase	Function	1
	lvl3: Glycerophospholipid metabolism [PATH:ko00564]	3	17
K00057	K00057: gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)	Function	1
