	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_044946.1_NC_044946.1_1	NC_044946.1	NC_044946.1	1	66	296	-1	E											0
NC_044946.1_NC_044946.1_2	NC_044946.1	NC_044946.1	2	446	970	1	E											0
NC_044946.1_NC_044946.1_3	NC_044946.1	NC_044946.1	3	1110	1361	-1	E											0
NC_044946.1_NC_044946.1_4	NC_044946.1	NC_044946.1	4	1444	1722	-1	E											0
NC_044946.1_NC_044946.1_5	NC_044946.1	NC_044946.1	5	1905	2966	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044946.1_NC_044946.1_6	NC_044946.1	NC_044946.1	6	3160	3975	-1	D										Viral family 110 [PF01639.20]	0
NC_044946.1_NC_044946.1_7	NC_044946.1	NC_044946.1	7	4118	4459	-1	D										Viral family 110 [PF01639.20]	0
NC_044946.1_NC_044946.1_8	NC_044946.1	NC_044946.1	8	4558	4734	-1	D										Viral family 110 [PF01639.20]	0
NC_044946.1_NC_044946.1_9	NC_044946.1	NC_044946.1	9	5282	5656	-1	D										Viral family 110 [PF01639.20]	0
NC_044946.1_NC_044946.1_10	NC_044946.1	NC_044946.1	10	8786	9154	1	E											0
NC_044946.1_NC_044946.1_11	NC_044946.1	NC_044946.1	11	9204	9296	1	E											0
NC_044946.1_NC_044946.1_12	NC_044946.1	NC_044946.1	12	9277	9843	-1	D										Viral family 110 [PF01639.20]	0
NC_044946.1_NC_044946.1_13	NC_044946.1	NC_044946.1	13	10392	10544	-1	D										Viral family 110 [PF01639.20]	0
NC_044946.1_NC_044946.1_14	NC_044946.1	NC_044946.1	14	11446	11961	-1	D										Viral family 110 [PF01639.20]	0
NC_044946.1_NC_044946.1_15	NC_044946.1	NC_044946.1	15	12047	12520	-1	D										Viral family 110 [PF01639.20]	0
NC_044946.1_NC_044946.1_16	NC_044946.1	NC_044946.1	16	13471	14238	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044946.1_NC_044946.1_17	NC_044946.1	NC_044946.1	17	15081	16244	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044946.1_NC_044946.1_18	NC_044946.1	NC_044946.1	18	17292	17507	1	E											0
NC_044946.1_NC_044946.1_19	NC_044946.1	NC_044946.1	19	17805	18611	-1	E											0
NC_044946.1_NC_044946.1_20	NC_044946.1	NC_044946.1	20	18571	18672	-1	E											0
NC_044946.1_NC_044946.1_21	NC_044946.1	NC_044946.1	21	19380	19922	1	E											0
NC_044946.1_NC_044946.1_22	NC_044946.1	NC_044946.1	22	20011	21003	-1	E											0
NC_044946.1_NC_044946.1_23	NC_044946.1	NC_044946.1	23	21350	22117	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044946.1_NC_044946.1_24	NC_044946.1	NC_044946.1	24	22289	23353	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044946.1_NC_044946.1_25	NC_044946.1	NC_044946.1	25	23437	24507	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
