	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
BK059162.1_1	GCA_020497825.1	BK059162.1	1	1	552	1	E											0	False	F
BK059162.1_2	GCA_020497825.1	BK059162.1	2	854	1843	1	E								VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xr;Xh	0	False	VF
BK059162.1_3	GCA_020497825.1	BK059162.1	3	1868	2617	-1	D	YP_010772161.1	YP_010772161.1 MAG: hypothetical protein QIT36_gp078 [Methanophagales virus GBV301]	False	0.238	64.0	4.528e-10	Concanavalin A-like lectin/glucanases superfamily [PF13385.9]				0	False	MKF
BK059162.1_4	GCA_020497825.1	BK059162.1	4	2710	3138	-1	E											0	False	F
BK059162.1_5	GCA_020497825.1	BK059162.1	5	3184	3498	-1	E											0	False	F
BK059162.1_6	GCA_020497825.1	BK059162.1	6	3516	3893	-1	E											0	False	F
BK059162.1_7	GCA_020497825.1	BK059162.1	7	3904	4080	-1	E											0	False	F
BK059162.1_8	GCA_020497825.1	BK059162.1	8	4082	5092	-1	E											0	False	F
BK059162.1_9	GCA_020497825.1	BK059162.1	9	5113	6075	-1	E											0	False	
BK059162.1_10	GCA_020497825.1	BK059162.1	10	6186	6446	1	E											0	False	
BK059162.1_11	GCA_020497825.1	BK059162.1	11	6716	7006	-1	D							Tetratricopeptide repeat [PF13429.9]; TPR repeat [PF13414.9]; Tetratricopeptide repeat [PF13431.9]				0	False	
BK059162.1_12	GCA_020497825.1	BK059162.1	12	7014	7223	-1	D							TPR repeat [PF13414.9]; Plant specific mitochondrial import receptor subunit TOM20 [PF06552.15]; Tetratricopeptide repeat [PF13429.9]; Tetratricopeptide repeat [PF13431.9]; Tetratricopeptide repeat [PF14559.9]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]				0	False	
BK059162.1_13	GCA_020497825.1	BK059162.1	13	7180	7515	-1	E											0	False	
BK059162.1_14	GCA_020497825.1	BK059162.1	14	7608	7766	-1	E											0	False	
BK059162.1_15	GCA_020497825.1	BK059162.1	15	7779	8408	-1	E											0	False	
BK059162.1_16	GCA_020497825.1	BK059162.1	16	8439	8897	-1	E											0	False	
BK059162.1_17	GCA_020497825.1	BK059162.1	17	8922	9149	-1	E											0	False	
BK059162.1_18	GCA_020497825.1	BK059162.1	18	9176	9412	-1	E											0	False	
BK059162.1_19	GCA_020497825.1	BK059162.1	19	9970	10080	-1	E											0	False	
BK059162.1_20	GCA_020497825.1	BK059162.1	20	10855	11004	-1	E											0	False	
BK059162.1_21	GCA_020497825.1	BK059162.1	21	11001	11222	-1	E											0	False	
BK059162.1_22	GCA_020497825.1	BK059162.1	22	11431	11712	-1	E											0	False	
BK059162.1_23	GCA_020497825.1	BK059162.1	23	11803	12162	-1	E											1	False	
BK059162.1_24	GCA_020497825.1	BK059162.1	24	12165	12335	-1	E											0	False	
BK059162.1_25	GCA_020497825.1	BK059162.1	25	12351	12530	-1	E											0	False	
BK059162.1_26	GCA_020497825.1	BK059162.1	26	12555	12779	-1	E											0	False	
BK059162.1_27	GCA_020497825.1	BK059162.1	27	12776	15109	-1	D	YP_010772338.1	YP_010772338.1 hypothetical protein QIT38_gp43 [Methanocaldococcus fervens tailed virus 1]	False	0.277	243.0	6.108e-65	MCM P-loop domain [PF00493.26]; MCM AAA-lid domain [PF17855.4]; MCM OB domain [PF17207.6]; Magnesium chelatase, subunit ChlI [PF01078.24]	VOG14467	sp|Q9UXG1|MCM_SACS2 Minichromosome maintenance protein MCM; XhXr	Xr;Xh	0	False	V
BK059162.1_28	GCA_020497825.1	BK059162.1	28	15165	15317	-1	E											0	False	
BK059162.1_29	GCA_020497825.1	BK059162.1	29	15962	16756	-1	D							Phosphoadenosine phosphosulfate reductase family [PF01507.22]	VOG01425	sp|P77216|YBDN_ECOLI Uncharacterized protein YbdN; Xu	Xu	0	False	
BK059162.1_30	GCA_020497825.1	BK059162.1	30	17367	18914	-1	E											0	False	F
BK059162.1_31	GCA_020497825.1	BK059162.1	31	18899	19660	-1	E											0	False	F
BK059162.1_32	GCA_020497825.1	BK059162.1	32	19657	19998	-1	E											0	False	F
BK059162.1_33	GCA_020497825.1	BK059162.1	33	20006	20134	-1	E											0	False	F
BK059162.1_34	GCA_020497825.1	BK059162.1	34	20453	20671	-1	E	YP_010773225.1	YP_010773225.1 hypothetical protein QIT82_gp19 [Pseudomonas phage psageK9]	False	0.509	65.0	8.544e-13		VOG04311	REFSEQ hypothetical protein; Xu	Xu	0	False	F
BK059162.1_35	GCA_020497825.1	BK059162.1	35	20668	21819	-1	E											0	False	F
BK059162.1_36	GCA_020497825.1	BK059162.1	36	22040	22585	1	E											0	False	F
