KO Id	Name	Level	Count
	lvl1: Nucleotide transport and metabolism	1	12
	lvl2: Purine nucleoside phosphorylase	2	1
	lvl3: nan	3	215
COG0005	COG0005: XapA:Purine salvage	Function	1
	lvl1: Translation, ribosomal structure and biogenesis	1	11
	lvl2: Glutamyl- or glutaminyl-tRNA synthetase	2	1
COG0008	COG0008: GlnS:Heme biosynthesis	Function	1
	lvl2: Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	2	1
COG0026	COG0026: PurK:Purine biosynthesis	Function	1
	lvl1: Amino acid transport and metabolism	1	21
	lvl2: Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	2	2
COG0028	COG0028: IlvB:Isoleucine, leucine, valine biosynthesis	Function	2
	lvl1: Coenzyme transport and metabolism	1	13
	lvl2: Cysteine synthase	2	1
COG0031	COG0031: CysK:Cysteine biosynthesis	Function	1
	lvl1: Energy production and conversion	1	15
	lvl2: Malate/lactate dehydrogenase	2	1
COG0039	COG0039: Mdh:TCA cycle	Function	1
	lvl2: Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	2	1
COG0041	COG0041: PurE:Purine biosynthesis	Function	1
	lvl2: 6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	2	1
COG0054	COG0054: RibE:Riboflavin/FAD biosynthesis	Function	1
	lvl2: Ketol-acid reductoisomerase	2	2
COG0059	COG0059: IlvC:Isoleucine, leucine, valine biosynthesis	Function	2
	lvl2: Ribosomal protein L11	2	1
COG0080	COG0080: RplK:Ribosome 50S subunit	Function	1
	lvl2: Ribosomal protein L1	2	1
COG0081	COG0081: RplA:Ribosome 50S subunit	Function	1
	lvl2: Phosphoglycerate dehydrogenase or related dehydrogenase	2	1
COG0111	COG0111: SerA:Serine biosynthesis	Function	1
	lvl2: Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	2	2
COG0115	COG0115: IlvE:Isoleucine, leucine, valine biosynthesis	Function	2
	lvl2: Histidyl-tRNA synthetase	2	1
COG0124	COG0124: HisS:Aminoacyl-tRNA synthetases	Function	1
	lvl2: Thymidylate kinase	2	1
COG0125	COG0125: Tmk:Thymidylate biosynthesis	Function	1
	lvl2: Dihydroxyacid dehydratase/phosphogluconate dehydratase	2	2
COG0129	COG0129: IlvD:Isoleucine, leucine, valine biosynthesis	Function	2
	lvl1: Carbohydrate transport and metabolism	1	26
	lvl2: Aspartate-semialdehyde dehydrogenase	2	1
COG0136	COG0136: Asd:Lysine biosynthesis	Function	1
	lvl2: Enolase	2	1
COG0148	COG0148: Eno:Glycolysis	Function	1
	lvl1: Secondary metabolites biosynthesis, transport and catabolism	1	6
	lvl2: 2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	2	1
COG0179	COG0179: YcgM:	Function	1
	lvl2: Tryptophanyl-tRNA synthetase	2	1
COG0180	COG0180: TrpS:Aminoacyl-tRNA synthetases	Function	1
	lvl2: Peptidyl-tRNA hydrolase	2	1
COG0193	COG0193: Pth:Translation factors	Function	1
	lvl2: Thymidine phosphorylase	2	1
COG0213	COG0213: DeoA:Pyrimidine salvage	Function	1
	lvl2: Ribosomal protein L7/L12	2	1
COG0222	COG0222: RplL:Ribosome 50S subunit	Function	1
	lvl2: Ribosomal protein L10	2	1
COG0244	COG0244: RplJ:Ribosome 50S subunit	Function	1
	lvl1: Transcription	1	13
	lvl2: Transcription termination/antitermination protein NusG	2	1
COG0250	COG0250: NusG:	Function	1
	lvl1: Defense mechanisms	1	6
	lvl2: Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	2	1
COG0251	COG0251: RidA:Pyrimidine degradation	Function	1
	lvl2: FAD/FMN-containing lactate dehydrogenase/glycolate oxidase	2	1
COG0277	COG0277: GlcD:	Function	1
	lvl2: Acetate kinase	2	1
COG0282	COG0282: AckA:	Function	1
	lvl2: Cytidine deaminase	2	1
COG0295	COG0295: Cdd:Pyrimidine salvage	Function	1
	lvl2: Riboflavin synthase alpha chain	2	1
COG0307	COG0307: RibC:Riboflavin/FAD biosynthesis	Function	1
	lvl2: Biotin-(acetyl-CoA carboxylase) ligase	2	1
COG0340	COG0340: BirA2:Biotin biosynthesis	Function	1
	lvl1: Replication, recombination and repair	1	9
	lvl2: Recombinational DNA repair protein RecR	2	1
COG0353	COG0353: RecR:	Function	1
	lvl2: 6-phosphogluconate dehydrogenase	2	1
COG0362	COG0362: Gnd:Pentose phosphate pathway	Function	1
	lvl1: Lipid transport and metabolism	1	8
	lvl2: Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	2	1
COG0365	COG0365: Acs:	Function	1
	lvl2: Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate	2	1
COG0388	COG0388: Nit2:	Function	1
	lvl2: 7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily	2	1
COG0424	COG0424: Maf:	Function	1
	lvl2: Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains	2	1
COG0433	COG0433: HerA:	Function	1
	lvl2: Aspartate/methionine/tyrosine aminotransferase	2	1
COG0436	COG0436: AspB:Isoleucine, leucine, valine biosynthesis	Function	1
	lvl2: Acetolactate synthase, small subunit	2	1
COG0440	COG0440: IlvH:Isoleucine, leucine, valine biosynthesis	Function	1
	lvl2: Phosphoribosylpyrophosphate synthetase	2	1
COG0462	COG0462: PrsA:Histidine biosynthesis, Purine biosynthesis	Function	1
	lvl2: Isocitrate/isopropylmalate dehydrogenase	2	2
COG0473	COG0473: LeuB:TCA cycle	Function	2
	lvl2: MFS family permease, includes anhydromuropeptide permease AmpG	2	4
COG0477	COG0477: ProP:	Function	4
	lvl1: Inorganic ion transport and metabolism	1	5
	lvl1: General function prediction only	1	16
	lvl2: Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	2	1
COG0479	COG0479: SdhB/FrdB:TCA cycle	Function	1
	lvl2: Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	2	1
COG0491	COG0491: GloB:	Function	1
	lvl1: Posttranslational modification, protein turnover, chaperones	1	7
	lvl2: Thioredoxin reductase	2	1
COG0492	COG0492: TrxB:	Function	1
	lvl2: Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE	2	1
COG0496	COG0496: SurE:	Function	1
	lvl2: S-adenosylhomocysteine hydrolase	2	1
COG0499	COG0499: SAM1:	Function	1
	lvl2: Sugar or nucleoside kinase, ribokinase family	2	1
COG0524	COG0524: RbsK:Glycolysis	Function	1
	lvl2: Thiol-disulfide isomerase or thioredoxin	2	1
COG0526	COG0526: TrxA:	Function	1
	lvl2: Aspartate kinase	2	1
COG0527	COG0527: MetL1:Lysine biosynthesis	Function	1
	lvl2: Serine transporter YbeC, amino acid:H+ symporter family	2	1
COG0531	COG0531: PotE:	Function	1
	lvl2: L-2-hydroxyglutarate oxidase LhgO	2	1
COG0579	COG0579: LhgO:	Function	1
	lvl2: Na+/proline symporter	2	1
COG0591	COG0591: PutP:	Function	1
	lvl2: Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family	2	1
COG0599	COG0599: YurZ:	Function	1
	lvl2: ABC-type dipeptide/oligopeptide/nickel transport system, permease component	2	4
COG0601	COG0601: DppB:	Function	2
	lvl2: Cystathionine beta-lyase/cystathionine gamma-synthase	2	1
COG0626	COG0626: MetC:Methionine biosynthesis	Function	1
	lvl2: Predicted PurR-regulated permease PerM	2	1
COG0628	COG0628: PerM:	Function	1
	lvl2: 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	2	2
COG0654	COG0654: UbiH:Ubiquinone biosynthesis	Function	2
	lvl2: Glycine/D-amino acid oxidase (deaminating)	2	1
COG0665	COG0665: DadA:	Function	1
	lvl2: Exonuclease III	2	1
COG0708	COG0708: XthA:	Function	1
	lvl1: Cell wall/membrane/envelope biogenesis	1	14
	lvl2: Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase	2	1
COG0744	COG0744: MrcB:	Function	1
	lvl2: ABC-type transport system, periplasmic component	2	1
COG0747	COG0747: DdpA:	Function	1
	lvl2: Transcription elongation factor, GreA/GreB family	2	1
COG0782	COG0782: GreA:	Function	1
	lvl2: Cytochrome c biogenesis protein CcdA	2	2
COG0785	COG0785: CcdA:	Function	2
	lvl2: DNA-binding transcriptional regulator, MerR family	2	1
COG0789	COG0789: SoxR:	Function	1
	lvl2: Arsenite efflux pump ArsB, ACR3 family	2	1
COG0798	COG0798: ACR3:	Function	1
	lvl2: GTP cyclohydrolase II	2	1
COG0807	COG0807: RibA:Riboflavin/FAD biosynthesis	Function	1
	lvl2: Mannose-1-phosphate guanylyltransferase	2	1
COG0836	COG0836: CpsB:	Function	1
	lvl2: ABC-type multidrug transport system, permease component	2	1
COG0842	COG0842: YadH:	Function	1
	lvl2: BioD-like N-terminal domain of phosphotransacetylase	2	1
COG0857	COG0857: PtaN:	Function	1
	lvl2: UDP-glucose 6-dehydrogenase	2	1
COG1004	COG1004: Ugd:	Function	1
	lvl2: Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	2	1
COG1012	COG1012: AdhE:Proline degradation	Function	1
	lvl2: Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	2	1
COG1053	COG1053: SdhA:TCA cycle	Function	1
	lvl2: Threonine dehydrogenase or related Zn-dependent dehydrogenase	2	2
COG1063	COG1063: Tdh:Non-phosphorylated Entner-Doudoroff pathway	Function	2
	lvl2: D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family	2	1
COG1064	COG1064: AdhP:	Function	1
	lvl2: ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ	2	1
COG1079	COG1079: NupQ:	Function	1
	lvl2: Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)	2	1
COG1080	COG1080: PtsA:	Function	1
	lvl2: Sugar phosphate isomerase/epimerase	2	1
COG1082	COG1082: YcjR:	Function	1
	lvl2: dTDP-D-glucose 4,6-dehydratase	2	1
COG1088	COG1088: RfbB:	Function	1
	lvl2: dTDP-4-dehydrorhamnose reductase	2	1
COG1091	COG1091: RfbD:	Function	1
	lvl2: 1-phosphofructokinase or 6-phosphofructokinase II	2	1
COG1105	COG1105: FruK:	Function	1
	lvl2: Phosphomannomutase	2	1
COG1109	COG1109: ManB:	Function	1
	lvl2: ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain	2	1
COG1123	COG1123: GsiA:	Function	1
	lvl2: ABC-type sugar transport system, ATPase component	2	1
COG1129	COG1129: MglA:	Function	1
	lvl2: ABC-type multidrug transport system, ATPase component	2	1
COG1131	COG1131: CcmA:	Function	1
	lvl2: ABC-type multidrug transport system, ATPase and permease component	2	1
COG1132	COG1132: MdlB:	Function	1
	lvl2: ABC-type polysaccharide/polyol phosphate transport system, ATPase component	2	1
COG1134	COG1134: TagH:	Function	1
	lvl2: Threonine deaminase	2	1
COG1171	COG1171: IlvA:Isoleucine, leucine, valine biosynthesis	Function	1
COG1173	COG1173: DppC:	Function	2
	lvl2: Transcription-repair coupling factor (superfamily II helicase)	2	2
COG1197	COG1197: Mfd:	Function	2
	lvl2: Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	2	1
COG1207	COG1207: GlmU:	Function	1
	lvl2: dTDP-glucose pyrophosphorylase	2	1
COG1209	COG1209: RmlA1:	Function	1
	lvl2: Glycosyltransferase, GT2 family	2	1
COG1216	COG1216: WcaE:	Function	1
	lvl2: Imidazolonepropionase or related amidohydrolase	2	1
COG1228	COG1228: HutI:	Function	1
	lvl2: Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	2	1
COG1249	COG1249: Lpd:Glycine cleavagePyruvate oxidation	Function	1
	lvl2: NADH dehydrogenase, FAD-containing subunit	2	1
COG1252	COG1252: Ndh:	Function	1
	lvl1: Cell motility	1	1
	lvl2: Flagellar basal body P-ring formation protein FlgA	2	1
COG1261	COG1261: FlgA:	Function	1
	lvl1: Function unknown	1	11
	lvl2: Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)	2	1
COG1295	COG1295: BrkB:	Function	1
	lvl2: Anionic cell wall polymer biosynthesis enzyme TagV/TagU,  LytR-Cps2A-Psr (LCP) family (peptidoglycan teichoic acid transferase)	2	1
COG1316	COG1316: Cps2a:	Function	1
	lvl2: Nicotinamidase-related amidase	2	2
COG1335	COG1335: PncA:Pyrimidine degradation	Function	2
	lvl2: 5-methylcytosine-specific restriction endonuclease McrA	2	1
COG1403	COG1403: McrA:	Function	1
	lvl2: Predicted phosphohydrolase, MPP superfamily	2	1
COG1408	COG1408: YaeI:	Function	1
	lvl2: HEAT repeat	2	1
COG1413	COG1413: HEAT:	Function	1
	lvl2: Thymidine kinase	2	1
COG1435	COG1435: Tdk:Pyrimidine salvage	Function	1
	lvl2: Mannose-6-phosphate isomerase, class I	2	1
COG1482	COG1482: ManA:	Function	1
	lvl2: Uncharacterized conserved protein, DUF501 family	2	1
COG1507	COG1507: :	Function	1
	lvl2: Uncharacterized membrane protein YhgE, phage infection protein (PIP) family	2	1
COG1511	COG1511: YhgE:	Function	1
	lvl2: Protein N-acetyltransferase, RimJ/RimL family	2	2
COG1670	COG1670: RimL:	Function	2
	lvl2: ABC-type polysaccharide/teichoic acid/polyol phosphate export permease	2	1
COG1682	COG1682: TagG:	Function	1
	lvl2: Magnetosome formation protein MamQ, lipoprotein antigen LemA family	2	1
COG1704	COG1704: LemA:	Function	1
	lvl1: Signal transduction mechanisms	1	7
	lvl2: Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN	2	1
COG1744	COG1744: Med:	Function	1
	lvl2: Uncharacterized C-terminal domain of topoisomerase IA	2	1
COG1754	COG1754: :	Function	1
	lvl2: Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)	2	2
COG1762	COG1762: PtsN:	Function	2
	lvl2: DNA-binding transcriptional regulator, GntR family	2	1
COG1802	COG1802: GntR:	Function	1
	lvl2: Adenosine deaminase	2	1
COG1816	COG1816: Add:Menaquinone biosynthesis	Function	1
	lvl2: Ribosomal protein L25 (general stress protein Ctc)	2	1
COG1825	COG1825: RplY:Ribosome 50S subunit	Function	1
	lvl2: Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains	2	1
COG1835	COG1835: OafA:	Function	1
	lvl2: DNA-binding transcriptional regulator, MarR family	2	1
COG1846	COG1846: MarR:	Function	1
	lvl2: Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	2	2
COG1940	COG1940: NagC:	Function	2
	lvl2: DNA-binding transcriptional regulator, IscR family	2	1
COG1959	COG1959: IscR:	Function	1
	lvl2: Pyrimidine reductase, riboflavin biosynthesis	2	1
COG1985	COG1985: RibD:Riboflavin/FAD biosynthesis	Function	1
	lvl2: Succinate dehydrogenase/fumarate reductase, cytochrome b subunit	2	1
COG2009	COG2009: SdhC:	Function	1
	lvl1: Extracellular structures	1	4
	lvl2: Flp pilus assembly protein TadC	2	1
COG2064	COG2064: TadC:	Function	1
	lvl2: NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	2	1
COG2070	COG2070: YrpB:	Function	1
	lvl2: Peroxiredoxin	2	1
COG2077	COG2077: Tpx:	Function	1
	lvl2: 3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	2	1
COG2084	COG2084: MmsB:	Function	1
	lvl2: N-acetylglucosaminyl deacetylase, LmbE family	2	1
COG2120	COG2120: LmbE:	Function	1
	lvl2: Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	2	2
COG2141	COG2141: SsuD:Pyrimidine degradation	Function	2
	lvl2: Succinate dehydrogenase, hydrophobic anchor subunit	2	1
COG2142	COG2142: SdhD:	Function	1
	lvl2: K+ transport ATPase, ATPase subunit KdpB	2	1
COG2216	COG2216: KdpB:	Function	1
	lvl2: Membrane protein involved in the export of O-antigen and teichoic acid	2	1
COG2244	COG2244: RfbX:	Function	1
	lvl2: Putative cell wall-binding domain (amidase enhancer), LytB superfamily	2	1
COG2247	COG2247: LytB:	Function	1
	lvl2: tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	2	1
COG2265	COG2265: TrmA:tRNA modification	Function	1
	lvl2: Lysophospholipase, alpha-beta hydrolase superfamily	2	1
COG2267	COG2267: PldB:	Function	1
	lvl2: Sugar phosphate permease	2	1
COG2271	COG2271: UhpC:	Function	1
	lvl2: Bacillithiol/mycothiol S-transferase BstA/DinB, DinB/YfiT family (unrelated to E. coli DinB)	2	1
COG2318	COG2318: DinB:	Function	1
	lvl2: Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist	2	1
COG2334	COG2334: SrkA:Threonine biosynthesis	Function	1
	lvl2: Predicted lipid transporter YdfJ, MMPL/SSD domain, RND superfamily	2	1
COG2409	COG2409: YdfJ:	Function	1
	lvl2: Uncharacterized conserved protein, DUF2304 domain	2	1
COG2456	COG2456: :	Function	1
	lvl2: Catechol-2,3-dioxygenase	2	1
COG2514	COG2514: CatE:	Function	1
	lvl2: H+/gluconate symporter GntT or related permease, GntP/DsdX family	2	1
COG2610	COG2610: GntT:	Function	1
	lvl2: DNA-binding transcriptional regulator, CsgD family	2	1
COG2771	COG2771: CsgD:	Function	1
	lvl1: Mobilome: prophages, transposons	1	4
	lvl2: Transposase InsO and inactivated derivatives	2	1
COG2801	COG2801: Tra5:	Function	1
	lvl2: DNA polymerase III, gamma/tau subunits	2	1
COG2812	COG2812: DnaX:	Function	1
	lvl1: Cell cycle control, cell division, chromosome partitioning	1	3
	lvl2: Cell division protein FtsB	2	1
COG2919	COG2919: FtsB:	Function	1
	lvl2: Transposase InsE and inactivated derivatives	2	1
COG2963	COG2963: InsE:	Function	1
	lvl2: DNA glycosylase YcaQ, repair of DNA interstrand crosslinks	2	1
COG3214	COG3214: YcaQ:	Function	1
	lvl2: DNA-binding transcriptional regulator YbjK	2	1
COG3226	COG3226: YbjK:	Function	1
	lvl2: Gluconate kinase	2	1
COG3265	COG3265: GntK:Non-phosphorylated Entner-Doudoroff pathway	Function	1
	lvl2: O-antigen ligase	2	1
COG3307	COG3307: RfaL:	Function	1
	lvl2: DNA-binding transcriptional regulator AlpA	2	2
COG3311	COG3311: AlpA:	Function	2
	lvl2: Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family	2	1
COG3324	COG3324: VOC:	Function	1
	lvl2: Uncharacterized membrane protein YdbT, contains bPH2 (bacterial pleckstrin homology) domain	2	1
COG3428	COG3428: YdbT:	Function	1
	lvl2: DNA topoisomerase IB	2	1
COG3569	COG3569: Top1:	Function	1
	lvl2: Predicted GTPase	2	1
COG3596	COG3596: YeeP:	Function	1
	lvl2: D-serine deaminase, pyridoxal phosphate-dependent	2	1
COG3616	COG3616: Dsd1:	Function	1
	lvl2: Alkylated DNA nucleotide flippase Atl1, participates in nucleotide excision repair, Ada-like DNA-binding domain	2	1
COG3695	COG3695: Atl1:	Function	1
	lvl2: Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	2	2
COG3706	COG3706: PleD:	Function	2
	lvl2: Lipopolysaccharide biosynthesis protein	2	1
COG3754	COG3754: RgpF:	Function	1
	lvl2: Uncharacterized membrane protein	2	2
COG3759	COG3759: :	Function	1
	lvl2: Chalcone/flavanone-binding protein YndB, AHSA1/START/SRPBCC domain	2	1
COG3832	COG3832: YndB:	Function	1
	lvl2: 2-keto-3-deoxy-L-rhamnonate aldolase RhmA	2	1
COG3836	COG3836: HpcH:	Function	1
	lvl2: ABC-type guanosine uptake system NupNOPQ, ATPase component NupO	2	1
COG3845	COG3845: NupO:	Function	1
	lvl2: Two-component sensor histidine kinase, HisKA and HATPase domains	2	1
COG3920	COG3920: :	Function	1
	lvl2: Uncharacterized conserved protein YabN, contains tetrapyrrole methylase and MazG-like pyrophosphatase domain	2	1
COG3956	COG3956: YabN:	Function	1
	lvl2: Phosphoketolase	2	1
COG3957	COG3957: XFP:	Function	1
	lvl2: 2-keto-4-pentenoate hydratase	2	1
COG3971	COG3971: MhpD:	Function	1
	lvl2: Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor	2	1
COG4118	COG4118: Phd:	Function	1
	lvl2: ABC-type xylose transport system, periplasmic component	2	1
COG4213	COG4213: XylF:	Function	1
	lvl2: ABC-type xylose transport system, permease component	2	1
COG4214	COG4214: XylH:	Function	1
	lvl2: NADP-dependent 3-hydroxy acid dehydrogenase YdfG	2	1
COG4221	COG4221: YdfG:Pyrimidine degradation	Function	1
	lvl2: Bacteriophytochrome (light-regulated signal transduction histidine kinase)	2	1
COG4251	COG4251: :	Function	1
COG4270	COG4270: :	Function	1
	lvl2: Uncharacterized conserved protein, DUF2332 domain	2	1
COG4427	COG4427: :	Function	1
	lvl2: Uncharacterized conserved protein YcnI, contains cohesin/reeler-like domain	2	1
COG4549	COG4549: YcnI:	Function	1
	lvl2: ABC-type guanosine uptake system NupNOPQ, permease component NupP	2	1
COG4603	COG4603: NupP:	Function	1
	lvl2: Spore maturation protein CgeB	2	1
COG4641	COG4641: :	Function	1
	lvl2: Uncharacterized conserved protein YaeQ, suppresses RfaH defect	2	1
COG4681	COG4681: YaeQ:	Function	1
	lvl2: Acetyl/propionyl-CoA carboxylase, alpha subunit	2	1
COG4770	COG4770: PccA:	Function	1
	lvl2: Acetyl-CoA carboxylase, carboxyltransferase component	2	1
COG4799	COG4799: MmdA:	Function	1
	lvl2: Regulatory P domain of the subtilisin-like proprotein convertases and other proteases	2	1
COG4935	COG4935: :	Function	1
	lvl1: Intracellular trafficking, secretion, and vesicular transport	1	3
	lvl2: Pilus assembly protein, ATPase of CpaF family	2	2
COG4962	COG4962: CpaF:	Function	2
	lvl2: Flp pilus assembly ATPase CpaE/TadZ, contains N-terminal REC/TadZ_N domain	2	2
COG4963	COG4963: CpaE:	Function	2
	lvl2: Flp pilus assembly protein TadB	2	2
COG4965	COG4965: TadB:	Function	2
	lvl2: Site-specific recombinase XerC	2	1
COG4973	COG4973: XerC:	Function	1
	lvl2: Sensor histidine kinase WalK	2	1
COG5002	COG5002: WalK:	Function	1
	lvl2: Cytochrome b involved in lipid metabolism	2	2
COG5274	COG5274: CYB5:	Function	2
	lvl2: Predicted protein tyrosine phosphatase	2	1
COG5350	COG5350: :	Function	1
	lvl2: Phage-related protein, predicted endonuclease	2	1
COG5377	COG5377: :	Function	1
	lvl2: Uncharacterized sporulation protein YqfX, contains DUF308 domain	2	1
COG5921	COG5921: YqfX:	Function	1
