	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_047926_NC_047926_1	NC_047926	NC_047926	1	1	840	1	E															0
NC_047926_NC_047926_2	NC_047926	NC_047926	2	910	1320	-1	E															0
NC_047926_NC_047926_3	NC_047926	NC_047926	3	1745	2161	1	E															0
NC_047926_NC_047926_4	NC_047926	NC_047926	4	2161	3210	1	D										Phage terminase large subunit gpA, ATPase domain [PF05876.15]					0
NC_047926_NC_047926_5	NC_047926	NC_047926	5	3510	3845	1	E															0
NC_047926_NC_047926_6	NC_047926	NC_047926	6	4080	5012	1	E															0
NC_047926_NC_047926_7	NC_047926	NC_047926	7	5079	5432	1	E															0
NC_047926_NC_047926_8	NC_047926	NC_047926	8	5820	5951	1	E															0
NC_047926_NC_047926_9	NC_047926	NC_047926	9	6059	7690	1	E															0
NC_047926_NC_047926_10	NC_047926	NC_047926	10	7733	8515	1	D										Caudovirus prohead serine protease [PF04586.20]					0
NC_047926_NC_047926_11	NC_047926	NC_047926	11	8571	9509	1	E															0
NC_047926_NC_047926_12	NC_047926	NC_047926	12	9613	11088	1	E															0
NC_047926_NC_047926_13	NC_047926	NC_047926	13	11231	12154	1	E															0
NC_047926_NC_047926_14	NC_047926	NC_047926	14	12207	13124	1	E															1
NC_047926_NC_047926_15	NC_047926	NC_047926	15	13117	13791	1	E															0
NC_047926_NC_047926_16	NC_047926	NC_047926	16	13807	14691	1	E															0
NC_047926_NC_047926_17	NC_047926	NC_047926	17	14711	14914	1	E															0
NC_047926_NC_047926_18	NC_047926	NC_047926	18	14937	16775	1	E															0
NC_047926_NC_047926_19	NC_047926	NC_047926	19	16791	17261	1	E															0
NC_047926_NC_047926_20	NC_047926	NC_047926	20	17393	17986	1	E															0
NC_047926_NC_047926_21	NC_047926	NC_047926	21	18042	18509	1	E															0
NC_047926_NC_047926_22	NC_047926	NC_047926	22	18541	22626	1	D										Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [PF01832.23]					0
NC_047926_NC_047926_23	NC_047926	NC_047926	23	22659	25751	1	D			MER0425209	C40	MER0425209 - family C40 unassigned peptidases () [C40.UPW]#C40#{peptidase unit: 933-1050}~source YP_164769~	False	154.0	4.018e-36	0.656	Lysozyme-like [PF13702.9]; NlpC/P60 family [PF00877.22]					0
NC_047926_NC_047926_24	NC_047926	NC_047926	24	25846	26778	1	D										Protein of unknown function (DUF559) [PF04480.15]					0
NC_047926_NC_047926_25	NC_047926	NC_047926	25	26908	30309	1	E															0
NC_047926_NC_047926_26	NC_047926	NC_047926	26	30302	30625	1	E															0
NC_047926_NC_047926_27	NC_047926	NC_047926	27	30648	31073	1	D										Protein of unknown function (DUF1617) [PF07761.15]					0
NC_047926_NC_047926_28	NC_047926	NC_047926	28	31086	31736	1	E															0
NC_047926_NC_047926_29	NC_047926	NC_047926	29	31752	32279	1	E															0
NC_047926_NC_047926_30	NC_047926	NC_047926	30	32344	33039	1	D										Protein of unknown function (DUF2634) [PF10934.11]					0
NC_047926_NC_047926_31	NC_047926	NC_047926	31	33054	34439	1	D										Baseplate J-like protein [PF04865.17]					0
NC_047926_NC_047926_32	NC_047926	NC_047926	32	34456	37284	1	E															0
NC_047926_NC_047926_33	NC_047926	NC_047926	33	37339	37863	1	E															0
NC_047926_NC_047926_34	NC_047926	NC_047926	34	37881	42146	1	D										Domain of unknown function (DUF4815) [PF16075.8]					0
NC_047926_NC_047926_35	NC_047926	NC_047926	35	42235	42675	1	E															0
NC_047926_NC_047926_36	NC_047926	NC_047926	36	42675	44075	1	C	K07273	lysozyme								Glycosyl hydrolases family 25 [PF01183.23]; Bacterial SH3 domain [PF08460.13]; LysM domain [PF01476.23]	GH25	GH25 lysozyme (EC 3.2.1.17)	3.2.1.17	GH25.hmm	0
NC_047926_NC_047926_37	NC_047926	NC_047926	37	44130	44666	-1	D										NUDIX domain [PF00293.31]					0
NC_047926_NC_047926_38	NC_047926	NC_047926	38	44669	45775	-1	C	K06211	HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]								AAA domain [PF13521.9]; Citrate lyase ligase C-terminal domain [PF08218.14]; Cytidylyltransferase-like [PF01467.29]					0
