	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
GCA_020497855.1_BK059158.1_1	GCA_020497855.1	BK059158.1	1	88	345	-1	E				0
GCA_020497855.1_BK059158.1_2	GCA_020497855.1	BK059158.1	2	438	575	-1	E				0
GCA_020497855.1_BK059158.1_3	GCA_020497855.1	BK059158.1	3	572	946	-1	E				0
GCA_020497855.1_BK059158.1_4	GCA_020497855.1	BK059158.1	4	1069	1794	-1	D			Tetratricopeptide repeat [PF13429.9]; TPR repeat [PF13414.9]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]; Tetratricopeptide repeat [PF13431.9]; Tetratricopeptide repeat [PF14559.9]; Plant specific mitochondrial import receptor subunit TOM20 [PF06552.15]; Tetratricopeptide repeat [PF13432.9]	0
GCA_020497855.1_BK059158.1_5	GCA_020497855.1	BK059158.1	5	1874	2329	-1	E				0
GCA_020497855.1_BK059158.1_6	GCA_020497855.1	BK059158.1	6	2458	2985	-1	E				0
GCA_020497855.1_BK059158.1_7	GCA_020497855.1	BK059158.1	7	2995	3447	-1	E				0
GCA_020497855.1_BK059158.1_8	GCA_020497855.1	BK059158.1	8	3585	4001	-1	E				0
GCA_020497855.1_BK059158.1_9	GCA_020497855.1	BK059158.1	9	4121	4300	-1	E				0
GCA_020497855.1_BK059158.1_10	GCA_020497855.1	BK059158.1	10	4372	4512	-1	E				0
GCA_020497855.1_BK059158.1_11	GCA_020497855.1	BK059158.1	11	4624	4806	-1	E				0
GCA_020497855.1_BK059158.1_12	GCA_020497855.1	BK059158.1	12	4893	5036	-1	E				0
GCA_020497855.1_BK059158.1_13	GCA_020497855.1	BK059158.1	13	5165	5608	-1	E				0
GCA_020497855.1_BK059158.1_14	GCA_020497855.1	BK059158.1	14	5869	6024	-1	E				0
GCA_020497855.1_BK059158.1_15	GCA_020497855.1	BK059158.1	15	6122	6316	1	D			TPR repeat [PF13414.9]; Tetratricopeptide repeat [PF13431.9]; Plant specific mitochondrial import receptor subunit TOM20 [PF06552.15]	0
GCA_020497855.1_BK059158.1_16	GCA_020497855.1	BK059158.1	16	6330	6590	1	E				0
GCA_020497855.1_BK059158.1_17	GCA_020497855.1	BK059158.1	17	6639	6941	1	E				0
GCA_020497855.1_BK059158.1_18	GCA_020497855.1	BK059158.1	18	7087	8205	-1	C	K07496	putative transposase	Probable transposase [PF01385.22]; Putative transposase DNA-binding domain [PF07282.14]	0
