	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_048877.1_NC_048877.1_1	NC_048877.1	NC_048877.1	1	1	564	-1	E											0
NC_048877.1_NC_048877.1_2	NC_048877.1	NC_048877.1	2	662	1480	-1	D										Bifunctional DNA primase/polymerase, N-terminal [PF09250.14]	0
NC_048877.1_NC_048877.1_3	NC_048877.1	NC_048877.1	3	1493	2896	-1	C	K06919	putative DNA primase/helicase								Family of unknown function (DUF5906) [PF19263.2]	0
NC_048877.1_NC_048877.1_4	NC_048877.1	NC_048877.1	4	2957	3073	-1	E											0
NC_048877.1_NC_048877.1_5	NC_048877.1	NC_048877.1	5	3136	4377	-1	E											0
NC_048877.1_NC_048877.1_6	NC_048877.1	NC_048877.1	6	4370	4930	-1	D										Domain of unknown function (DUF6378) [PF19905.2]	0
NC_048877.1_NC_048877.1_7	NC_048877.1	NC_048877.1	7	4923	5180	-1	D										Transcription factor WhiB [PF02467.19]	0
NC_048877.1_NC_048877.1_8	NC_048877.1	NC_048877.1	8	5210	5761	-1	E											0
NC_048877.1_NC_048877.1_9	NC_048877.1	NC_048877.1	9	5736	6092	-1	E											0
NC_048877.1_NC_048877.1_10	NC_048877.1	NC_048877.1	10	6148	8346	-1	C	K02334	DNA polymerase bacteriophage-type [EC:2.7.7.7]								DNA polymerase family A [PF00476.23]	0
NC_048877.1_NC_048877.1_11	NC_048877.1	NC_048877.1	11	8333	8533	-1	E											0
NC_048877.1_NC_048877.1_12	NC_048877.1	NC_048877.1	12	8566	9000	-1	E											0
NC_048877.1_NC_048877.1_13	NC_048877.1	NC_048877.1	13	8993	10108	-1	D										Protein of unknown function (DUF2800) [PF10926.11]	0
NC_048877.1_NC_048877.1_14	NC_048877.1	NC_048877.1	14	10108	10251	-1	E											0
NC_048877.1_NC_048877.1_15	NC_048877.1	NC_048877.1	15	10448	11179	-1	E											0
NC_048877.1_NC_048877.1_16	NC_048877.1	NC_048877.1	16	11223	11507	-1	E											0
NC_048877.1_NC_048877.1_17	NC_048877.1	NC_048877.1	17	11526	12530	-1	D										Domain of unknown function (DUF932) [PF06067.14]	0
NC_048877.1_NC_048877.1_18	NC_048877.1	NC_048877.1	18	12769	13035	-1	E											0
NC_048877.1_NC_048877.1_19	NC_048877.1	NC_048877.1	19	13038	13406	-1	E											0
NC_048877.1_NC_048877.1_20	NC_048877.1	NC_048877.1	20	13403	13693	-1	E											0
NC_048877.1_NC_048877.1_21	NC_048877.1	NC_048877.1	21	13686	13892	-1	E											0
NC_048877.1_NC_048877.1_22	NC_048877.1	NC_048877.1	22	13895	14206	-1	E											0
NC_048877.1_NC_048877.1_23	NC_048877.1	NC_048877.1	23	14279	14746	-1	E											0
NC_048877.1_NC_048877.1_24	NC_048877.1	NC_048877.1	24	14929	15255	-1	E											0
NC_048877.1_NC_048877.1_25	NC_048877.1	NC_048877.1	25	15303	15695	-1	E											0
NC_048877.1_NC_048877.1_26	NC_048877.1	NC_048877.1	26	15692	15973	-1	E											1
NC_048877.1_NC_048877.1_27	NC_048877.1	NC_048877.1	27	15954	16103	-1	E											0
NC_048877.1_NC_048877.1_28	NC_048877.1	NC_048877.1	28	16103	16354	-1	E											0
NC_048877.1_NC_048877.1_29	NC_048877.1	NC_048877.1	29	17356	17601	-1	E											0
NC_048877.1_NC_048877.1_30	NC_048877.1	NC_048877.1	30	18142	31611	1	E											0
NC_048877.1_NC_048877.1_31	NC_048877.1	NC_048877.1	31	31608	33650	1	E											0
NC_048877.1_NC_048877.1_32	NC_048877.1	NC_048877.1	32	33706	35367	1	E											0
NC_048877.1_NC_048877.1_33	NC_048877.1	NC_048877.1	33	35431	35598	1	E											0
NC_048877.1_NC_048877.1_34	NC_048877.1	NC_048877.1	34	35672	36526	1	E											0
NC_048877.1_NC_048877.1_35	NC_048877.1	NC_048877.1	35	36535	38295	1	D										Fibronectin type III domain [PF00041.24]	0
NC_048877.1_NC_048877.1_36	NC_048877.1	NC_048877.1	36	38295	40394	1	E											0
NC_048877.1_NC_048877.1_37	NC_048877.1	NC_048877.1	37	40404	40574	1	E											0
NC_048877.1_NC_048877.1_38	NC_048877.1	NC_048877.1	38	40567	41514	1	D			MER0478946	M23B	MER0478946 - subfamily M23B non-peptidase homologues (Micromonospora chalcea) [M23.UNB]#M23B#{peptidase unit: 62-199}~source ACB37758~	False	123.0	9.655999999999999e-29	0.486	Peptidase family M23 [PF01551.25]; Putative peptidoglycan binding domain [PF01471.21]	0
NC_048877.1_NC_048877.1_39	NC_048877.1	NC_048877.1	39	41537	41860	1	E											0
NC_048877.1_NC_048877.1_40	NC_048877.1	NC_048877.1	40	41871	42131	1	E											0
NC_048877.1_NC_048877.1_41	NC_048877.1	NC_048877.1	41	42168	43586	1	E											0
NC_048877.1_NC_048877.1_42	NC_048877.1	NC_048877.1	42	43589	44602	1	E											0
NC_048877.1_NC_048877.1_43	NC_048877.1	NC_048877.1	43	44602	45393	1	E											0
NC_048877.1_NC_048877.1_44	NC_048877.1	NC_048877.1	44	45518	48037	1	E											0
NC_048877.1_NC_048877.1_45	NC_048877.1	NC_048877.1	45	48046	48321	1	E											0
NC_048877.1_NC_048877.1_46	NC_048877.1	NC_048877.1	46	48405	49328	1	E											0
NC_048877.1_NC_048877.1_47	NC_048877.1	NC_048877.1	47	49331	49966	1	E											0
NC_048877.1_NC_048877.1_48	NC_048877.1	NC_048877.1	48	49966	50346	1	E											0
NC_048877.1_NC_048877.1_49	NC_048877.1	NC_048877.1	49	50388	51068	1	E											0
NC_048877.1_NC_048877.1_50	NC_048877.1	NC_048877.1	50	51140	51409	1	D										Family of unknown function (DUF6275) [PF19791.2]	0
NC_048877.1_NC_048877.1_51	NC_048877.1	NC_048877.1	51	51436	51765	1	E											0
NC_048877.1_NC_048877.1_52	NC_048877.1	NC_048877.1	52	51767	53272	1	C	K06909	phage terminase large subunit									0
NC_048877.1_NC_048877.1_53	NC_048877.1	NC_048877.1	53	53439	53750	1	E											0
NC_048877.1_NC_048877.1_54	NC_048877.1	NC_048877.1	54	53743	54033	1	E											0
NC_048877.1_NC_048877.1_55	NC_048877.1	NC_048877.1	55	54303	54440	1	E											0
