	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000490.1_1	QGNH01000490.1	QGNH01000490.1	1	2	1150	-1	D																Recombinase [PF07508.16]					VOG00303	sp|P03014|PINE_ECOLI Serine recombinase PinE; Xr	Xr	0	False	VF
QGNH01000490.1_2	QGNH01000490.1	QGNH01000490.1	2	1134	1697	-1	D																Resolvase, N terminal domain [PF00239.24]								0	False	F
QGNH01000490.1_3	QGNH01000490.1	QGNH01000490.1	3	1694	1903	-1	E																								0	False	F
QGNH01000490.1_4	QGNH01000490.1	QGNH01000490.1	4	2367	2522	-1	E																								0	False	F
QGNH01000490.1_5	QGNH01000490.1	QGNH01000490.1	5	2614	2898	-1	E																								0	False	F
QGNH01000490.1_6	QGNH01000490.1	QGNH01000490.1	6	3231	4280	1	D																SIR2-like domain [PF13289.9]								0	False	F
QGNH01000490.1_7	QGNH01000490.1	QGNH01000490.1	7	4286	6835	1	D																Domain of unknown function (DUF4020) [PF13212.9]								0	False	F
QGNH01000490.1_8	QGNH01000490.1	QGNH01000490.1	8	6992	7951	-1	E																								0	False	
QGNH01000490.1_9	QGNH01000490.1	QGNH01000490.1	9	7948	8172	-1	E																								0	False	
QGNH01000490.1_10	QGNH01000490.1	QGNH01000490.1	10	8400	8816	-1	E																								0	False	
QGNH01000490.1_11	QGNH01000490.1	QGNH01000490.1	11	8899	9186	1	E																								0	False	
QGNH01000490.1_12	QGNH01000490.1	QGNH01000490.1	12	9109	9324	-1	E																								0	False	
QGNH01000490.1_13	QGNH01000490.1	QGNH01000490.1	13	9429	9866	1	E																								0	False	
QGNH01000490.1_14	QGNH01000490.1	QGNH01000490.1	14	10199	11128	1	D																HNH endonuclease [PF14279.9]								0	False	
QGNH01000490.1_15	QGNH01000490.1	QGNH01000490.1	15	11726	13138	1	E																								0	False	
QGNH01000490.1_16	QGNH01000490.1	QGNH01000490.1	16	13230	13439	-1	D			YP_009785593.1	YP_009785593.1 hypothetical protein HOR08_gp083 [Caulobacter phage Seuss]	False	0.549	74.0	4.935e-16								KTSC domain [PF13619.9]					VOG00254	sp|B2J384|SYK_NOSP7 Lysine--tRNA ligase; Xh	Xh	0	False	
QGNH01000490.1_17	QGNH01000490.1	QGNH01000490.1	17	13436	15319	-1	D																Helicase HerA, central domain [PF01935.20]; Helicase HerA-like C-terminal [PF05872.15]; AAA-like domain [PF12846.10]; Type IV secretion-system coupling protein DNA-binding domain [PF10412.12]; TraG P-loop domain [PF19044.3]								0	False	
QGNH01000490.1_18	QGNH01000490.1	QGNH01000490.1	18	15316	15651	-1	E																								0	False	
QGNH01000490.1_19	QGNH01000490.1	QGNH01000490.1	19	15626	16459	-1	D																SIR2-like domain [PF13289.9]								0	False	
QGNH01000490.1_20	QGNH01000490.1	QGNH01000490.1	20	16607	17395	-1	C	K09144	uncharacterized protein														Nucleotidyl transferase AbiEii toxin, Type IV TA system [PF08843.14]								0	False	
QGNH01000490.1_21	QGNH01000490.1	QGNH01000490.1	21	17398	18183	-1	E																								0	False	
QGNH01000490.1_22	QGNH01000490.1	QGNH01000490.1	22	18456	19010	-1	E																								0	False	
QGNH01000490.1_23	QGNH01000490.1	QGNH01000490.1	23	19108	19734	1	C	K03088	RNA polymerase sigma-70 factor, ECF subfamily														ECF sigma factor [PF07638.14]; Sigma-70, region 4 [PF08281.15]; Sigma-70, region 4 [PF04545.19]								0	False	
QGNH01000490.1_24	QGNH01000490.1	QGNH01000490.1	24	19734	20267	1	E																								0	False	
QGNH01000490.1_25	QGNH01000490.1	QGNH01000490.1	25	20789	21358	1	E																								0	False	
QGNH01000490.1_26	QGNH01000490.1	QGNH01000490.1	26	21665	23641	1	E																								0	False	
QGNH01000490.1_27	QGNH01000490.1	QGNH01000490.1	27	23679	26042	1	E																								0	False	
QGNH01000490.1_28	QGNH01000490.1	QGNH01000490.1	28	26131	26337	1	E																								0	False	
QGNH01000490.1_29	QGNH01000490.1	QGNH01000490.1	29	26303	26647	1	E																								0	False	
QGNH01000490.1_30	QGNH01000490.1	QGNH01000490.1	30	26918	27352	1	C	K07497	putative transposase	YP_009965239.1	YP_009965239.1 transposase [Mycobacterium phage Xavia]	False	0.446	109.0	7.906e-27								Integrase core domain [PF13683.9]; Integrase core domain [PF00665.29]; Integrase core domain [PF13333.9]								0	False	
QGNH01000490.1_31	QGNH01000490.1	QGNH01000490.1	31	27500	28228	-1	E																								0	False	
QGNH01000490.1_32	QGNH01000490.1	QGNH01000490.1	32	28410	32975	-1	C	K05988	dextranase [EC:3.2.1.11]	YP_009167782.1	YP_009167782.1 cycloisomaltooligosaccharide glucanotransferase [Lactobacillus phage phiPYB5]	False	0.268	85.0	6.396e-15								Glycosyl hydrolase family 66 [PF13199.9]; Glycosyl hydrolases family 15 [PF00723.24]; Glycosyl-hydrolase family 116, catalytic region [PF04685.16]	GH15; GH66	GH15 glucoamylase (EC 3.2.1.3); glucodextranase (EC 3.2.1.70); alpha,alpha-trehalase (EC 3.2.1.28); dextran dextrinase (EC 2.4.1.2); GH66 cycloisomaltooligosaccharide glucanotransferase (EC 2.4.1.248); dextranase (EC 3.2.1.11).	3.2.1.205,3.2.1.28,3.2.1.3,3.2.1.70; 3.2.1.11	GH66.hmm				0	False	MK
QGNH01000490.1_33	QGNH01000490.1	QGNH01000490.1	33	33274	34206	-1	E																								0	False	
QGNH01000490.1_34	QGNH01000490.1	QGNH01000490.1	34	34473	34775	-1	E																								0	False	
QGNH01000490.1_35	QGNH01000490.1	QGNH01000490.1	35	35138	35296	-1	E																								0	False	
QGNH01000490.1_36	QGNH01000490.1	QGNH01000490.1	36	35605	37005	1	D																EAL domain [PF00563.23]; GAF domain [PF13185.9]; GAF domain [PF01590.29]; GAF domain [PF13492.9]								0	False	
QGNH01000490.1_37	QGNH01000490.1	QGNH01000490.1	37	37468	37677	-1	E																								0	False	
QGNH01000490.1_38	QGNH01000490.1	QGNH01000490.1	38	37619	38584	-1	E																								0	False	
QGNH01000490.1_39	QGNH01000490.1	QGNH01000490.1	39	38662	39390	-1	D																Protein of unknown function (DUF4232) [PF14016.9]								0	False	
QGNH01000490.1_40	QGNH01000490.1	QGNH01000490.1	40	39471	40175	1	E																								0	False	
QGNH01000490.1_41	QGNH01000490.1	QGNH01000490.1	41	40126	41028	-1	E																								0	False	
QGNH01000490.1_42	QGNH01000490.1	QGNH01000490.1	42	41099	41824	1	E																								0	False	
QGNH01000490.1_43	QGNH01000490.1	QGNH01000490.1	43	42010	42420	1	D																Penicillinase repressor [PF03965.19]								0	False	
QGNH01000490.1_44	QGNH01000490.1	QGNH01000490.1	44	42410	43312	1	D									MER0934999	M56	MER0934999 - family M56 unassigned peptidases (Aneurinibacillus aneurinilyticus) [M56.UPW]#M56#{peptidase unit: 71-219}~source U1WH32~	False	0.431	77.0	7.751e-14	BlaR1 peptidase M56 [PF05569.14]; Peptidase family M48 [PF01435.21]								0	False	P
QGNH01000490.1_45	QGNH01000490.1	QGNH01000490.1	45	43431	43853	1	E																								0	False	
QGNH01000490.1_46	QGNH01000490.1	QGNH01000490.1	46	43925	44956	1	E																								0	False	
QGNH01000490.1_47	QGNH01000490.1	QGNH01000490.1	47	45528	46712	-1	E																								0	False	
QGNH01000490.1_48	QGNH01000490.1	QGNH01000490.1	48	46709	46978	-1	D																Sigma-70, region 4 [PF08281.15]								0	False	
QGNH01000490.1_49	QGNH01000490.1	QGNH01000490.1	49	47054	47275	-1	E																								0	False	
QGNH01000490.1_50	QGNH01000490.1	QGNH01000490.1	50	47282	47656	-1	E																								0	False	
QGNH01000490.1_51	QGNH01000490.1	QGNH01000490.1	51	48039	48575	1	E																								0	False	
QGNH01000490.1_52	QGNH01000490.1	QGNH01000490.1	52	48617	49531	1	D																Transposase DDE domain group 1 [PF13701.9]								0	False	
QGNH01000490.1_53	QGNH01000490.1	QGNH01000490.1	53	49628	49750	1	E																								0	False	
QGNH01000490.1_54	QGNH01000490.1	QGNH01000490.1	54	49761	50243	1	E																								0	False	
QGNH01000490.1_55	QGNH01000490.1	QGNH01000490.1	55	50236	50415	-1	E																								0	False	
QGNH01000490.1_56	QGNH01000490.1	QGNH01000490.1	56	50596	50982	1	E																								0	False	
QGNH01000490.1_57	QGNH01000490.1	QGNH01000490.1	57	51108	62912	1	D									MER1381433	A39	MER1381433 -  (Cellulomonas sp. URHD0024) [A39.UNW]#A39#{peptidase unit: 334-1471}~source WP_028050520~	False	0.186	261.0	2.1799999999999998e-67	Domain of unknown function (DUF6531) [PF20148.2]; RHS Repeat [PF05593.17]								0	False	
QGNH01000490.1_58	QGNH01000490.1	QGNH01000490.1	58	62968	63576	1	E																								0	False	
QGNH01000490.1_59	QGNH01000490.1	QGNH01000490.1	59	63807	64235	1	E																								0	False	
QGNH01000490.1_60	QGNH01000490.1	QGNH01000490.1	60	64232	65263	1	E																								0	False	
QGNH01000490.1_61	QGNH01000490.1	QGNH01000490.1	61	65253	66074	1	E																								0	False	
QGNH01000490.1_62	QGNH01000490.1	QGNH01000490.1	62	66099	68615	1	D																Helicase C-terminal domain [PF13307.9]; DEAD/DEAH box helicase [PF00270.32]								0	False	
