	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
MH674343_MH674343.1_1	MH674343	MH674343.1	1	519	893	-1	E											0
MH674343_MH674343.1_2	MH674343	MH674343.1	2	904	1476	-1	E											0
MH674343_MH674343.1_3	MH674343	MH674343.1	3	1477	1788	-1	D										Putative CRISPR-associated protein (Cas_VVA1548) [PF09652.13]	0
MH674343_MH674343.1_4	MH674343	MH674343.1	4	2479	2679	-1	E											0
MH674343_MH674343.1_5	MH674343	MH674343.1	5	2962	3105	1	E											0
MH674343_MH674343.1_6	MH674343	MH674343.1	6	3107	3277	1	E											0
MH674343_MH674343.1_7	MH674343	MH674343.1	7	3274	3435	1	E											0
MH674343_MH674343.1_8	MH674343	MH674343.1	8	3582	4244	1	E											0
MH674343_MH674343.1_9	MH674343	MH674343.1	9	4369	4845	1	E											0
MH674343_MH674343.1_10	MH674343	MH674343.1	10	4847	5524	1	D										ERF superfamily [PF04404.15]	0
MH674343_MH674343.1_11	MH674343	MH674343.1	11	5670	7715	1	D										Family of unknown function (DUF5906) [PF19263.2]	0
MH674343_MH674343.1_12	MH674343	MH674343.1	12	7974	9107	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]								C-5 cytosine-specific DNA methylase [PF00145.20]	0
MH674343_MH674343.1_13	MH674343	MH674343.1	13	9108	9764	1	D										ERCC4 domain [PF02732.18]; Helix-hairpin-helix domain [PF14520.9]; Helix-hairpin-helix motif [PF12826.10]	0
MH674343_MH674343.1_14	MH674343	MH674343.1	14	9770	9973	1	E											0
MH674343_MH674343.1_15	MH674343	MH674343.1	15	9970	10950	1	C	K00590	site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]								DNA methylase [PF01555.21]	0
MH674343_MH674343.1_16	MH674343	MH674343.1	16	11088	11219	1	E											0
MH674343_MH674343.1_17	MH674343	MH674343.1	17	11667	12233	1	E											0
MH674343_MH674343.1_18	MH674343	MH674343.1	18	12415	12879	1	E											0
MH674343_MH674343.1_19	MH674343	MH674343.1	19	13187	13456	1	E											0
MH674343_MH674343.1_20	MH674343	MH674343.1	20	13779	14330	1	E											0
MH674343_MH674343.1_21	MH674343	MH674343.1	21	14415	15875	1	D										Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	0
MH674343_MH674343.1_22	MH674343	MH674343.1	22	15872	17485	1	D										Phage portal protein [PF04860.15]	0
MH674343_MH674343.1_23	MH674343	MH674343.1	23	17451	18269	1	D										Phage Mu protein F like protein [PF04233.17]	0
MH674343_MH674343.1_24	MH674343	MH674343.1	24	18354	19373	1	D										Putative phage serine protease XkdF [PF14550.9]	0
MH674343_MH674343.1_25	MH674343	MH674343.1	25	19407	20417	1	E											0
MH674343_MH674343.1_26	MH674343	MH674343.1	26	20609	21031	1	E											0
MH674343_MH674343.1_27	MH674343	MH674343.1	27	21037	21480	1	D										Bacteriophage HK97-gp10, putative tail-component [PF04883.15]	0
MH674343_MH674343.1_28	MH674343	MH674343.1	28	21477	21998	1	E											0
MH674343_MH674343.1_29	MH674343	MH674343.1	29	22039	23148	1	D										Phage tail tube protein [PF18906.3]	0
MH674343_MH674343.1_30	MH674343	MH674343.1	30	23208	23657	1	E											0
MH674343_MH674343.1_31	MH674343	MH674343.1	31	23909	28120	1	E											0
MH674343_MH674343.1_32	MH674343	MH674343.1	32	28117	28302	1	E											0
MH674343_MH674343.1_33	MH674343	MH674343.1	33	28310	31612	1	E											0
MH674343_MH674343.1_34	MH674343	MH674343.1	34	31619	33487	1	E											0
MH674343_MH674343.1_35	MH674343	MH674343.1	35	33520	34422	1	D			MER0317656	C110	MER0317656 - family C110 unassigned peptidases (Methanobacterium sp. AL-21) [C110.UPW]#C110#{peptidase unit: 288-390}~source YP_004291000~	False	84.0	3.721e-16	0.466	Transglutaminase-like superfamily [PF01841.22]; Pseudomurein-binding repeat [PF09373.13]	0
MH674343_MH674343.1_36	MH674343	MH674343.1	36	34942	35475	-1	E											0
MH674343_MH674343.1_37	MH674343	MH674343.1	37	35845	36165	-1	E											0
MH674343_MH674343.1_38	MH674343	MH674343.1	38	36416	36709	-1	E											0
MH674343_MH674343.1_39	MH674343	MH674343.1	39	36745	36993	-1	E											0
