	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_025462_NC_025462_1	NC_025462	NC_025462	1	1	477	1	C	K01493	dCMP deaminase [EC:3.5.4.12]								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]					0
NC_025462_NC_025462_2	NC_025462	NC_025462	2	464	2548	1	D										AAA domain [PF13481.9]					0
NC_025462_NC_025462_3	NC_025462	NC_025462	3	2614	3012	1	E															0
NC_025462_NC_025462_4	NC_025462	NC_025462	4	3013	5070	1	D										DNA polymerase family A [PF00476.23]					0
NC_025462_NC_025462_5	NC_025462	NC_025462	5	5110	5712	1	E															0
NC_025462_NC_025462_6	NC_025462	NC_025462	6	5743	5961	1	E															0
NC_025462_NC_025462_7	NC_025462	NC_025462	7	5980	7125	1	E															0
NC_025462_NC_025462_8	NC_025462	NC_025462	8	7131	7382	1	E															0
NC_025462_NC_025462_9	NC_025462	NC_025462	9	7382	7753	1	E															0
NC_025462_NC_025462_10	NC_025462	NC_025462	10	7753	7956	1	E															0
NC_025462_NC_025462_11	NC_025462	NC_025462	11	7995	9281	1	D										5'-3' exonuclease, N-terminal resolvase-like domain [PF02739.19]					0
NC_025462_NC_025462_12	NC_025462	NC_025462	12	9274	9591	1	E															0
NC_025462_NC_025462_13	NC_025462	NC_025462	13	9591	10205	1	E															1
NC_025462_NC_025462_14	NC_025462	NC_025462	14	10202	11170	1	D										RNase_H superfamily [PF13482.9]					0
NC_025462_NC_025462_15	NC_025462	NC_025462	15	11253	11891	1	E															0
NC_025462_NC_025462_16	NC_025462	NC_025462	16	11891	12265	1	E															0
NC_025462_NC_025462_17	NC_025462	NC_025462	17	12340	15243	1	D										Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, small chain [PF00268.24]					0
NC_025462_NC_025462_18	NC_025462	NC_025462	18	15346	16032	1	E															0
NC_025462_NC_025462_19	NC_025462	NC_025462	19	16041	17090	1	E															0
NC_025462_NC_025462_20	NC_025462	NC_025462	20	17099	17656	1	E															0
NC_025462_NC_025462_21	NC_025462	NC_025462	21	17653	17838	1	E															0
NC_025462_NC_025462_22	NC_025462	NC_025462	22	17922	18128	1	E															0
NC_025462_NC_025462_23	NC_025462	NC_025462	23	18249	18452	1	E															0
NC_025462_NC_025462_24	NC_025462	NC_025462	24	18454	18858	1	E															0
