	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000663.1_1	QGNH01000663.1	QGNH01000663.1	1	3	545	-1	E																								0	False	F
QGNH01000663.1_2	QGNH01000663.1	QGNH01000663.1	2	831	1361	-1	E																								0	False	F
QGNH01000663.1_3	QGNH01000663.1	QGNH01000663.1	3	1419	2285	-1	E																								0	False	F
QGNH01000663.1_4	QGNH01000663.1	QGNH01000663.1	4	2388	3029	-1	E																								0	False	F
QGNH01000663.1_5	QGNH01000663.1	QGNH01000663.1	5	3079	3318	-1	E																								0	False	F
QGNH01000663.1_6	QGNH01000663.1	QGNH01000663.1	6	3572	4087	-1	E																								0	False	F
QGNH01000663.1_7	QGNH01000663.1	QGNH01000663.1	7	4421	6352	1	D																Beta-galactosidase [PF02449.18]; Glycosyl hydrolase family 14 [PF01373.20]								0	False	MKF
QGNH01000663.1_8	QGNH01000663.1	QGNH01000663.1	8	6775	6978	-1	E																								0	False	
QGNH01000663.1_9	QGNH01000663.1	QGNH01000663.1	9	7229	7999	1	D									MER0805222	I87	MER0805222 - family I87 unassigned peptidase inhibitors (Pedosphaera parvula) [I87.UPW]#I87#{inhibitor unit: 19-206}~source B9XRP9~	False	0.812	316.0	3.793e-96	SPFH domain / Band 7 family [PF01145.28]					VOG01466	sp|Q5UP73|YR614_MIMIV Putative band 7 family protein R614; Xu	Xu	0	False	MKP
QGNH01000663.1_10	QGNH01000663.1	QGNH01000663.1	10	7996	8148	1	E																								0	False	
QGNH01000663.1_11	QGNH01000663.1	QGNH01000663.1	11	8181	8360	1	E																								0	False	
QGNH01000663.1_12	QGNH01000663.1	QGNH01000663.1	12	8493	8660	-1	D																HNH endonuclease [PF01844.26]; HNH endonuclease [PF13395.9]								0	False	
QGNH01000663.1_13	QGNH01000663.1	QGNH01000663.1	13	8935	10908	1	E																								0	False	
QGNH01000663.1_14	QGNH01000663.1	QGNH01000663.1	14	10938	14678	-1	D																Glycosyl hydrolases family 2, TIM barrel domain [PF02836.20]; Glycosyl hydrolases family 2, sugar binding domain [PF02837.21]; Glycosyl hydrolases family 2 [PF00703.24]; Beta-galactosidase, domain 4 [PF16353.8]	GH2	GH2 beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); alpha-L-arabinofuranosidase (EC 3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165); alpha-L-arabinopyranosidase (EC 3.2.1.-); beta-galacturonidase (EC 3.2.1.-); beta-xylosidase (EC 3.2.1.37); beta-D-galactofuranosidase (EC 3.2.1.146); beta-glucosidase (EC 3.2.1.21); beta-galacturonidase RGII specific (EC 3.2.1.-); glycyrrhizin beta-glucuronidase (EC 3.2.1.128)	3.2.1.128,3.2.1.146,3.2.1.152,3.2.1.165,3.2.1.185,3.2.1.21,3.2.1.23,3.2.1.25,3.2.1.31,3.2.1.37,3.2.1.55,3.2.1.-,3.2.1.52	GH2.hmm				0	False	MK
QGNH01000663.1_15	QGNH01000663.1	QGNH01000663.1	15	14846	15430	-1	E																								0	False	
