	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_029083.1_NC_029083.1_1	NC_029083.1	NC_029083.1	1	286	444	1	E											0
NC_029083.1_NC_029083.1_2	NC_029083.1	NC_029083.1	2	498	764	-1	E											0
NC_029083.1_NC_029083.1_3	NC_029083.1	NC_029083.1	3	764	1168	-1	E											0
NC_029083.1_NC_029083.1_4	NC_029083.1	NC_029083.1	4	1158	1574	-1	E											0
NC_029083.1_NC_029083.1_5	NC_029083.1	NC_029083.1	5	1571	1975	-1	E											0
NC_029083.1_NC_029083.1_6	NC_029083.1	NC_029083.1	6	2018	2680	-1	E											0
NC_029083.1_NC_029083.1_7	NC_029083.1	NC_029083.1	7	2683	2961	-1	E											0
NC_029083.1_NC_029083.1_8	NC_029083.1	NC_029083.1	8	2949	3260	-1	E											0
NC_029083.1_NC_029083.1_9	NC_029083.1	NC_029083.1	9	3260	3622	-1	E											0
NC_029083.1_NC_029083.1_10	NC_029083.1	NC_029083.1	10	3679	3894	-1	E											0
NC_029083.1_NC_029083.1_11	NC_029083.1	NC_029083.1	11	3891	4232	-1	E											0
NC_029083.1_NC_029083.1_12	NC_029083.1	NC_029083.1	12	4234	4737	-1	E											0
NC_029083.1_NC_029083.1_13	NC_029083.1	NC_029083.1	13	4724	5101	-1	E											0
NC_029083.1_NC_029083.1_14	NC_029083.1	NC_029083.1	14	5121	5702	-1	D										DNA recombination-mediator protein A [PF02481.18]	0
NC_029083.1_NC_029083.1_15	NC_029083.1	NC_029083.1	15	5699	6010	-1	E											0
NC_029083.1_NC_029083.1_16	NC_029083.1	NC_029083.1	16	6012	6161	-1	E											0
NC_029083.1_NC_029083.1_17	NC_029083.1	NC_029083.1	17	6173	6652	-1	D										Macro domain [PF01661.24]	0
NC_029083.1_NC_029083.1_18	NC_029083.1	NC_029083.1	18	6649	6846	-1	E											0
NC_029083.1_NC_029083.1_19	NC_029083.1	NC_029083.1	19	6857	8545	-1	C	K03462	nicotinamide phosphoribosyltransferase [EC:2.4.2.12]								Nicotinate phosphoribosyltransferase (NAPRTase) family [PF04095.19]; Nicotinamide phosphoribosyltransferase, N-terminal domain [PF18127.4]	0
NC_029083.1_NC_029083.1_20	NC_029083.1	NC_029083.1	20	8602	8820	-1	E											0
NC_029083.1_NC_029083.1_21	NC_029083.1	NC_029083.1	21	8817	9683	-1	C	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]								N-terminal domain of ribose phosphate pyrophosphokinase [PF13793.9]; Phosphoribosyl synthetase-associated domain [PF14572.9]	0
NC_029083.1_NC_029083.1_22	NC_029083.1	NC_029083.1	22	9693	10109	-1	D										AAA domain [PF13671.9]	0
NC_029083.1_NC_029083.1_23	NC_029083.1	NC_029083.1	23	10120	11037	-1	D										RNA ligase [PF09511.13]	0
NC_029083.1_NC_029083.1_24	NC_029083.1	NC_029083.1	24	11049	11486	-1	E											0
NC_029083.1_NC_029083.1_25	NC_029083.1	NC_029083.1	25	11503	11778	-1	D										Helix-turn-helix domain [PF13744.9]	0
NC_029083.1_NC_029083.1_26	NC_029083.1	NC_029083.1	26	11780	12016	-1	E											0
NC_029083.1_NC_029083.1_27	NC_029083.1	NC_029083.1	27	12029	12583	-1	E											0
NC_029083.1_NC_029083.1_28	NC_029083.1	NC_029083.1	28	12583	13014	-1	E											0
NC_029083.1_NC_029083.1_29	NC_029083.1	NC_029083.1	29	13004	13564	-1	D										HD domain [PF13328.9]	0
NC_029083.1_NC_029083.1_30	NC_029083.1	NC_029083.1	30	13566	14126	-1	C	K01449	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]								Cell Wall Hydrolase [PF07486.15]	0
NC_029083.1_NC_029083.1_31	NC_029083.1	NC_029083.1	31	14191	14652	-1	E											0
NC_029083.1_NC_029083.1_32	NC_029083.1	NC_029083.1	32	14665	15873	-1	D										ATP dependent DNA ligase domain [PF01068.24]	0
NC_029083.1_NC_029083.1_33	NC_029083.1	NC_029083.1	33	15870	16286	-1	C	K01493	dCMP deaminase [EC:3.5.4.12]								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]; MafB19-like deaminase [PF14437.9]	0
NC_029083.1_NC_029083.1_34	NC_029083.1	NC_029083.1	34	16289	16513	-1	E											0
NC_029083.1_NC_029083.1_35	NC_029083.1	NC_029083.1	35	16524	16736	-1	E											0
NC_029083.1_NC_029083.1_36	NC_029083.1	NC_029083.1	36	16733	17002	-1	E											0
NC_029083.1_NC_029083.1_37	NC_029083.1	NC_029083.1	37	17011	17361	-1	E											0
NC_029083.1_NC_029083.1_38	NC_029083.1	NC_029083.1	38	17342	17620	-1	E											0
NC_029083.1_NC_029083.1_39	NC_029083.1	NC_029083.1	39	17617	17895	-1	E											0
NC_029083.1_NC_029083.1_40	NC_029083.1	NC_029083.1	40	17930	18115	-1	E											0
NC_029083.1_NC_029083.1_41	NC_029083.1	NC_029083.1	41	18116	18340	-1	E											0
NC_029083.1_NC_029083.1_42	NC_029083.1	NC_029083.1	42	18337	18522	-1	E											0
NC_029083.1_NC_029083.1_43	NC_029083.1	NC_029083.1	43	18583	19131	-1	D			MER1071179	S49B	MER1071179 - subfamily S49B non-peptidase homologues (Delftia tsuruhatensis) [S49.UNB]#S49B#{peptidase unit: 41-99}~source A0A072T651~	False	117.0	1.64e-28	0.924	Clp protease [PF00574.26]	0
NC_029083.1_NC_029083.1_44	NC_029083.1	NC_029083.1	44	19179	19535	-1	E											0
NC_029083.1_NC_029083.1_45	NC_029083.1	NC_029083.1	45	19532	19999	-1	E											0
NC_029083.1_NC_029083.1_46	NC_029083.1	NC_029083.1	46	20480	20668	1	E											0
NC_029083.1_NC_029083.1_47	NC_029083.1	NC_029083.1	47	20811	21134	1	E											0
NC_029083.1_NC_029083.1_48	NC_029083.1	NC_029083.1	48	21549	21974	1	E											1
NC_029083.1_NC_029083.1_49	NC_029083.1	NC_029083.1	49	24348	25868	1	D										Terminase RNaseH-like domain [PF17289.5]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	0
NC_029083.1_NC_029083.1_50	NC_029083.1	NC_029083.1	50	25881	27320	1	D										Protein of unknown function (DUF935) [PF06074.15]	0
NC_029083.1_NC_029083.1_51	NC_029083.1	NC_029083.1	51	27330	27800	1	D										Putative phage serine protease XkdF [PF14550.9]	0
NC_029083.1_NC_029083.1_52	NC_029083.1	NC_029083.1	52	27797	28714	1	E											0
NC_029083.1_NC_029083.1_53	NC_029083.1	NC_029083.1	53	28742	29152	1	E											0
NC_029083.1_NC_029083.1_54	NC_029083.1	NC_029083.1	54	29195	30229	1	D										Phage major capsid protein E [PF03864.18]	0
NC_029083.1_NC_029083.1_55	NC_029083.1	NC_029083.1	55	30280	30756	1	E											0
NC_029083.1_NC_029083.1_56	NC_029083.1	NC_029083.1	56	30728	31207	1	E											0
NC_029083.1_NC_029083.1_57	NC_029083.1	NC_029083.1	57	31207	31587	1	E											0
NC_029083.1_NC_029083.1_58	NC_029083.1	NC_029083.1	58	31584	32147	1	E											0
NC_029083.1_NC_029083.1_59	NC_029083.1	NC_029083.1	59	32160	33446	1	D										Protein of unknown function (DUF3383) [PF11863.11]	0
NC_029083.1_NC_029083.1_60	NC_029083.1	NC_029083.1	60	33477	34001	1	D										Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]	0
NC_029083.1_NC_029083.1_61	NC_029083.1	NC_029083.1	61	34076	34576	1	D										Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]	0
NC_029083.1_NC_029083.1_62	NC_029083.1	NC_029083.1	62	34578	35057	1	D										Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]	0
NC_029083.1_NC_029083.1_63	NC_029083.1	NC_029083.1	63	35088	35459	1	E											0
NC_029083.1_NC_029083.1_64	NC_029083.1	NC_029083.1	64	35567	35719	1	E											0
