	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_001781.1_1	NC_001781.1	NC_001781.1	1	99	518	1	D			NP_056856.1	NP_056856.1 nonstructural protein 1 [Human orthopneumovirus]	False	0.95	280	3.797e-86	Pneumovirus NS1 protein [PF03438.16]	VOG10720	sp|P0DOE8|NS1_HRSS2 Non-structural protein 1; XhXp	Xp;Xh	0	False	F
NC_001781.1_2	NC_001781.1	NC_001781.1	2	626	1000	1	D			NP_056857.1	NP_056857.1 nonstructural protein 2 [Human orthopneumovirus]	False	0.973	256	2.273e-78	Respiratory synctial virus non-structural protein NS2 [PF03113.17]	VOG10721	sp|P04543|NS2_HRSVA Non-structural protein 2; XhXp	Xp;Xh	0	False	F
NC_001781.1_3	NC_001781.1	NC_001781.1	3	1140	2315	1	D			NP_056858.1	NP_056858.1 nucleoprotein [Human orthopneumovirus]	True	0.944	777	2.187e-253	Pneumovirus nucleocapsid protein [PF03246.16]	VOG10722	sp|P03418|NCAP_HRSVA Nucleoprotein; XpXrXs	Xr;Xs;Xp	0	False	VF
NC_001781.1_4	NC_001781.1	NC_001781.1	4	2348	3073	1	D			NP_056859.1	NP_056859.1 phosphoprotein [Human orthopneumovirus]	True	0.897	452	4.644e-144	Pneumovirus phosphoprotein [PF02478.19]	VOG10723	sp|P03421|PHOSP_HRSVA Phosphoprotein; XpXrXs	Xr;Xs;Xp	0	False	VF
NC_001781.1_5	NC_001781.1	NC_001781.1	5	3158	4033	1	D			NP_056860.1	NP_056860.1 matrix protein [Human orthopneumovirus]	True	0.947	511	1.906e-163	Pneumovirus matrix protein [PF03393.19]	VOG10724	sp|P0DOE7|MATRX_HRSVA Matrix protein; Xs	Xs	0	False	VF
NC_001781.1_6	NC_001781.1	NC_001781.1	6	4303	4500	1	D			NP_056861.1	NP_056861.1 small hydrophobic protein [Human orthopneumovirus]	False	0.934	130	1.5110000000000002e-35	Small hydrophobic protein [PF03579.16]	VOG10725	sp|P32554|SH_BRSV3 Small hydrophobic protein; XhXs	Xs;Xh	0	False	VF
NC_001781.1_7	NC_001781.1	NC_001781.1	7	4690	5589	1	C	K22613	RSV chemokine CX3C homolog	NP_056862.1	NP_056862.1 attachment glycoprotein [Human orthopneumovirus]	True	0.861	535	1.238e-171	Pneumovirus attachment glycoprotein G [PF00802.22]	VOG25256	sp|O09495|GLYC_BRSVL Major surface glycoprotein G; XhXpXs	Xs;Xp;Xh	0	False	VF
NC_001781.1_8	NC_001781.1	NC_001781.1	8	5621	7390	1	C	K19261	Pneumoviridae fusion glycoprotein F0	NP_056863.1	NP_056863.1 fusion glycoprotein [Human orthopneumovirus]	True	0.928	1117	0.0	Fusion glycoprotein F0 [PF00523.21]	VOG10658	sp|P35936|FUS_NDVD Fusion glycoprotein F0; XhXpXs	Xs;Xp;Xh	0	False	V
NC_001781.1_9	NC_001781.1	NC_001781.1	9	7618	8205	1	D			NP_056864.1	NP_056864.1 M2-1 protein [Human orthopneumovirus]	True	0.954	393	2.548e-124	Pneumovirus matrix protein 2 (M2) [PF06436.14]	VOG10726	sp|O42050|M21_HRSVB Protein M2-1; XpXrXs	Xr;Xs;Xp	0	False	V
NC_001781.1_10	NC_001781.1	NC_001781.1	10	8162	8443	1	D			NP_056865.3	NP_056865.3 M2-2 protein [Human orthopneumovirus]	False	0.975	187	5.219e-55	Pneumovirus M2 protein [PF07380.14]	VOG25257	sp|P88812|M22_HRSVA Protein M2-2; Xr	Xr	0	False	V
NC_001781.1_11	NC_001781.1	NC_001781.1	11	8443	15009	1	C	K26133	Pneumoviridae RNA-directed RNA polymerase L [EC:2.7.7.48 3.6.1.- 2.7.7.88 2.1.1.375]	NP_056866.1	NP_056866.1 polymerase protein [Human orthopneumovirus]	True	0.969	4417	0.0	Mononegavirales RNA dependent RNA polymerase [PF00946.22]; Mononegavirales mRNA-capping region V [PF14318.9]	VOG01829	sp|Q8B0H0|L_VSIVC RNA-directed RNA polymerase L; XhXrXs	Xr;Xs;Xh	0	False	VF
