	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000412.1_1	QGNH01000412.1	QGNH01000412.1	1	603	809	-1	E			YP_007112607.1	YP_007112607.1 hypothetical protein F847_gp69 [Escherichia phage HK630]	False	0.939	136	8.062e-38													VOG11922	sp|P64435|YBCW_ECOLI Uncharacterized protein YbcW; Xu	Xu	0	False	F
QGNH01000412.1_2	QGNH01000412.1	QGNH01000412.1	2	1095	1505	1	D			YP_007112606.1	YP_007112606.1 head protein [Escherichia phage HK630]	False	0.972	281	1.274e-86								Protein of unknown function (DUF1398) [PF07166.14]					VOG11921	sp|P75988|YCGX_ECOLI Uncharacterized protein YcgX; Xu	Xu	0	False	F
QGNH01000412.1_3	QGNH01000412.1	QGNH01000412.1	3	1795	2088	1	D			YP_007112605.1	YP_007112605.1 Bor-like outer membrane protein [Escherichia phage HK630]	False	0.954	197	3.216e-58								Bor protein [PF06291.14]					VOG09563	sp|P19592|ISS_ECOLX Protein iss; Xh	Xh	0	False	F
QGNH01000412.1_4	QGNH01000412.1	QGNH01000412.1	4	2120	2581	-1	C	K14744	prophage endopeptidase [EC:3.4.-.-]	YP_007112603.1	YP_007112603.1 Rz-like spanin [Escherichia phage HK630]	False	0.91	293	1.618e-90	MER0001304	X19	MER0001304 - murein endopeptidase (bacteriophage) () [X19.001]#X19#{peptidase unit: 1-153}~source ENPP_LAMBD~	False	0.91	293.0	2.991e-90	Bacteriophage Rz lysis protein [PF03245.16]					VOG02030	sp|P10305|SPAN1_BPT3 Spanin, inner membrane subunit; XhXp	Xh;Xp	0	False	F
QGNH01000412.1_5	QGNH01000412.1	QGNH01000412.1	5	2578	3054	-1	D			YP_007112602.1	YP_007112602.1 endolysin [Escherichia phage HK630]	False	0.998	335	4.421e-105									GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)	4.2.2.n1	GH104.hmm				0	False	F
QGNH01000412.1_6	QGNH01000412.1	QGNH01000412.1	6	4038	4661	-1	D			NP_040642.1	NP_040642.1 antitermination protein [Escherichia phage Lambda]	True	0.961	421	1.159e-133								Antitermination protein [PF03589.16]					VOG02422	sp|P76161|REQ2_ECOLI Prophage antitermination protein Q homolog QuuQ; Xu	Xu	1	False	F
QGNH01000412.1_7	QGNH01000412.1	QGNH01000412.1	7	4658	5323	-1	C	K07313	serine/threonine protein phosphatase 1 [EC:3.1.3.16]	NP_040641.1	NP_040641.1 serine/threonine protein phosphatase [Escherichia phage Lambda]	True	1.0	477	7.992e-153								Calcineurin-like phosphoesterase [PF00149.31]								0	False	F
QGNH01000412.1_8	QGNH01000412.1	QGNH01000412.1	8	5301	5507	-1	D			YP_007151728.1	YP_007151728.1 NinH family protein [Escherichia phage HK106]	False	0.979	143	5.079e-40								Phage NinH protein [PF06322.14]					VOG07483	sp|P03771|NINH_LAMBD Protein ninH; Xu	Xu	0	False	
QGNH01000412.1_9	QGNH01000412.1	QGNH01000412.1	9	5504	6115	-1	D			YP_009909818.1	YP_009909818.1 NinG/ Rap DNA junction specific endonuclease [Enterobacteria phage O276]	True	0.969	417	2.247e-132								Bacteriophage Lambda NinG protein [PF05766.15]					VOG00093	sp|P69175|NING_BPVT2 Protein ninG; Xu	Xu	0	False	
QGNH01000412.1_10	QGNH01000412.1	QGNH01000412.1	10	6594	7466	-1	D			YP_009909814.1	YP_009909814.1 phosphoadenosine phosphosulfate reductase [Enterobacteria phage O276]	True	1.0	634	6.687999999999999e-206								Phosphoadenosine phosphosulfate reductase family [PF01507.22]					VOG01424	sp|P03766|Y290_LAMBD Uncharacterized nin region protein ORF290; Xu	Xu	0	False	
