LBYQ01000006.1_13	f6d459b0ffac2bf5365b431bf1942f2e	118	Pfam	PF18924	Protein of unknown function (DUF5674)	7	103	7.1E-23	T	10-07-2023	IPR043731	Protein of unknown function DUF5674
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	FunFam	G3DSA:3.40.50.2020:FF:000007	Ribose-phosphate pyrophosphokinase	7	159	2.1E-46	T	10-07-2023	-	-
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	Pfam	PF13793	N-terminal domain of ribose phosphate pyrophosphokinase	5	120	1.2E-37	T	10-07-2023	IPR029099	Ribose-phosphate pyrophosphokinase, N-terminal domain
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	SUPERFAMILY	SSF53271	PRTase-like	86	289	9.31E-43	T	10-07-2023	IPR029057	Phosphoribosyltransferase-like
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	Pfam	PF00156	Phosphoribosyl transferase domain	150	272	4.3E-16	T	10-07-2023	IPR000836	Phosphoribosyltransferase domain
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	CDD	cd06223	PRTases_typeI	147	274	2.73282E-22	T	10-07-2023	IPR000836	Phosphoribosyltransferase domain
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	TIGRFAM	TIGR01251	ribP_PPkin: ribose-phosphate diphosphokinase	5	292	7.8E-96	T	10-07-2023	IPR005946	Ribose-phosphate pyrophosphokinase
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	Gene3D	G3DSA:3.40.50.2020	-	147	287	6.9E-103	T	10-07-2023	IPR029057	Phosphoribosyltransferase-like
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	Gene3D	G3DSA:3.40.50.2020	-	7	292	6.9E-103	T	10-07-2023	IPR029057	Phosphoribosyltransferase-like
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	SUPERFAMILY	SSF53271	PRTase-like	2	156	8.02E-43	T	10-07-2023	IPR029057	Phosphoribosyltransferase-like
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	SMART	SM01400	Pribosyltran_N_2	4	120	2.7E-53	T	10-07-2023	-	-
LBYQ01000020.1_1	859b672eff3492f2003080e1ce131ce0	292	PANTHER	PTHR10210	RIBOSE-PHOSPHATE DIPHOSPHOKINASE FAMILY MEMBER	1	291	2.6E-85	T	10-07-2023	IPR005946	Ribose-phosphate pyrophosphokinase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	Pfam	PF03952	Enolase, N-terminal domain	4	134	1.9E-46	T	10-07-2023	IPR020811	Enolase, N-terminal
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	SFLD	SFLDF00002	enolase	1	416	0.0	T	10-07-2023	IPR000941	Enolase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	TIGRFAM	TIGR01060	eno: phosphopyruvate hydratase	4	418	1.8E-148	T	10-07-2023	IPR000941	Enolase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	Hamap	MF_00318	Enolase [eno].	2	416	37.661232	T	10-07-2023	IPR000941	Enolase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	Gene3D	G3DSA:3.20.20.120	-	128	419	1.2E-111	T	10-07-2023	IPR036849	Enolase-like, C-terminal domain superfamily
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	PANTHER	PTHR11902	ENOLASE	3	417	1.9E-131	T	10-07-2023	IPR000941	Enolase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	SMART	SM01193	Enolase_N_3	4	134	1.3E-63	T	10-07-2023	IPR020811	Enolase, N-terminal
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	Pfam	PF00113	Enolase, C-terminal TIM barrel domain	146	417	2.8E-89	T	10-07-2023	IPR020810	Enolase, C-terminal TIM barrel domain
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	SFLD	SFLDS00001	Enolase	1	416	0.0	T	10-07-2023	-	-
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	Gene3D	G3DSA:3.30.390.10	-	1	126	1.1E-44	T	10-07-2023	IPR029017	Enolase-like, N-terminal
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	SUPERFAMILY	SSF54826	Enolase N-terminal domain-like	3	137	1.08E-43	T	10-07-2023	IPR029017	Enolase-like, N-terminal
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	CDD	cd03313	enolase	6	415	0.0	T	10-07-2023	IPR000941	Enolase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	SMART	SM01192	Enolase_C_3	144	419	7.7E-132	T	10-07-2023	IPR020810	Enolase, C-terminal TIM barrel domain
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	PRINTS	PR00148	Enolase signature	166	179	4.6E-33	T	10-07-2023	IPR000941	Enolase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	PRINTS	PR00148	Enolase signature	316	327	4.6E-33	T	10-07-2023	IPR000941	Enolase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	PRINTS	PR00148	Enolase signature	368	385	4.6E-33	T	10-07-2023	IPR000941	Enolase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	PRINTS	PR00148	Enolase signature	107	123	4.6E-33	T	10-07-2023	IPR000941	Enolase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	PRINTS	PR00148	Enolase signature	339	353	4.6E-33	T	10-07-2023	IPR000941	Enolase
