	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001080.1_1	QGNH01001080.1	QGNH01001080.1	1	1	1320	1	D																Protein of unknown function (DUF1552) [PF07586.14]								0	False	TF
QGNH01001080.1_2	QGNH01001080.1	QGNH01001080.1	2	1335	2732	1	D			YP_009701850.1	YP_009701850.1 ankyrin repeat PH and SEC7 domain containing protein [Paramecium bursaria Chlorella virus CVA-1]	False	0.284	109.0	1.269e-23								Ankyrin repeats (3 copies) [PF12796.10]; Ankyrin repeats (many copies) [PF13637.9]; Ankyrin repeats (many copies) [PF13857.9]					VOG01375	sp|Q9J519|V216_FOWPN Putative ankyrin repeat protein FPV216; Xh	Xh	0	False	TF
QGNH01001080.1_3	QGNH01001080.1	QGNH01001080.1	3	2736	3770	1	D									MER0212574	S09X	MER0212574 - family S9 non-peptidase homologues (Gemmata obscuriglobus) [S09.UNW]#S09X#{peptidase unit: 76-294}~source ZP_02732706~	False	313.0	1.88e-93	0.704	Putative esterase [PF00756.23]	CE1	CE1 acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12); diacylglycerol O-acyltransferase (EC 2.3.1.20); trehalose 6-O-mycolyltransferase (EC 2.3.1.122)	2.3.1.122,3.1.1.72,3.2.1.8,3.1.1.-,2.3.1.20	CE1.hmm				0	False	TF
QGNH01001080.1_4	QGNH01001080.1	QGNH01001080.1	4	3948	4196	-1	E																								0	False	TF
QGNH01001080.1_5	QGNH01001080.1	QGNH01001080.1	5	4220	4423	-1	E																								0	False	TF
QGNH01001080.1_6	QGNH01001080.1	QGNH01001080.1	6	4635	5204	-1	C	K06919	putative DNA primase/helicase	NP_690795.1	NP_690795.1 DNA primase [Bacillus phage phi105]	False	0.512	119.0	2.401e-29																0	False	TF
QGNH01001080.1_7	QGNH01001080.1	QGNH01001080.1	7	5286	5738	-1	C	K06919	putative DNA primase/helicase	YP_003344913.1	YP_003344913.1 DNA primase [Xylella phage Xfas53]	False	0.313	75.0	7.398e-15								D5 N terminal like [PF08706.14]; Family of unknown function (DUF5906) [PF19263.2]								0	False	TF
QGNH01001080.1_8	QGNH01001080.1	QGNH01001080.1	8	5847	6299	-1	E																								0	False	TF
QGNH01001080.1_9	QGNH01001080.1	QGNH01001080.1	9	6404	6724	-1	E																								0	False	TF
QGNH01001080.1_10	QGNH01001080.1	QGNH01001080.1	10	6736	6909	-1	D																IstB-like ATP binding protein [PF01695.20]								0	False	TF
QGNH01001080.1_11	QGNH01001080.1	QGNH01001080.1	11	7137	8387	1	D			YP_009845438.1	YP_009845438.1 tyrosine-type recombinase/integrase [Bacillus phage vB_BtS_B83]	False	0.244	89.0	3.443e-17								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF02899.20]					VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	True	VTF
QGNH01001080.1_12	QGNH01001080.1	QGNH01001080.1	12	8384	9403	1	D																Phage integrase family [PF00589.25]					VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	False	VTF
QGNH01001080.1_13	QGNH01001080.1	QGNH01001080.1	13	9400	10413	1	D			YP_009595182.1	YP_009595182.1 integrase [Bacillus phage Mgbh1]	False	0.252	101.0	1.032e-21								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF13495.9]; Phage integrase, N-terminal SAM-like domain [PF02899.20]					VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	True	VTF
