	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001255.1_1	QGNH01001255.1	QGNH01001255.1	1	3	440	-1	E																								0	False	F
QGNH01001255.1_2	QGNH01001255.1	QGNH01001255.1	2	531	1358	1	E																								0	False	F
QGNH01001255.1_3	QGNH01001255.1	QGNH01001255.1	3	1361	2455	-1	E			YP_009361592.1	YP_009361592.1 endonuclease VII [Pacmanvirus A23]	False	0.252	81.0	3.749e-15													VOG00073	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	0	False	F
QGNH01001255.1_4	QGNH01001255.1	QGNH01001255.1	4	2653	3411	1	D			YP_010669821.1	YP_010669821.1 glycosyltransferase [Synechococcus phage S-SCSM1]	False	0.337	142.0	1.609e-36								N-terminal domain of galactosyltransferase [PF02709.17]					VOG03982	REFSEQ galactosyl transferase; Xu	Xu	0	False	F
QGNH01001255.1_5	QGNH01001255.1	QGNH01001255.1	5	3462	4358	1	D			YP_010669821.1	YP_010669821.1 glycosyltransferase [Synechococcus phage S-SCSM1]	False	0.342	146.0	4.314e-37								N-terminal domain of galactosyltransferase [PF02709.17]; Glycosyltransferase like family 2 [PF10111.12]					VOG03982	REFSEQ galactosyl transferase; Xu	Xu	0	False	F
QGNH01001255.1_6	QGNH01001255.1	QGNH01001255.1	6	4355	5245	1	D			YP_009173265.1	YP_009173265.1 hypothetical protein ceV_010 [Chrysochromulina ericina virus]	False	0.223	78.0	1.625e-14								Glycosyltransferase family 10 (fucosyltransferase) C-term [PF00852.22]	GT10	GT10 galactoside alpha-1,3/1,4-L-fucosyltransferase (EC 2.4.1.65); galactoside alpha-1,3-L-fucosyltransferase (EC 2.4.1.152); glycoprotein alpha-1,3-L-fucosyltransferase (EC 2.4.1.214)	2.4.1.152,2.4.1.214,2.4.1.65	GT10.hmm	VOG03726	REFSEQ putative transferase; Xu	Xu	0	False	F
QGNH01001255.1_7	QGNH01001255.1	QGNH01001255.1	7	5235	5990	1	D			YP_010669820.1	YP_010669820.1 glycosyltransferase [Synechococcus phage S-SCSM1]	False	0.375	128.0	8.302e-32								Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]								0	False	
QGNH01001255.1_8	QGNH01001255.1	QGNH01001255.1	8	5997	6947	-1	E			YP_004894516.1	YP_004894516.1 endonuclease VII [Megavirus chiliensis]	False	0.259	79.0	1.208e-14																0	False	
QGNH01001255.1_9	QGNH01001255.1	QGNH01001255.1	9	6950	7132	-1	D																Helix-turn-helix domain [PF12728.10]; MerR HTH family regulatory protein [PF13411.9]								0	False	
QGNH01001255.1_10	QGNH01001255.1	QGNH01001255.1	10	7229	7930	1	D			YP_010669822.1	YP_010669822.1 glycosyltransferase [Synechococcus phage S-SCSM1]	False	0.452	183.0	1.121e-50								Protein of unknown function (DUF616) [PF04765.16]					VOG01354	REFSEQ glycosyltransferase; Xu	Xu	0	False	
