	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
GCA_017610335.1_JAFCCG010000001.1_1	GCA_017610335.1	JAFCCG010000001.1	1	224	3340	1	D										Helicase HerA-like C-terminal [PF05872.15]; Helicase HerA, central domain [PF01935.20]					0
GCA_017610335.1_JAFCCG010000001.1_2	GCA_017610335.1	JAFCCG010000001.1	2	3320	5023	-1	D										2-phospho-L-lactate transferase CofD [PF01933.21]; Haloacid dehalogenase-like hydrolase [PF13419.9]; HAD-hyrolase-like [PF13242.9]; haloacid dehalogenase-like hydrolase [PF00702.29]					0
GCA_017610335.1_JAFCCG010000001.1_3	GCA_017610335.1	JAFCCG010000001.1	3	5100	5558	1	E															0
GCA_017610335.1_JAFCCG010000001.1_4	GCA_017610335.1	JAFCCG010000001.1	4	5639	6877	1	D										Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]; Glycosyltransferase Family 4 [PF13439.9]; Glycosyl transferase 4-like domain [PF13579.9]	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132	GT4.hmm	0
GCA_017610335.1_JAFCCG010000001.1_5	GCA_017610335.1	JAFCCG010000001.1	5	6936	7787	-1	E															0
GCA_017610335.1_JAFCCG010000001.1_6	GCA_017610335.1	JAFCCG010000001.1	6	7910	8230	-1	C	K02929	large subunit ribosomal protein L44e								Ribosomal protein L44 [PF00935.22]					0
GCA_017610335.1_JAFCCG010000001.1_7	GCA_017610335.1	JAFCCG010000001.1	7	8379	9245	1	E															0
GCA_017610335.1_JAFCCG010000001.1_8	GCA_017610335.1	JAFCCG010000001.1	8	9543	11249	-1	E															0
GCA_017610335.1_JAFCCG010000001.1_9	GCA_017610335.1	JAFCCG010000001.1	9	11259	11648	-1	E															0
GCA_017610335.1_JAFCCG010000001.1_10	GCA_017610335.1	JAFCCG010000001.1	10	11736	12206	1	E															0
GCA_017610335.1_JAFCCG010000001.1_11	GCA_017610335.1	JAFCCG010000001.1	11	12263	12430	1	E															0
GCA_017610335.1_JAFCCG010000001.1_12	GCA_017610335.1	JAFCCG010000001.1	12	12427	13023	-1	E															0
GCA_017610335.1_JAFCCG010000001.1_13	GCA_017610335.1	JAFCCG010000001.1	13	13189	13314	1	D										RecF/RecN/SMC N terminal domain [PF02463.22]; AAA domain [PF13476.9]; AAA ATPase domain [PF13175.9]; P-loop containing region of AAA domain [PF13555.9]					0
GCA_017610335.1_JAFCCG010000001.1_14	GCA_017610335.1	JAFCCG010000001.1	14	13308	16127	1	D										RecF/RecN/SMC N terminal domain [PF02463.22]; Eukaryotic membrane protein family [PF05346.14]; AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.9]					0
GCA_017610335.1_JAFCCG010000001.1_15	GCA_017610335.1	JAFCCG010000001.1	15	16143	18530	-1	C	K06870	uncharacterized protein	MER0172240	S16	MER0172240 - PF1438 ({Pyrococcus furiosus}) (Thermococcus sp. AM4) [S16.A12]#S16#{peptidase unit: 2-280}~source YP_002582119~	False	0.398	126.0	1.391e-27	Lon protease (S16) C-terminal proteolytic domain [PF05362.16]					0
GCA_017610335.1_JAFCCG010000001.1_16	GCA_017610335.1	JAFCCG010000001.1	16	18646	18951	-1	C	K02869	large subunit ribosomal protein L12								60s Acidic ribosomal protein [PF00428.22]					0
GCA_017610335.1_JAFCCG010000001.1_17	GCA_017610335.1	JAFCCG010000001.1	17	18994	19977	-1	D										Insertion domain in 60S ribosomal protein L10P [PF17777.4]; Ribosomal protein L10 [PF00466.23]					0
GCA_017610335.1_JAFCCG010000001.1_18	GCA_017610335.1	JAFCCG010000001.1	18	19977	20660	-1	C	K02863	large subunit ribosomal protein L1								Ribosomal protein L1p/L10e family [PF00687.24]					0
GCA_017610335.1_JAFCCG010000001.1_19	GCA_017610335.1	JAFCCG010000001.1	19	20841	21317	-1	C	K02867	large subunit ribosomal protein L11								Ribosomal protein L11, RNA binding domain [PF00298.22]; Ribosomal protein L11, N-terminal domain [PF03946.17]					0
GCA_017610335.1_JAFCCG010000001.1_20	GCA_017610335.1	JAFCCG010000001.1	20	21354	21794	-1	C	K15172	transcription elongation factor SPT5								Early transcription elongation factor of RNA pol II, NGN section [PF03439.16]					0
GCA_017610335.1_JAFCCG010000001.1_21	GCA_017610335.1	JAFCCG010000001.1	21	21952	22140	-1	C	K07342	protein transport protein SEC61 subunit gamma and related proteins													0
GCA_017610335.1_JAFCCG010000001.1_22	GCA_017610335.1	JAFCCG010000001.1	22	22227	22433	1	E															0
GCA_017610335.1_JAFCCG010000001.1_23	GCA_017610335.1	JAFCCG010000001.1	23	22563	22802	1	E															0
GCA_017610335.1_JAFCCG010000001.1_24	GCA_017610335.1	JAFCCG010000001.1	24	22792	23229	1	E															0
GCA_017610335.1_JAFCCG010000001.1_25	GCA_017610335.1	JAFCCG010000001.1	25	23384	24505	-1	C	K03531	cell division protein FtsZ								Tubulin/FtsZ family, GTPase domain [PF00091.28]; FtsZ family, C-terminal domain [PF12327.11]					0
GCA_017610335.1_JAFCCG010000001.1_26	GCA_017610335.1	JAFCCG010000001.1	26	24744	25166	-1	E															0
GCA_017610335.1_JAFCCG010000001.1_27	GCA_017610335.1	JAFCCG010000001.1	27	25259	25741	-1	E															0
GCA_017610335.1_JAFCCG010000001.1_28	GCA_017610335.1	JAFCCG010000001.1	28	25837	26667	1	D										Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]	GT81	GT81 NDP-Glc: glucosyl-3-phosphoglycerate synthase (EC 2.4.1.266); NDP-Man: mannosyl-3-phosphoglycerate synthase (EC 2.4.1.217);	2.4.1.217,2.4.1.266,2.4.1.270,2.4.1.-	GT81.hmm	0
GCA_017610335.1_JAFCCG010000001.1_29	GCA_017610335.1	JAFCCG010000001.1	29	26879	27757	1	D										Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]	GT81	GT81 NDP-Glc: glucosyl-3-phosphoglycerate synthase (EC 2.4.1.266); NDP-Man: mannosyl-3-phosphoglycerate synthase (EC 2.4.1.217);	2.4.1.217,2.4.1.266,2.4.1.270,2.4.1.-	GT81.hmm	0
GCA_017610335.1_JAFCCG010000001.1_30	GCA_017610335.1	JAFCCG010000001.1	30	27804	28763	1	D										Initiation factor 2 subunit family [PF01008.20]					0
GCA_017610335.1_JAFCCG010000001.1_31	GCA_017610335.1	JAFCCG010000001.1	31	28877	29131	1	E															0
GCA_017610335.1_JAFCCG010000001.1_32	GCA_017610335.1	JAFCCG010000001.1	32	29132	29389	1	E															0
GCA_017610335.1_JAFCCG010000001.1_33	GCA_017610335.1	JAFCCG010000001.1	33	29386	30048	-1	C	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]								Ribulose-phosphate 3 epimerase family [PF00834.22]					0
GCA_017610335.1_JAFCCG010000001.1_34	GCA_017610335.1	JAFCCG010000001.1	34	30111	31022	1	C	K17828	dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]								Dihydroorotate dehydrogenase [PF01180.24]					0
GCA_017610335.1_JAFCCG010000001.1_35	GCA_017610335.1	JAFCCG010000001.1	35	31015	31719	1	E															0
GCA_017610335.1_JAFCCG010000001.1_36	GCA_017610335.1	JAFCCG010000001.1	36	31703	32365	1	D										Haloacid dehalogenase-like hydrolase [PF13419.9]; HAD-hyrolase-like [PF13242.9]					0
GCA_017610335.1_JAFCCG010000001.1_37	GCA_017610335.1	JAFCCG010000001.1	37	32362	33174	1	C	K02823	dihydroorotate dehydrogenase electron transfer subunit								Oxidoreductase NAD-binding domain [PF00175.24]; Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B [PF10418.12]; Oxidoreductase FAD-binding domain [PF00970.27]					0
GCA_017610335.1_JAFCCG010000001.1_38	GCA_017610335.1	JAFCCG010000001.1	38	33171	33821	1	E															0
GCA_017610335.1_JAFCCG010000001.1_39	GCA_017610335.1	JAFCCG010000001.1	39	34111	35130	1	C	K00609	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]								Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain [PF00185.27]; Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain [PF02729.24]					0
