	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_042113.1_NC_042113.1_1	NC_042113.1	NC_042113.1	1	22	159	-1	E											0
NC_042113.1_NC_042113.1_2	NC_042113.1	NC_042113.1	2	343	936	1	E											0
NC_042113.1_NC_042113.1_3	NC_042113.1	NC_042113.1	3	1445	1603	1	E											0
NC_042113.1_NC_042113.1_4	NC_042113.1	NC_042113.1	4	1657	1923	-1	E											0
NC_042113.1_NC_042113.1_5	NC_042113.1	NC_042113.1	5	1916	2326	-1	E											0
NC_042113.1_NC_042113.1_6	NC_042113.1	NC_042113.1	6	2316	2732	-1	E											0
NC_042113.1_NC_042113.1_7	NC_042113.1	NC_042113.1	7	2729	3133	-1	E											0
NC_042113.1_NC_042113.1_8	NC_042113.1	NC_042113.1	8	3176	3838	-1	E											0
NC_042113.1_NC_042113.1_9	NC_042113.1	NC_042113.1	9	3841	4119	-1	E											0
NC_042113.1_NC_042113.1_10	NC_042113.1	NC_042113.1	10	4107	4418	-1	E											0
NC_042113.1_NC_042113.1_11	NC_042113.1	NC_042113.1	11	4421	4780	-1	E											0
NC_042113.1_NC_042113.1_12	NC_042113.1	NC_042113.1	12	4777	5061	-1	E											0
NC_042113.1_NC_042113.1_13	NC_042113.1	NC_042113.1	13	5117	5332	-1	E											0
NC_042113.1_NC_042113.1_14	NC_042113.1	NC_042113.1	14	5329	5670	-1	E											0
NC_042113.1_NC_042113.1_15	NC_042113.1	NC_042113.1	15	5672	6175	-1	E											0
NC_042113.1_NC_042113.1_16	NC_042113.1	NC_042113.1	16	6162	6539	-1	E											0
NC_042113.1_NC_042113.1_17	NC_042113.1	NC_042113.1	17	6559	7140	-1	E											0
NC_042113.1_NC_042113.1_18	NC_042113.1	NC_042113.1	18	7137	7454	-1	E											0
NC_042113.1_NC_042113.1_19	NC_042113.1	NC_042113.1	19	7456	7605	-1	E											0
NC_042113.1_NC_042113.1_20	NC_042113.1	NC_042113.1	20	7617	8096	-1	D										Macro domain [PF01661.24]	0
NC_042113.1_NC_042113.1_21	NC_042113.1	NC_042113.1	21	8093	8290	-1	E											0
NC_042113.1_NC_042113.1_22	NC_042113.1	NC_042113.1	22	8302	9990	-1	C	K03462	nicotinamide phosphoribosyltransferase [EC:2.4.2.12]								Nicotinate phosphoribosyltransferase (NAPRTase) family [PF04095.19]; Nicotinamide phosphoribosyltransferase, N-terminal domain [PF18127.4]	0
NC_042113.1_NC_042113.1_23	NC_042113.1	NC_042113.1	23	10047	10265	-1	E											0
NC_042113.1_NC_042113.1_24	NC_042113.1	NC_042113.1	24	10262	11128	-1	C	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]								N-terminal domain of ribose phosphate pyrophosphokinase [PF13793.9]; Phosphoribosyl synthetase-associated domain [PF14572.9]	0
NC_042113.1_NC_042113.1_25	NC_042113.1	NC_042113.1	25	11138	11554	-1	D										AAA domain [PF13671.9]; Zeta toxin [PF06414.15]	0
NC_042113.1_NC_042113.1_26	NC_042113.1	NC_042113.1	26	11565	12482	-1	D										RNA ligase [PF09511.13]	0
NC_042113.1_NC_042113.1_27	NC_042113.1	NC_042113.1	27	12494	12901	-1	E											0
NC_042113.1_NC_042113.1_28	NC_042113.1	NC_042113.1	28	12898	13173	-1	D										Helix-turn-helix domain [PF13744.9]	0
NC_042113.1_NC_042113.1_29	NC_042113.1	NC_042113.1	29	13175	13411	-1	E											0
NC_042113.1_NC_042113.1_30	NC_042113.1	NC_042113.1	30	13424	13978	-1	E											0
NC_042113.1_NC_042113.1_31	NC_042113.1	NC_042113.1	31	13978	14409	-1	E											0
NC_042113.1_NC_042113.1_32	NC_042113.1	NC_042113.1	32	14399	14959	-1	D										HD domain [PF13328.9]	0
NC_042113.1_NC_042113.1_33	NC_042113.1	NC_042113.1	33	14961	15521	-1	C	K01449	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]								Cell Wall Hydrolase [PF07486.15]	0
NC_042113.1_NC_042113.1_34	NC_042113.1	NC_042113.1	34	15586	16047	-1	E											0
NC_042113.1_NC_042113.1_35	NC_042113.1	NC_042113.1	35	16060	17268	-1	D										ATP dependent DNA ligase domain [PF01068.24]	0
NC_042113.1_NC_042113.1_36	NC_042113.1	NC_042113.1	36	17265	17681	-1	C	K01493	dCMP deaminase [EC:3.5.4.12]								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]; MafB19-like deaminase [PF14437.9]	0
NC_042113.1_NC_042113.1_37	NC_042113.1	NC_042113.1	37	17684	17920	-1	E											0
NC_042113.1_NC_042113.1_38	NC_042113.1	NC_042113.1	38	17930	18142	-1	E											0
NC_042113.1_NC_042113.1_39	NC_042113.1	NC_042113.1	39	18139	18408	-1	E											0
NC_042113.1_NC_042113.1_40	NC_042113.1	NC_042113.1	40	18417	18767	-1	E											0
NC_042113.1_NC_042113.1_41	NC_042113.1	NC_042113.1	41	18748	19026	-1	E											0
NC_042113.1_NC_042113.1_42	NC_042113.1	NC_042113.1	42	19023	19301	-1	E											0
NC_042113.1_NC_042113.1_43	NC_042113.1	NC_042113.1	43	19336	19521	-1	E											0
NC_042113.1_NC_042113.1_44	NC_042113.1	NC_042113.1	44	19522	19815	-1	E											0
NC_042113.1_NC_042113.1_45	NC_042113.1	NC_042113.1	45	19812	19997	-1	E											0
NC_042113.1_NC_042113.1_46	NC_042113.1	NC_042113.1	46	20058	20606	-1	D			MER1071179	S49B	MER1071179 - subfamily S49B non-peptidase homologues (Delftia tsuruhatensis) [S49.UNB]#S49B#{peptidase unit: 41-99}~source A0A072T651~	False	119.0	2.499e-29	0.942	Clp protease [PF00574.26]	0
NC_042113.1_NC_042113.1_47	NC_042113.1	NC_042113.1	47	20654	21010	-1	E											0
NC_042113.1_NC_042113.1_48	NC_042113.1	NC_042113.1	48	21007	21474	-1	E											0
NC_042113.1_NC_042113.1_49	NC_042113.1	NC_042113.1	49	21947	22135	1	E											0
NC_042113.1_NC_042113.1_50	NC_042113.1	NC_042113.1	50	22278	22601	1	E											0
NC_042113.1_NC_042113.1_51	NC_042113.1	NC_042113.1	51	25249	26769	1	D										Terminase RNaseH-like domain [PF17289.5]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	0
NC_042113.1_NC_042113.1_52	NC_042113.1	NC_042113.1	52	26782	28221	1	D										Protein of unknown function (DUF935) [PF06074.15]	0
NC_042113.1_NC_042113.1_53	NC_042113.1	NC_042113.1	53	28231	28701	1	D										Putative phage serine protease XkdF [PF14550.9]	0
NC_042113.1_NC_042113.1_54	NC_042113.1	NC_042113.1	54	28698	29615	1	E											0
NC_042113.1_NC_042113.1_55	NC_042113.1	NC_042113.1	55	29643	30053	1	E											0
NC_042113.1_NC_042113.1_56	NC_042113.1	NC_042113.1	56	30097	31131	1	D										Phage major capsid protein E [PF03864.18]	0
NC_042113.1_NC_042113.1_57	NC_042113.1	NC_042113.1	57	31181	31657	1	E											0
NC_042113.1_NC_042113.1_58	NC_042113.1	NC_042113.1	58	31629	32108	1	E											0
NC_042113.1_NC_042113.1_59	NC_042113.1	NC_042113.1	59	32108	32488	1	E											0
NC_042113.1_NC_042113.1_60	NC_042113.1	NC_042113.1	60	32485	33048	1	E											0
NC_042113.1_NC_042113.1_61	NC_042113.1	NC_042113.1	61	33061	34347	1	D										Protein of unknown function (DUF3383) [PF11863.11]	0
NC_042113.1_NC_042113.1_62	NC_042113.1	NC_042113.1	62	34378	34902	1	D										Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]	0
NC_042113.1_NC_042113.1_63	NC_042113.1	NC_042113.1	63	34977	35477	1	D										Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]	0
NC_042113.1_NC_042113.1_64	NC_042113.1	NC_042113.1	64	35477	35956	1	D										Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]	0
NC_042113.1_NC_042113.1_65	NC_042113.1	NC_042113.1	65	35970	36341	1	E											0
NC_042113.1_NC_042113.1_66	NC_042113.1	NC_042113.1	66	36449	36601	1	E											0
NC_042113.1_NC_042113.1_67	NC_042113.1	NC_042113.1	67	36598	38964	1	D										Tape measure protein [PF20155.2]	0
NC_042113.1_NC_042113.1_68	NC_042113.1	NC_042113.1	68	38961	39722	1	E											0
NC_042113.1_NC_042113.1_69	NC_042113.1	NC_042113.1	69	39728	40084	1	E											0
NC_042113.1_NC_042113.1_70	NC_042113.1	NC_042113.1	70	40081	40998	1	E											0
NC_042113.1_NC_042113.1_71	NC_042113.1	NC_042113.1	71	40995	41735	1	D										Phage protein Gp138 N-terminal domain [PF18352.4]	0
NC_042113.1_NC_042113.1_72	NC_042113.1	NC_042113.1	72	41746	42117	1	E											0
NC_042113.1_NC_042113.1_73	NC_042113.1	NC_042113.1	73	42119	43582	1	D										Baseplate J-like protein [PF04865.17]	0
NC_042113.1_NC_042113.1_74	NC_042113.1	NC_042113.1	74	43601	44332	1	D										Protein of unknown function (DUF2612) [PF11041.11]	0
NC_042113.1_NC_042113.1_75	NC_042113.1	NC_042113.1	75	44343	46358	1	E											0
NC_042113.1_NC_042113.1_76	NC_042113.1	NC_042113.1	76	46395	46772	1	D										Phage tail assembly chaperone protein [PF16778.8]	0
NC_042113.1_NC_042113.1_77	NC_042113.1	NC_042113.1	77	46784	48283	1	E											0
NC_042113.1_NC_042113.1_78	NC_042113.1	NC_042113.1	78	48300	48860	1	D										N-acetylmuramidase [PF11860.11]	0
NC_042113.1_NC_042113.1_79	NC_042113.1	NC_042113.1	79	48878	49117	1	E											0
NC_042113.1_NC_042113.1_80	NC_042113.1	NC_042113.1	80	49104	49547	1	E											0
NC_042113.1_NC_042113.1_81	NC_042113.1	NC_042113.1	81	49679	49984	1	E											0
NC_042113.1_NC_042113.1_82	NC_042113.1	NC_042113.1	82	50020	50334	1	E											0
NC_042113.1_NC_042113.1_83	NC_042113.1	NC_042113.1	83	50382	50690	-1	E											0
NC_042113.1_NC_042113.1_84	NC_042113.1	NC_042113.1	84	50702	51022	-1	E											0
NC_042113.1_NC_042113.1_85	NC_042113.1	NC_042113.1	85	51024	51833	-1	E											0
NC_042113.1_NC_042113.1_86	NC_042113.1	NC_042113.1	86	51826	51981	-1	E											0
NC_042113.1_NC_042113.1_87	NC_042113.1	NC_042113.1	87	51984	53129	-1	D										RNA ligase [PF09414.13]	0
NC_042113.1_NC_042113.1_88	NC_042113.1	NC_042113.1	88	53161	53394	-1	E											0
NC_042113.1_NC_042113.1_89	NC_042113.1	NC_042113.1	89	53847	54044	1	E											0
NC_042113.1_NC_042113.1_90	NC_042113.1	NC_042113.1	90	54047	54532	1	E											0
NC_042113.1_NC_042113.1_91	NC_042113.1	NC_042113.1	91	54566	54820	1	E											1
NC_042113.1_NC_042113.1_92	NC_042113.1	NC_042113.1	92	54822	55211	1	E											0
