	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000624.1_1	QGNH01000624.1	QGNH01000624.1	1	333	491	1	E																								0	False	F
QGNH01000624.1_2	QGNH01000624.1	QGNH01000624.1	2	619	1182	1	D																Phage terminase, small subunit [PF05119.15]					VOG00738	REFSEQ terminase small subunit; Xu	Xu	0	False	F
QGNH01000624.1_3	QGNH01000624.1	QGNH01000624.1	3	1288	2961	1	D			YP_009289662.1	YP_009289662.1 terminase large subunit [Gordonia phage Zirinka]	False	0.338	282.0	7.958999999999999e-80								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000624.1_4	QGNH01000624.1	QGNH01000624.1	4	2996	4606	1	D			NP_945033.1	NP_945033.1 portal protein [Burkholderia phage phi1026b]	False	0.462	340.0	7.261e-100								Phage portal protein [PF04860.15]					VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xs;Xr;Xh;Xp	0	False	VF
QGNH01000624.1_5	QGNH01000624.1	QGNH01000624.1	5	4619	5038	1	E			YP_009809266.1	YP_009809266.1 hypothetical protein HOU00_gp097 [Caulobacter phage CcrPW]	False	0.513	137.0	1.654e-36																0	False	F
QGNH01000624.1_6	QGNH01000624.1	QGNH01000624.1	6	5051	5611	1	E																								0	False	
QGNH01000624.1_7	QGNH01000624.1	QGNH01000624.1	7	5623	5961	1	E																								0	False	
QGNH01000624.1_8	QGNH01000624.1	QGNH01000624.1	8	6010	6753	-1	E																								0	False	
QGNH01000624.1_9	QGNH01000624.1	QGNH01000624.1	9	6777	7544	1	E																								0	False	
QGNH01000624.1_10	QGNH01000624.1	QGNH01000624.1	10	7560	8528	1	C	K06904	uncharacterized protein	NP_543091.1	NP_543091.1 major head protein [Enterobacteria phage phiP27]	False	0.368	102.0	4.274e-22	MER1087608	S78	MER1087608 - family S78 unassigned peptidases (Asaia platycodi) [S78.UPW]#S78#{peptidase unit: 20-164}~source A0A060QF51~	False	158.0	8.346999999999998e-41	0.559	Caudovirus prohead serine protease [PF04586.20]					VOG02183	sp|D3WAC4|PRO_BPLP2 Probable capsid maturation protease; XhXs	Xs;Xh	0	False	VP
QGNH01000624.1_11	QGNH01000624.1	QGNH01000624.1	11	8568	9992	1	D			NP_945035.1	NP_945035.1 major head protein [Burkholderia phage phi1026b]	False	0.498	353.0	2.7999999999999996e-105								Phage capsid family [PF05065.16]					VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	V
QGNH01000624.1_12	QGNH01000624.1	QGNH01000624.1	12	10108	11112	1	E			YP_001686867.1	YP_001686867.1 endonuclease VII [Azospirillum phage Cd]	False	0.449	93.0	3.79e-19													VOG02202	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	0	False	
QGNH01000624.1_13	QGNH01000624.1	QGNH01000624.1	13	11122	11415	1	E																								0	False	
QGNH01000624.1_14	QGNH01000624.1	QGNH01000624.1	14	11926	13128	1	E			YP_010644487.1	YP_010644487.1 hypothetical protein PP187_gp004 [Klebsiella phage vB_KvM-Eowyn]	False	0.266	106.0	8.015e-23													VOG24097	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000624.1_15	QGNH01000624.1	QGNH01000624.1	15	13082	13573	1	D																Methyltransferase domain [PF13578.9]								0	False	
QGNH01000624.1_16	QGNH01000624.1	QGNH01000624.1	16	13549	13758	1	E																								0	False	
QGNH01000624.1_17	QGNH01000624.1	QGNH01000624.1	17	13762	14496	1	E			YP_007518392.1	YP_007518392.1 head-tail adaptor [Rhodobacter phage RcapNL]	False	0.271	77.0	2.087e-14													VOG00412	sp|Q6QGD9|HCP_BPT5 Head completion protein; XhXs	Xs;Xh	0	False	V
QGNH01000624.1_18	QGNH01000624.1	QGNH01000624.1	18	14509	14910	1	E																								0	False	
QGNH01000624.1_19	QGNH01000624.1	QGNH01000624.1	19	14910	15290	1	E																								0	False	
QGNH01000624.1_20	QGNH01000624.1	QGNH01000624.1	20	15290	15958	1	E																								0	False	
QGNH01000624.1_21	QGNH01000624.1	QGNH01000624.1	21	15960	16412	1	D																Bacteriophage related domain of unknown function [PF13554.9]								0	False	
QGNH01000624.1_22	QGNH01000624.1	QGNH01000624.1	22	16504	17730	1	E			YP_010738493.1	YP_010738493.1 major tail structural protein [Stenotrophomonas phage vB_Sm_QDWS359]	False	0.23	88.0	4.269e-17													VOG00339	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000624.1_23	QGNH01000624.1	QGNH01000624.1	23	17841	18314	1	E																								0	False	
QGNH01000624.1_24	QGNH01000624.1	QGNH01000624.1	24	18338	18697	1	E																								0	False	
QGNH01000624.1_25	QGNH01000624.1	QGNH01000624.1	25	18700	23907	1	C	K21449	trimeric autotransporter adhesin																						0	False	
