	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000729.1_1	QGNH01000729.1	QGNH01000729.1	1	1	72	1	E																								0	False	TF
QGNH01000729.1_2	QGNH01000729.1	QGNH01000729.1	2	107	310	1	E			YP_010049751.1	YP_010049751.1 hypothetical protein KCH40_gp085 [Mycobacterium phage Typha]	False	0.481	61.0	2.234e-11																0	False	TF
QGNH01000729.1_3	QGNH01000729.1	QGNH01000729.1	3	307	471	1	E																								0	False	TF
QGNH01000729.1_4	QGNH01000729.1	QGNH01000729.1	4	528	1085	1	D																WbqC-like protein family [PF08889.14]								0	False	TF
QGNH01000729.1_5	QGNH01000729.1	QGNH01000729.1	5	1082	1804	1	D			YP_009031540.1	YP_009031540.1 DNA methyltransferase [Mycobacterium phage MosMoris]	False	0.433	177.0	8.665e-49								C-5 cytosine-specific DNA methylase [PF00145.20]								0	False	TF
QGNH01000729.1_6	QGNH01000729.1	QGNH01000729.1	6	1801	3408	1	D			YP_009324396.1	YP_009324396.1 terminase large subunit [Gordonia phage GAL1]	False	0.377	328.0	5.715e-96								Terminase large subunit, endonuclease domain [PF20441.1]					VOG00185	sp|O64206|VG13_BPMD2 Gene 13 protein; Xu	Xu	0	False	TF
QGNH01000729.1_7	QGNH01000729.1	QGNH01000729.1	7	3405	3560	1	E																								0	False	TF
QGNH01000729.1_8	QGNH01000729.1	QGNH01000729.1	8	3557	4936	1	D			YP_009594351.1	YP_009594351.1 portal protein [Arthrobacter phage Galaxy]	False	0.263	137.0	1.44e-32								Phage portal protein [PF04860.15]					VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xs;Xp;Xr;Xh	0	False	VTF
QGNH01000729.1_9	QGNH01000729.1	QGNH01000729.1	9	4960	5328	1	E																								0	False	TF
QGNH01000729.1_10	QGNH01000729.1	QGNH01000729.1	10	5346	6401	1	C	K04773	protease IV [EC:3.4.21.-]	YP_010000088.1	YP_010000088.1 head maturation protease [Serratia phage JS26]	False	0.337	138.0	8.679e-34	MER1066983	S49A	MER1066983 - subfamily S49A unassigned non-peptidase homologues (Azospirillum thiophilum) [S49.UNA]#S49A#{peptidase unit: 58-284}~source A0A0F2KQW7~	False	176.0	2.501e-46	0.448	Peptidase family S49 [PF01343.21]					VOG07465	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xs;Xh	0	False	VPT
QGNH01000729.1_11	QGNH01000729.1	QGNH01000729.1	11	6446	7762	1	E			YP_005098209.1	YP_005098209.1 major head protein [Pseudomonas phage PMG1]	False	0.297	128.0	6.974e-30													VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	VT
QGNH01000729.1_12	QGNH01000729.1	QGNH01000729.1	12	7842	8459	1	E																								0	False	T
QGNH01000729.1_13	QGNH01000729.1	QGNH01000729.1	13	8456	8878	1	E																								0	False	T
QGNH01000729.1_14	QGNH01000729.1	QGNH01000729.1	14	8943	9359	1	E			YP_005087326.1	YP_005087326.1 major tail protein [Rhodococcus phage REQ1]	False	0.351	79.0	1.529e-16																0	False	T
QGNH01000729.1_15	QGNH01000729.1	QGNH01000729.1	15	9360	9734	1	E																								0	False	T
QGNH01000729.1_16	QGNH01000729.1	QGNH01000729.1	16	9796	10041	-1	E																								0	False	T
QGNH01000729.1_17	QGNH01000729.1	QGNH01000729.1	17	10114	10494	1	E																								0	False	T
QGNH01000729.1_18	QGNH01000729.1	QGNH01000729.1	18	10680	13994	1	D			NP_046584.1	NP_046584.1 tail length tape measure protein [Bacillus phage SPBc2]	False	0.323	74.0	5.435e-12								Transglycosylase SLT domain [PF01464.23]	GH23	GH23 lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)	3.2.1.17,3.2.1.17_or_4.2.2.n1,4.2.2.n1	GH23.hmm	VOG00923	REFSEQ endolysin; Xu	Xu	0	False	T
