	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_041871_NC_041871_1	NC_041871	NC_041871	1	1	1983	-1	E															0
NC_041871_NC_041871_2	NC_041871	NC_041871	2	1980	2480	-1	C	K01449	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]								Cell Wall Hydrolase [PF07486.15]					0
NC_041871_NC_041871_3	NC_041871	NC_041871	3	2530	2910	-1	E															0
NC_041871_NC_041871_4	NC_041871	NC_041871	4	2921	4105	-1	D										ATPase family associated with various cellular activities (AAA) [PF07726.14]; AAA domain (dynein-related subfamily) [PF07728.17]					0
NC_041871_NC_041871_5	NC_041871	NC_041871	5	4105	4374	-1	E															0
NC_041871_NC_041871_6	NC_041871	NC_041871	6	4419	4799	-1	E															0
NC_041871_NC_041871_7	NC_041871	NC_041871	7	4802	5059	-1	E															0
NC_041871_NC_041871_8	NC_041871	NC_041871	8	5059	5415	-1	E															0
NC_041871_NC_041871_9	NC_041871	NC_041871	9	5429	5701	-1	E															0
NC_041871_NC_041871_10	NC_041871	NC_041871	10	5704	6603	-1	E															0
NC_041871_NC_041871_11	NC_041871	NC_041871	11	6683	7723	1	E															0
NC_041871_NC_041871_12	NC_041871	NC_041871	12	7757	9217	1	D										Putative metallopeptidase domain [PF13203.9]; VWA-like domain (DUF2201) [PF09967.12]					0
NC_041871_NC_041871_13	NC_041871	NC_041871	13	9233	9496	1	E															0
NC_041871_NC_041871_14	NC_041871	NC_041871	14	9496	9759	1	E															0
NC_041871_NC_041871_15	NC_041871	NC_041871	15	9759	10022	1	E															0
NC_041871_NC_041871_16	NC_041871	NC_041871	16	10024	10257	1	E															0
NC_041871_NC_041871_17	NC_041871	NC_041871	17	10274	10723	1	E															0
NC_041871_NC_041871_18	NC_041871	NC_041871	18	10720	10965	1	E															0
NC_041871_NC_041871_19	NC_041871	NC_041871	19	10968	11534	1	E															0
NC_041871_NC_041871_20	NC_041871	NC_041871	20	11592	11867	1	E															0
NC_041871_NC_041871_21	NC_041871	NC_041871	21	11870	12334	1	E															0
NC_041871_NC_041871_22	NC_041871	NC_041871	22	12340	12510	1	E															0
NC_041871_NC_041871_23	NC_041871	NC_041871	23	12561	12941	1	E															0
NC_041871_NC_041871_24	NC_041871	NC_041871	24	13103	13510	1	E															0
NC_041871_NC_041871_25	NC_041871	NC_041871	25	13514	13714	1	E															0
NC_041871_NC_041871_26	NC_041871	NC_041871	26	13762	19398	-1	D										Bacterial Ig-like domain (group 2) [PF02368.21]					0
NC_041871_NC_041871_27	NC_041871	NC_041871	27	19447	21192	-1	E															0
NC_041871_NC_041871_28	NC_041871	NC_041871	28	21202	21468	-1	E															0
NC_041871_NC_041871_29	NC_041871	NC_041871	29	21480	22523	-1	E															0
NC_041871_NC_041871_30	NC_041871	NC_041871	30	22613	22921	-1	E															0
NC_041871_NC_041871_31	NC_041871	NC_041871	31	22939	23523	-1	D										Caudovirales tail fibre assembly protein, lambda gpK [PF02413.20]					0
NC_041871_NC_041871_32	NC_041871	NC_041871	32	23538	24578	-1	E															0
NC_041871_NC_041871_33	NC_041871	NC_041871	33	24591	26663	-1	E															0
NC_041871_NC_041871_34	NC_041871	NC_041871	34	26663	27349	-1	E															0
NC_041871_NC_041871_35	NC_041871	NC_041871	35	27361	28851	-1	D										Baseplate J-like protein [PF04865.17]					0
NC_041871_NC_041871_36	NC_041871	NC_041871	36	28957	32556	-1	D										Domain of unknown function (DUF1983) [PF09327.14]; Putative phage tail protein [PF13550.9]; Fibronectin type III protein [PF12421.11]					0
NC_041871_NC_041871_37	NC_041871	NC_041871	37	32556	32981	-1	E															0
NC_041871_NC_041871_38	NC_041871	NC_041871	38	32981	33532	-1	E															0
NC_041871_NC_041871_39	NC_041871	NC_041871	39	33534	34124	-1	E															0
NC_041871_NC_041871_40	NC_041871	NC_041871	40	34224	38036	-1	D										Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]; Chaperone of endosialidase [PF13884.9]					0
NC_041871_NC_041871_41	NC_041871	NC_041871	41	38072	40669	-1	E															0
NC_041871_NC_041871_42	NC_041871	NC_041871	42	40671	41339	-1	D										Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]					0
NC_041871_NC_041871_43	NC_041871	NC_041871	43	41349	42065	-1	E															0
NC_041871_NC_041871_44	NC_041871	NC_041871	44	42078	42755	-1	D										Phage protein Gp138 N-terminal domain [PF18352.4]					0
NC_041871_NC_041871_45	NC_041871	NC_041871	45	42755	43759	-1	E															0
NC_041871_NC_041871_46	NC_041871	NC_041871	46	43759	44139	-1	E															0
NC_041871_NC_041871_47	NC_041871	NC_041871	47	44152	45036	-1	E															0
NC_041871_NC_041871_48	NC_041871	NC_041871	48	45142	47478	-1	D										Tape measure protein [PF20155.2]					0
NC_041871_NC_041871_49	NC_041871	NC_041871	49	47533	47781	-1	E															0
NC_041871_NC_041871_50	NC_041871	NC_041871	50	47793	48266	-1	E															0
NC_041871_NC_041871_51	NC_041871	NC_041871	51	48429	48902	-1	D										Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]					0
NC_041871_NC_041871_52	NC_041871	NC_041871	52	48913	50289	-1	D										Protein of unknown function (DUF3383) [PF11863.11]					0
NC_041871_NC_041871_53	NC_041871	NC_041871	53	50362	50913	-1	E															0
NC_041871_NC_041871_54	NC_041871	NC_041871	54	50913	51338	-1	E															0
NC_041871_NC_041871_55	NC_041871	NC_041871	55	51355	51813	-1	E															0
NC_041871_NC_041871_56	NC_041871	NC_041871	56	51867	52487	-1	E															0
NC_041871_NC_041871_57	NC_041871	NC_041871	57	52547	53392	-1	E															0
NC_041871_NC_041871_58	NC_041871	NC_041871	58	53474	54481	-1	D										Phage major capsid protein E [PF03864.18]					0
NC_041871_NC_041871_59	NC_041871	NC_041871	59	54530	54919	-1	E															0
NC_041871_NC_041871_60	NC_041871	NC_041871	60	54940	55917	-1	E															0
NC_041871_NC_041871_61	NC_041871	NC_041871	61	55917	56336	-1	D										Putative phage serine protease XkdF [PF14550.9]					0
NC_041871_NC_041871_62	NC_041871	NC_041871	62	56404	57960	-1	E															0
NC_041871_NC_041871_63	NC_041871	NC_041871	63	58063	59610	-1	D										Terminase RNaseH-like domain [PF17289.5]; Phage terminase large subunit [PF04466.16]					0
NC_041871_NC_041871_64	NC_041871	NC_041871	64	59610	59897	-1	E															0
NC_041871_NC_041871_65	NC_041871	NC_041871	65	59894	60292	-1	E															0
NC_041871_NC_041871_66	NC_041871	NC_041871	66	60398	60667	-1	E															0
NC_041871_NC_041871_67	NC_041871	NC_041871	67	61623	61961	-1	E															0
NC_041871_NC_041871_68	NC_041871	NC_041871	68	62306	62548	-1	E															0
NC_041871_NC_041871_69	NC_041871	NC_041871	69	62625	62813	-1	E															0
NC_041871_NC_041871_70	NC_041871	NC_041871	70	62824	63402	-1	E															0
NC_041871_NC_041871_71	NC_041871	NC_041871	71	64042	64392	-1	E															0
NC_041871_NC_041871_72	NC_041871	NC_041871	72	64440	64994	-1	D										Calcineurin-like phosphoesterase superfamily domain [PF12850.10]					0
NC_041871_NC_041871_73	NC_041871	NC_041871	73	65002	65412	-1	D										AAA domain [PF13671.9]; Zeta toxin [PF06414.15]					0
NC_041871_NC_041871_74	NC_041871	NC_041871	74	65513	66448	1	D										RNA ligase [PF09511.13]					0
NC_041871_NC_041871_75	NC_041871	NC_041871	75	66445	66795	1	D										Cyclic-phosphate processing Receiver domain [PF20274.1]					0
NC_041871_NC_041871_76	NC_041871	NC_041871	76	66804	67565	1	D										Sir2 family [PF02146.20]					0
NC_041871_NC_041871_77	NC_041871	NC_041871	77	67579	68292	1	E															0
NC_041871_NC_041871_78	NC_041871	NC_041871	78	68355	68663	1	E															0
NC_041871_NC_041871_79	NC_041871	NC_041871	79	68650	68919	1	E															0
NC_041871_NC_041871_80	NC_041871	NC_041871	80	68919	70202	1	D										DNA ligase OB-like domain [PF14743.9]; ATP dependent DNA ligase domain [PF01068.24]					0
NC_041871_NC_041871_81	NC_041871	NC_041871	81	70326	70796	1	D											GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)	4.2.2.n1	GH104.hmm	0
NC_041871_NC_041871_82	NC_041871	NC_041871	82	70860	71066	1	E															0
NC_041871_NC_041871_83	NC_041871	NC_041871	83	71076	71540	1	E															1
NC_041871_NC_041871_84	NC_041871	NC_041871	84	71533	71823	1	E															0
NC_041871_NC_041871_85	NC_041871	NC_041871	85	71883	72191	1	E															0
NC_041871_NC_041871_86	NC_041871	NC_041871	86	72184	73323	1	D										5'-3' exonuclease, N-terminal resolvase-like domain [PF02739.19]					0
NC_041871_NC_041871_87	NC_041871	NC_041871	87	73323	73646	1	E															0
NC_041871_NC_041871_88	NC_041871	NC_041871	88	73643	74272	1	E															0
NC_041871_NC_041871_89	NC_041871	NC_041871	89	74224	74829	1	D										Recombination endonuclease VII [PF02945.18]					0
NC_041871_NC_041871_90	NC_041871	NC_041871	90	74768	74989	1	E															0
NC_041871_NC_041871_91	NC_041871	NC_041871	91	75005	75985	1	E															0
