KF547926.1_5	9eea8d44b94f1e58b19fee2e98a351c8	326	Pfam	PF10102	Domain of unknown function (DUF2341)	47	141	6.9E-9	T	10-07-2023	IPR018765	Domain of unknown function DUF2341
KF547926.1_32	2b001e057b9f67e561cdc2f6eb91ed27	315	Gene3D	G3DSA:3.90.550.10	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	23	218	2.6E-7	T	10-07-2023	IPR029044	Nucleotide-diphospho-sugar transferases
KF547926.1_32	2b001e057b9f67e561cdc2f6eb91ed27	315	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	33	220	1.03E-10	T	10-07-2023	IPR029044	Nucleotide-diphospho-sugar transferases
KF547926.1_21	a1badc61a89fd9c5b1e4a1f814eef5cb	215	Gene3D	G3DSA:3.90.550.40	-	3	214	2.2E-49	T	10-07-2023	-	-
KF547926.1_15	cd1927d5960bb0a43d0021e0e7e0fb7b	173	SUPERFAMILY	SSF52833	Thioredoxin-like	52	104	1.42E-5	T	10-07-2023	IPR036249	Thioredoxin-like superfamily
KF547926.1_33	38f7818c18393ee5dd444bf0ae968630	82	MobiDBLite	mobidb-lite	consensus disorder prediction	37	52	-	T	10-07-2023	-	-
KF547926.1_33	38f7818c18393ee5dd444bf0ae968630	82	MobiDBLite	mobidb-lite	consensus disorder prediction	28	56	-	T	10-07-2023	-	-
KF547926.1_9	5b41311a99f930622f21359b0d393221	168	MobiDBLite	mobidb-lite	consensus disorder prediction	140	168	-	T	10-07-2023	-	-
KF547926.1_17	de86c359ff52e7687d980b9ca4b764b9	435	Coils	Coil	Coil	435	435	-	T	10-07-2023	-	-
KF547926.1_17	de86c359ff52e7687d980b9ca4b764b9	435	Coils	Coil	Coil	120	170	-	T	10-07-2023	-	-
KF547926.1_17	de86c359ff52e7687d980b9ca4b764b9	435	MobiDBLite	mobidb-lite	consensus disorder prediction	319	371	-	T	10-07-2023	-	-
KF547926.1_17	de86c359ff52e7687d980b9ca4b764b9	435	Coils	Coil	Coil	251	294	-	T	10-07-2023	-	-
KF547926.1_17	de86c359ff52e7687d980b9ca4b764b9	435	MobiDBLite	mobidb-lite	consensus disorder prediction	326	360	-	T	10-07-2023	-	-
KF547926.1_12	05b536635300f31c1d8741de3c31da34	368	Gene3D	G3DSA:1.10.3380.30	-	141	246	1.0E-7	T	10-07-2023	-	-
KF547926.1_12	05b536635300f31c1d8741de3c31da34	368	Gene3D	G3DSA:1.10.3380.30	-	247	311	8.5E-6	T	10-07-2023	-	-
KF547926.1_12	05b536635300f31c1d8741de3c31da34	368	ProSiteProfiles	PS51194	Superfamilies 1 and 2 helicase C-terminal domain profile.	1	143	12.963774	T	10-07-2023	IPR001650	Helicase, C-terminal
KF547926.1_12	05b536635300f31c1d8741de3c31da34	368	PANTHER	PTHR47961	DNA POLYMERASE THETA, PUTATIVE (AFU_ORTHOLOGUE AFUA_1G05260)-RELATED	23	225	6.8E-22	T	10-07-2023	-	-
KF547926.1_12	05b536635300f31c1d8741de3c31da34	368	Gene3D	G3DSA:3.40.50.300	-	4	140	1.9E-21	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
KF547926.1_12	05b536635300f31c1d8741de3c31da34	368	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	2	121	1.64E-19	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
KF547926.1_12	05b536635300f31c1d8741de3c31da34	368	SMART	SM00490	helicmild6	12	107	4.6E-11	T	10-07-2023	IPR001650	Helicase, C-terminal
KF547926.1_12	05b536635300f31c1d8741de3c31da34	368	Pfam	PF00271	Helicase conserved C-terminal domain	1	105	1.7E-10	T	10-07-2023	IPR001650	Helicase, C-terminal
KF547926.1_12	05b536635300f31c1d8741de3c31da34	368	SUPERFAMILY	SSF158702	Sec63 N-terminal domain-like	215	359	1.15E-16	T	10-07-2023	-	-
KF547926.1_14	b7345fd4e84c849e4deeb0cc26b61467	91	Coils	Coil	Coil	51	71	-	T	10-07-2023	-	-
