SMWK01000052.1_orf83678	54c47ba4fc7e3e4a42066c5407932503	734	Pfam	PF11739	Dicarboxylate transport	531	724	1.5E-41	T	24-06-2023	IPR021730	Dicarboxylate transport
SMWK01000031.1_orf78213	66487867a9a93a90ad37e67357cf9e11	140	MobiDBLite	mobidb-lite	consensus disorder prediction	119	140	-	T	24-06-2023	-	-
SMWK01000031.1_orf78213	66487867a9a93a90ad37e67357cf9e11	140	MobiDBLite	mobidb-lite	consensus disorder prediction	109	140	-	T	24-06-2023	-	-
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	Pfam	PF00106	short chain dehydrogenase	20	56	1.1E-6	T	24-06-2023	IPR002347	Short-chain dehydrogenase/reductase SDR
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	PANTHER	PTHR42879	3-OXOACYL-(ACYL-CARRIER-PROTEIN) REDUCTASE	14	278	1.2E-70	T	24-06-2023	-	-
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	PRINTS	PR00081	Glucose/ribitol dehydrogenase family signature	208	225	7.9E-38	T	24-06-2023	IPR002347	Short-chain dehydrogenase/reductase SDR
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	PRINTS	PR00081	Glucose/ribitol dehydrogenase family signature	161	177	7.9E-38	T	24-06-2023	IPR002347	Short-chain dehydrogenase/reductase SDR
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	PRINTS	PR00081	Glucose/ribitol dehydrogenase family signature	21	38	7.9E-38	T	24-06-2023	IPR002347	Short-chain dehydrogenase/reductase SDR
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	PRINTS	PR00081	Glucose/ribitol dehydrogenase family signature	187	206	7.9E-38	T	24-06-2023	IPR002347	Short-chain dehydrogenase/reductase SDR
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	PRINTS	PR00081	Glucose/ribitol dehydrogenase family signature	241	261	7.9E-38	T	24-06-2023	IPR002347	Short-chain dehydrogenase/reductase SDR
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	SMART	SM00822	This enzymatic domain is part of bacterial polyketide synthases and catalyses the first step in the reductive modification of the beta-carbonyl centres in the growing polyketide chain. It uses NADPH to reduce the keto group to a hydroxy group.	20	218	9.1E-5	T	24-06-2023	-	-
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	PRINTS	PR00080	Short-chain dehydrogenase/reductase (SDR) superfamily signature	167	175	6.7E-15	T	24-06-2023	IPR002347	Short-chain dehydrogenase/reductase SDR
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	PRINTS	PR00080	Short-chain dehydrogenase/reductase (SDR) superfamily signature	113	124	6.7E-15	T	24-06-2023	IPR002347	Short-chain dehydrogenase/reductase SDR
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	PRINTS	PR00080	Short-chain dehydrogenase/reductase (SDR) superfamily signature	187	206	6.7E-15	T	24-06-2023	IPR002347	Short-chain dehydrogenase/reductase SDR
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	Pfam	PF13561	Enoyl-(Acyl carrier protein) reductase	72	277	4.3E-55	T	24-06-2023	-	-
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	15	278	1.1E-79	T	24-06-2023	IPR036291	NAD(P)-binding domain superfamily
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	Gene3D	G3DSA:3.40.50.720	-	6	278	7.6E-83	T	24-06-2023	-	-
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	FunFam	G3DSA:3.40.50.720:FF:000084	Short-chain dehydrogenase reductase	12	280	3.2E-75	T	24-06-2023	-	-
SMWK01000111.1_orf14673	a6c9109a064ed31b82df450a9f81b134	286	ProSitePatterns	PS00061	Short-chain dehydrogenases/reductases family signature.	174	202	-	T	24-06-2023	IPR020904	Short-chain dehydrogenase/reductase, conserved site
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	Pfam	PF01433	Peptidase family M1 domain	236	450	1.9E-55	T	24-06-2023	IPR014782	Peptidase M1, membrane alanine aminopeptidase
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	Pfam	PF11940	Domain of unknown function (DUF3458) Ig-like fold	455	564	3.5E-19	T	24-06-2023	IPR035414	Peptidase M1, alanyl aminopeptidase, Ig-like fold
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	CDD	cd09600	M1_APN	20	452	0.0	T	24-06-2023	-	-
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	FunFam	G3DSA:1.10.390.10:FF:000002	Aminopeptidase N	291	454	1.5E-88	T	24-06-2023	-	-
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	PANTHER	PTHR46322	PUROMYCIN-SENSITIVE AMINOPEPTIDASE	10	895	0.0	T	24-06-2023	IPR012779	Peptidase M1, alanyl aminopeptidase
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	PRINTS	PR00756	Membrane alanyl dipeptidase (M1) family signature	269	279	4.2E-10	T	24-06-2023	IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	PRINTS	PR00756	Membrane alanyl dipeptidase (M1) family signature	305	320	4.2E-10	T	24-06-2023	IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	PRINTS	PR00756	Membrane alanyl dipeptidase (M1) family signature	138	153	4.2E-10	T	24-06-2023	IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	PRINTS	PR00756	Membrane alanyl dipeptidase (M1) family signature	324	336	4.2E-10	T	24-06-2023	IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	PRINTS	PR00756	Membrane alanyl dipeptidase (M1) family signature	187	202	4.2E-10	T	24-06-2023	IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	Gene3D	G3DSA:3.30.2010.30	-	207	290	1.1E-40	T	24-06-2023	-	-
