	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
GCF_020614375.1_NZ_CP085327.1_1	GCF_020614375.1	NZ_CP085327.1	1	2	2197	1	C	K13525	transitional endoplasmic reticulum ATPase	MER0411906	S01A	MER0411906 - subfamily S1A non-peptidase homologues (Nicotiana benthamiana) [S01.UNA]#S01A#{peptidase unit: 380-544}~source NbS00042000g0004~	False	0.503	110.0	5.958e-23	ATPase family associated with various cellular activities (AAA) [PF00004.32]; Cell division protein 48 (CDC48), N-terminal domain [PF02359.21]; Bacterial dnaA  protein [PF00308.21]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; AAA+ lid domain [PF17862.4]; AAA domain (Cdc48 subfamily) [PF07724.17]; AAA domain (dynein-related subfamily) [PF07728.17]; Cell division protein 48 (CDC48), domain 2 [PF02933.20]; IstB-like ATP binding protein [PF01695.20]; Magnesium chelatase, subunit ChlI [PF01078.24]; TIP49 P-loop domain [PF06068.16]; ATPase family associated with various cellular activities (AAA) [PF07726.14]; AAA domain [PF13173.9]					0
GCF_020614375.1_NZ_CP085327.1_2	GCF_020614375.1	NZ_CP085327.1	2	2242	2769	1	C	K05520	protease I [EC:3.5.1.124]	MER0220077	C56	MER0220077 - PfpI peptidase (Halalkalicoccus jeotgali) [C56.001]#C56#{peptidase unit: 27-159}~source YP_003737959~	False	0.678	182.0	2.599e-51	DJ-1/PfpI family [PF01965.27]; ThiJ/PfpI family-like [PF17124.8]					0
GCF_020614375.1_NZ_CP085327.1_3	GCF_020614375.1	NZ_CP085327.1	3	2812	4305	-1	D										Vitamin K-dependent gamma-carboxylase [PF05090.17]					0
GCF_020614375.1_NZ_CP085327.1_4	GCF_020614375.1	NZ_CP085327.1	4	4399	4650	1	D										Lrp/AsnC ligand binding domain [PF01037.24]					0
GCF_020614375.1_NZ_CP085327.1_5	GCF_020614375.1	NZ_CP085327.1	5	4651	5292	-1	C	K01304	pyroglutamyl-peptidase [EC:3.4.19.3]	MER0292568	C15	MER0292568 - pyroglutamyl-peptidase I (prokaryote) (Haladaptatus paucihalophilus) [C15.001]#C15#{peptidase unit: 3-173}~source ZP_08044897~	False	0.779	274.0	1.793e-82	Pyroglutamyl peptidase [PF01470.20]					0
GCF_020614375.1_NZ_CP085327.1_6	GCF_020614375.1	NZ_CP085327.1	6	5799	8636	-1	C	K03724	ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.13 5.6.2.4]								DEAD/H associated [PF08494.14]; DEAD/DEAH box helicase [PF00270.32]; Helicase conserved C-terminal domain [PF00271.34]; Helicase Lhr winged helix domain [PF19306.2]; Type III restriction enzyme, res subunit [PF04851.18]					0
GCF_020614375.1_NZ_CP085327.1_7	GCF_020614375.1	NZ_CP085327.1	7	8912	9652	-1	C	K06953	uncharacterized protein								Calcineurin-like phosphoesterase superfamily domain [PF12850.10]					0
GCF_020614375.1_NZ_CP085327.1_8	GCF_020614375.1	NZ_CP085327.1	8	9652	11295	-1	C	K09746	uncharacterized protein													0
GCF_020614375.1_NZ_CP085327.1_9	GCF_020614375.1	NZ_CP085327.1	9	11292	12563	-1	E															0
GCF_020614375.1_NZ_CP085327.1_10	GCF_020614375.1	NZ_CP085327.1	10	12588	13958	-1	D										Arylsulfotransferase (ASST) [PF14269.9]; Arylsulfotransferase (ASST) [PF05935.14]					0
GCF_020614375.1_NZ_CP085327.1_11	GCF_020614375.1	NZ_CP085327.1	11	14040	14672	1	C	K14654	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase [EC:1.1.1.302]								RibD C-terminal domain [PF01872.20]					0
GCF_020614375.1_NZ_CP085327.1_12	GCF_020614375.1	NZ_CP085327.1	12	14692	15726	-1	C	K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]								Semialdehyde dehydrogenase, NAD binding domain [PF01118.27]; Semialdehyde dehydrogenase, dimerisation domain [PF02774.21]					0
GCF_020614375.1_NZ_CP085327.1_13	GCF_020614375.1	NZ_CP085327.1	13	16080	16256	-1	C	K02962	small subunit ribosomal protein S17e								Ribosomal S17 [PF00833.21]					0
GCF_020614375.1_NZ_CP085327.1_14	GCF_020614375.1	NZ_CP085327.1	14	16341	16619	-1	C	K01512	acylphosphatase [EC:3.6.1.7]								Acylphosphatase [PF00708.21]					0
GCF_020614375.1_NZ_CP085327.1_15	GCF_020614375.1	NZ_CP085327.1	15	16664	16837	-1	E															0
GCF_020614375.1_NZ_CP085327.1_16	GCF_020614375.1	NZ_CP085327.1	16	16881	17762	-1	C	K03660	N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]								8-oxoguanine DNA glycosylase, N-terminal domain [PF07934.15]; HhH-GPD superfamily base excision DNA repair protein [PF00730.28]					0
GCF_020614375.1_NZ_CP085327.1_17	GCF_020614375.1	NZ_CP085327.1	17	17803	18840	-1	C	K01273	membrane dipeptidase [EC:3.4.13.19]	MER0341488	M19	MER0341488 - family M19 unassigned peptidases (Haladaptatus paucihalophilus) [M19.UPW]#M19#{peptidase unit: 5-341}~source ZP_08046221~	True	0.732	499.0	5.196e-158	Membrane dipeptidase (Peptidase family M19) [PF01244.24]					0
GCF_020614375.1_NZ_CP085327.1_18	GCF_020614375.1	NZ_CP085327.1	18	18946	19398	1	C	K09731	uncharacterized protein								Protein of unknown function (DUF555) [PF04475.15]					0
GCF_020614375.1_NZ_CP085327.1_19	GCF_020614375.1	NZ_CP085327.1	19	19575	19784	1	E															0
GCF_020614375.1_NZ_CP085327.1_20	GCF_020614375.1	NZ_CP085327.1	20	19821	20234	-1	E															0
GCF_020614375.1_NZ_CP085327.1_21	GCF_020614375.1	NZ_CP085327.1	21	20407	20541	1	E															0
GCF_020614375.1_NZ_CP085327.1_22	GCF_020614375.1	NZ_CP085327.1	22	20545	22611	-1	E															0
GCF_020614375.1_NZ_CP085327.1_23	GCF_020614375.1	NZ_CP085327.1	23	22720	23421	-1	D										Metallo-beta-lactamase superfamily [PF14597.9]					0
GCF_020614375.1_NZ_CP085327.1_24	GCF_020614375.1	NZ_CP085327.1	24	23469	24149	1	D										Glyoxalase-like domain [PF12681.10]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.28]					0
GCF_020614375.1_NZ_CP085327.1_25	GCF_020614375.1	NZ_CP085327.1	25	24146	24925	-1	D										Methanogenesis regulatory protein FilR1, middle domain [PF08350.13]					0
GCF_020614375.1_NZ_CP085327.1_26	GCF_020614375.1	NZ_CP085327.1	26	25168	25458	-1	D										Family of unknown function (DUF5779) [PF19091.3]					0
GCF_020614375.1_NZ_CP085327.1_27	GCF_020614375.1	NZ_CP085327.1	27	25500	25949	-1	C	K03594	bacterioferritin [EC:1.16.3.1]								Ferritin-like domain [PF00210.27]; Rubrerythrin [PF02915.20]					0
GCF_020614375.1_NZ_CP085327.1_28	GCF_020614375.1	NZ_CP085327.1	28	26472	26705	-1	E															0
GCF_020614375.1_NZ_CP085327.1_29	GCF_020614375.1	NZ_CP085327.1	29	26932	27087	1	E															0
GCF_020614375.1_NZ_CP085327.1_30	GCF_020614375.1	NZ_CP085327.1	30	27072	27668	-1	C	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]								Phosphatidylserine decarboxylase [PF02666.18]					0
GCF_020614375.1_NZ_CP085327.1_31	GCF_020614375.1	NZ_CP085327.1	31	27668	28114	-1	D										Family of unknown function (DUF5799) [PF19113.3]					0
GCF_020614375.1_NZ_CP085327.1_32	GCF_020614375.1	NZ_CP085327.1	32	28368	28667	1	E															0
