	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_035207.1_NC_035207.1_1	NC_035207.1	NC_035207.1	1	370	819	1	E											0
NC_035207.1_NC_035207.1_2	NC_035207.1	NC_035207.1	2	1012	1443	1	D										Adenovirus E1B 19K protein / small t-antigen [PF01691.19]	0
NC_035207.1_NC_035207.1_3	NC_035207.1	NC_035207.1	3	1383	2567	1	C	K25258	Mastadenovirus E1B protein								Adenovirus EB1 55K protein / large t-antigen [PF01696.20]	0
NC_035207.1_NC_035207.1_4	NC_035207.1	NC_035207.1	4	2740	3963	1	D										Adenovirus EB1 55K protein / large t-antigen [PF01696.20]	0
NC_035207.1_NC_035207.1_5	NC_035207.1	NC_035207.1	5	3901	5085	-1	C	K26010	Mastadenovirus packaging protein 1								Adenovirus IVa2 protein [PF02456.18]	0
NC_035207.1_NC_035207.1_6	NC_035207.1	NC_035207.1	6	5073	8381	-1	C	K21923	Adenovirus DNA polymerase [EC:2.7.7.7]								DNA polymerase type B, organellar and viral [PF03175.16]	0
NC_035207.1_NC_035207.1_7	NC_035207.1	NC_035207.1	7	8378	10147	-1	C	K26011	Mastadenovirus preterminal protein								Adenoviral DNA terminal protein [PF02459.18]	0
NC_035207.1_NC_035207.1_8	NC_035207.1	NC_035207.1	8	10223	11245	1	C	K26013	Mastadenovirus packaging protein 3								Adenoviral protein L1 52/55-kDa [PF03052.18]	0
NC_035207.1_NC_035207.1_9	NC_035207.1	NC_035207.1	9	11278	12891	1	C	K26001	Mastadenovirus pre-hexon-linking protein IIIa								Hexon-associated protein (IIIa) [PF02455.19]	0
NC_035207.1_NC_035207.1_10	NC_035207.1	NC_035207.1	10	12977	14398	1	C	K25066	Adenoviridae penton base protein								Adenovirus penton base protein [PF01686.20]	0
NC_035207.1_NC_035207.1_11	NC_035207.1	NC_035207.1	11	14408	14740	1	D										Adenoviral core protein VII [PF03228.17]	0
NC_035207.1_NC_035207.1_12	NC_035207.1	NC_035207.1	12	14842	15879	1	C	K26007	Mastadenovirus core-capsid bridging protein								Adenovirus minor core protein PV [PF03910.16]	0
NC_035207.1_NC_035207.1_13	NC_035207.1	NC_035207.1	13	16278	16937	1	C	K26004	Mastadenovirus pre-protein VI								Minor capsid protein VI [PF02993.17]	0
NC_035207.1_NC_035207.1_14	NC_035207.1	NC_035207.1	14	17008	19737	1	C	K21076	Adenoviridae hexon protein								Hexon, adenovirus major coat protein, N-terminal domain [PF01065.22]; Hexon, adenovirus major coat protein, C-terminal domain [PF03678.17]	0
NC_035207.1_NC_035207.1_15	NC_035207.1	NC_035207.1	15	19750	20370	1	C	K26012	Adenoviridae endopeptidase [EC:3.4.22.39]	MER1168186	C05	MER1168186 - family C5 unassigned peptidases () [C05.UPW]#C05#{peptidase unit: 1-204}~source YP_009389500~	True	436.0	1.273e-138	1.0	Adenovirus endoprotease [PF00770.21]	0
NC_035207.1_NC_035207.1_16	NC_035207.1	NC_035207.1	16	20452	21699	-1	C	K25256	Mastadenovirus DNA-binding protein								Viral DNA-binding protein, zinc binding domain [PF03728.16]; Viral DNA-binding protein, all alpha domain [PF02236.20]	0
NC_035207.1_NC_035207.1_17	NC_035207.1	NC_035207.1	17	21761	24052	1	D										Late 100kD protein [PF02438.19]	0
NC_035207.1_NC_035207.1_18	NC_035207.1	NC_035207.1	18	24494	25171	1	C	K26002	Mastadenovirus pre-hexon-linking protein VIII								Adenovirus hexon associated protein, protein VIII [PF01310.21]	0
NC_035207.1_NC_035207.1_19	NC_035207.1	NC_035207.1	19	25739	26497	-1	E											0
NC_035207.1_NC_035207.1_20	NC_035207.1	NC_035207.1	20	26600	28516	1	C	K19262	Mastadenovirus fiber protein								Adenoviral fibre protein (knob domain) [PF00541.20]	0
NC_035207.1_NC_035207.1_21	NC_035207.1	NC_035207.1	21	28769	29500	-1	C	K25259	Mastadenovirus E4 protein								Adenovirus early E4 34 kDa protein conserved region [PF04528.16]	0
NC_035207.1_NC_035207.1_22	NC_035207.1	NC_035207.1	22	29531	30838	-1	D										dUTPase [PF00692.22]	0
NC_035207.1_NC_035207.1_23	NC_035207.1	NC_035207.1	23	30848	31270	-1	E											0
NC_035207.1_NC_035207.1_24	NC_035207.1	NC_035207.1	24	31753	33096	1	E											0
NC_035207.1_NC_035207.1_25	NC_035207.1	NC_035207.1	25	33193	34506	1	E											0
