	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001313.1_1	QGNH01001313.1	QGNH01001313.1	1	3	266	1	E																								0	False	F
QGNH01001313.1_2	QGNH01001313.1	QGNH01001313.1	2	417	605	1	E																								0	False	F
QGNH01001313.1_3	QGNH01001313.1	QGNH01001313.1	3	768	1331	1	D																2OG-Fe(II) oxygenase superfamily [PF13640.9]; 2OG-Fe(II) oxygenase superfamily [PF13661.9]								0	False	MKF
QGNH01001313.1_4	QGNH01001313.1	QGNH01001313.1	4	1328	1495	1	E																								0	False	F
QGNH01001313.1_5	QGNH01001313.1	QGNH01001313.1	5	1476	1724	1	E																								0	False	F
QGNH01001313.1_6	QGNH01001313.1	QGNH01001313.1	6	1734	2117	1	E			YP_010597330.1	YP_010597330.1 pyrophosphatase [Pseudomonas phage KP1]	False	0.652	132.0	5.912e-35													VOG01667	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001313.1_7	QGNH01001313.1	QGNH01001313.1	7	2068	2973	1	D			YP_009172778.1	YP_009172778.1 methyltransferase [Ostreococcus mediterraneus virus 1]	False	0.247	61.0	6.765e-09								Methyltransferase FkbM domain [PF05050.15]					VOG00316	REFSEQ methyltransferase; Xu	Xu	0	False	F
QGNH01001313.1_8	QGNH01001313.1	QGNH01001313.1	8	3475	3711	1	E																								0	False	F
QGNH01001313.1_9	QGNH01001313.1	QGNH01001313.1	9	3877	4440	1	D																Transcription termination factor nusG [PF02357.22]								0	False	F
QGNH01001313.1_10	QGNH01001313.1	QGNH01001313.1	10	4403	4573	1	E																								0	False	F
QGNH01001313.1_11	QGNH01001313.1	QGNH01001313.1	11	4578	4967	1	E																								0	False	F
QGNH01001313.1_12	QGNH01001313.1	QGNH01001313.1	12	4964	5116	1	E																								0	False	F
QGNH01001313.1_13	QGNH01001313.1	QGNH01001313.1	13	5109	5561	1	E																								0	False	
QGNH01001313.1_14	QGNH01001313.1	QGNH01001313.1	14	5565	6416	1	E																								0	False	
QGNH01001313.1_15	QGNH01001313.1	QGNH01001313.1	15	6334	6639	-1	E																								0	False	
QGNH01001313.1_16	QGNH01001313.1	QGNH01001313.1	16	7071	7367	1	E																								0	False	
QGNH01001313.1_17	QGNH01001313.1	QGNH01001313.1	17	7400	7792	1	E																								0	False	
QGNH01001313.1_18	QGNH01001313.1	QGNH01001313.1	18	7811	9550	1	C	K06909	phage terminase large subunit	YP_007007123.1	YP_007007123.1 terminase large subunit [Bdellovibrio phage phi1422]	False	0.458	302.0	1.685e-86								Phage terminase large subunit [PF04466.16]; Terminase RNAseH like domain [PF17288.5]; Pretoxin HINT domain [PF07591.14]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
QGNH01001313.1_19	QGNH01001313.1	QGNH01001313.1	19	9565	9954	1	E			YP_007236760.1	YP_007236760.1 HNH endonuclease [Burkholderia phage BcepMigl]	False	0.33	67.0	1.867e-12																0	False	
QGNH01001313.1_20	QGNH01001313.1	QGNH01001313.1	20	9996	11126	1	E																								0	False	
QGNH01001313.1_21	QGNH01001313.1	QGNH01001313.1	21	11127	11519	1	E																								0	False	
QGNH01001313.1_22	QGNH01001313.1	QGNH01001313.1	22	11529	11864	1	E																								0	False	
QGNH01001313.1_23	QGNH01001313.1	QGNH01001313.1	23	11878	13698	1	C	K09961	uncharacterized protein	YP_010668099.1	YP_010668099.1 portal protein [Burkholderia phage Magia]	True	0.568	480.0	5.94e-147								Protein of unknown function (DUF1073) [PF06381.14]					VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	
QGNH01001313.1_24	QGNH01001313.1	QGNH01001313.1	24	13695	14009	1	E																								0	False	
QGNH01001313.1_25	QGNH01001313.1	QGNH01001313.1	25	14034	14363	1	E																								0	False	
QGNH01001313.1_26	QGNH01001313.1	QGNH01001313.1	26	14360	15127	1	D			YP_010668241.1	YP_010668241.1 head protein [Burkholderia phage BgManors32]	False	0.46	194.0	4.051e-54								Phage Mu protein F like protein [PF04233.17]								0	False	
QGNH01001313.1_27	QGNH01001313.1	QGNH01001313.1	27	15130	15333	1	E																								0	False	
QGNH01001313.1_28	QGNH01001313.1	QGNH01001313.1	28	15366	16085	1	E																								0	False	
QGNH01001313.1_29	QGNH01001313.1	QGNH01001313.1	29	16088	16717	1	C	K09960	uncharacterized protein	YP_010668238.1	YP_010668238.1 head maturation protease [Burkholderia phage BgManors32]	False	0.481	180.0	3.873e-50								Uncharacterized protein conserved in bacteria (DUF2213) [PF09979.12]					VOG02460	sp|P44180|Y1405_HAEIN Uncharacterized protein HI_1405; Xu	Xu	0	False	
QGNH01001313.1_30	QGNH01001313.1	QGNH01001313.1	30	16726	17496	1	E			YP_010668238.1	YP_010668238.1 head maturation protease [Burkholderia phage BgManors32]	False	0.334	78.0	1.459e-14																0	False	
