CP011213.1_730	b9eeac55da2af1ccf8042d6f8be0d46c	130	Coils	Coil	Coil	79	106	-	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	Gene3D	G3DSA:2.70.150.10	-	226	342	1.9E-40	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	ProSiteProfiles	PS50846	Heavy-metal-associated domain profile.	6	72	22.241365	T	10-07-2023	IPR006121	Heavy metal-associated domain, HMA
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	TIGRFAM	TIGR01525	ATPase-IB_hvy: heavy metal translocating P-type ATPase	163	742	2.7E-201	T	10-07-2023	IPR027256	P-type ATPase, subfamily IB
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	Pfam	PF00122	E1-E2 ATPase	239	419	1.4E-59	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	Coils	Coil	Coil	524	544	-	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	Gene3D	G3DSA:3.30.70.100	-	1	77	9.2E-21	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	SUPERFAMILY	SSF81665	Calcium ATPase, transmembrane domain M	206	775	1.57E-14	T	10-07-2023	IPR023298	P-type ATPase, transmembrane domain superfamily
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	SUPERFAMILY	SSF55008	HMA, heavy metal-associated domain	3	75	1.83E-20	T	10-07-2023	IPR036163	Heavy metal-associated domain superfamily
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	TIGRFAM	TIGR01511	ATPase-IB1_Cu: copper-translocating P-type ATPase	144	743	6.7E-192	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	Gene3D	G3DSA:3.40.1110.10	-	450	567	5.2E-92	T	10-07-2023	IPR023299	P-type ATPase, cytoplasmic domain N
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	SFLD	SFLDS00003	Haloacid Dehalogenase	421	686	0.0	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	FunFam	G3DSA:2.70.150.10:FF:000020	Copper-exporting P-type ATPase A	226	342	3.6E-45	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	ProSitePatterns	PS01047	Heavy-metal-associated domain.	11	40	-	T	10-07-2023	IPR017969	Heavy-metal-associated, conserved site
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	657	669	1.4E-27	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	581	591	1.4E-27	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	439	453	1.4E-27	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	634	653	1.4E-27	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	288	302	1.4E-27	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	559	570	1.4E-27	T	10-07-2023	-	-
CP011213.1_807	d0c87309f2e04d858a0828c1a45bc49d	781	TIGRFAM	TIGR01494	ATPase_P-type: HAD ATPase, P-type, family IC	211	710	3.5E-100	T	10-07-2023	IPR001757	P-type ATPase
