	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001862.1_1	QGNH01001862.1	QGNH01001862.1	1	3	1154	1	E																								0	False	F
QGNH01001862.1_2	QGNH01001862.1	QGNH01001862.1	2	1423	5769	1	E																								0	False	F
QGNH01001862.1_3	QGNH01001862.1	QGNH01001862.1	3	6164	6454	-1	E																								0	False	
QGNH01001862.1_4	QGNH01001862.1	QGNH01001862.1	4	6531	7073	1	E																								0	False	
QGNH01001862.1_5	QGNH01001862.1	QGNH01001862.1	5	7625	7993	1	E																								0	False	
QGNH01001862.1_6	QGNH01001862.1	QGNH01001862.1	6	7993	8343	1	E																								0	False	
QGNH01001862.1_7	QGNH01001862.1	QGNH01001862.1	7	8390	9007	1	E																								0	False	
QGNH01001862.1_8	QGNH01001862.1	QGNH01001862.1	8	9091	10185	1	D																Pectate lyase superfamily protein [PF12708.10]								0	False	
QGNH01001862.1_9	QGNH01001862.1	QGNH01001862.1	9	10290	11285	-1	D			YP_009012398.1	YP_009012398.1 nucleotide-sugar epimerase [Escherichia phage phi92]	False	0.357	193.0	8.523e-53								GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; Polysaccharide biosynthesis protein [PF02719.18]; Male sterility protein [PF07993.15]; NmrA-like family [PF05368.16]					VOG00055	sp|Q9SYM5|RHM1_ARATH Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1; Xh	Xh	0	False	MK
QGNH01001862.1_10	QGNH01001862.1	QGNH01001862.1	10	11613	11900	1	E																								0	False	
QGNH01001862.1_11	QGNH01001862.1	QGNH01001862.1	11	11875	12582	1	C	K06217	phosphate starvation-inducible protein PhoH and related proteins	YP_009010160.1	YP_009010160.1 PhoH-like phosphate starvation-inducible [Erwinia phage PhiEaH1]	False	0.412	157.0	6.202000000000001e-42								PhoH-like protein [PF02562.19]; AAA domain [PF13604.9]					VOG02569	sp|P46343|PHOL_BACSU PhoH-like protein; Xh	Xh	0	False	MK
QGNH01001862.1_12	QGNH01001862.1	QGNH01001862.1	12	12596	13381	1	E																								0	False	
QGNH01001862.1_13	QGNH01001862.1	QGNH01001862.1	13	13470	13637	1	E																								0	False	
QGNH01001862.1_14	QGNH01001862.1	QGNH01001862.1	14	13738	14079	1	E																								0	False	
QGNH01001862.1_15	QGNH01001862.1	QGNH01001862.1	15	14498	14668	1	E																								0	False	
QGNH01001862.1_16	QGNH01001862.1	QGNH01001862.1	16	14678	15001	1	E																								0	False	
QGNH01001862.1_17	QGNH01001862.1	QGNH01001862.1	17	15015	15275	1	E																								0	False	
QGNH01001862.1_18	QGNH01001862.1	QGNH01001862.1	18	15802	16488	1	E																								0	False	
QGNH01001862.1_19	QGNH01001862.1	QGNH01001862.1	19	16488	19628	1	E																								0	False	
QGNH01001862.1_20	QGNH01001862.1	QGNH01001862.1	20	19638	20114	1	D																Dual specificity phosphatase, catalytic domain [PF00782.23]					VOG00099	sp|A0A7H0DN78|DUSP_MONPV Dual specificity protein phosphatase OPG106; XhXpXs	Xh;Xs;Xp	0	False	V
QGNH01001862.1_21	QGNH01001862.1	QGNH01001862.1	21	20218	20979	1	D			YP_007354306.1	YP_007354306.1 peptidase [Acanthamoeba polyphaga moumouvirus]	False	0.442	216.0	8.813e-62	MER0031232	C01A	MER0031232 - xylellain (Pseudomonas syringae) [C01.128]#C01A#{peptidase unit: 8-253}~source EGH78540~	False	0.609	294.0	1.506e-88	Papain family cysteine protease [PF00112.26]; Peptidase C1-like family [PF03051.18]					VOG04780	REFSEQ hypothetical protein; Xu	Xu	0	False	P
QGNH01001862.1_22	QGNH01001862.1	QGNH01001862.1	22	21069	21602	-1	E			YP_010107066.1	YP_010107066.1 endonuclease [Agrobacterium phage OLIVR1]	False	0.44	81.0	8.973e-17																0	False	
QGNH01001862.1_23	QGNH01001862.1	QGNH01001862.1	23	21654	23111	1	D			YP_003987051.1	YP_003987051.1 putative ATP-dependent RNA helicase [Acanthamoeba polyphaga mimivirus]	False	0.239	145.0	5.84e-35								SNF2-related domain [PF00176.26]; Helicase conserved C-terminal domain [PF00271.34]; Type III restriction enzyme, res subunit [PF04851.18]								0	False	
QGNH01001862.1_24	QGNH01001862.1	QGNH01001862.1	24	23113	24828	1	D																DNA polymerase Ligase (LigD) [PF13298.9]					VOG00242	sp|P00970|DNLI_BPT4 DNA ligase; XhXr	Xh;Xr	0	False	V
QGNH01001862.1_25	QGNH01001862.1	QGNH01001862.1	25	24831	25460	1	E																								0	False	
QGNH01001862.1_26	QGNH01001862.1	QGNH01001862.1	26	25438	26529	1	E																								0	False	
QGNH01001862.1_27	QGNH01001862.1	QGNH01001862.1	27	26629	26778	1	E																								0	False	
QGNH01001862.1_28	QGNH01001862.1	QGNH01001862.1	28	26780	26914	1	E																								0	False	
QGNH01001862.1_29	QGNH01001862.1	QGNH01001862.1	29	26922	27659	1	E																								0	False	
QGNH01001862.1_30	QGNH01001862.1	QGNH01001862.1	30	27656	27856	1	E																								0	False	
QGNH01001862.1_31	QGNH01001862.1	QGNH01001862.1	31	27958	28833	1	E																								0	False	
QGNH01001862.1_32	QGNH01001862.1	QGNH01001862.1	32	28922	29263	1	E																								0	False	
QGNH01001862.1_33	QGNH01001862.1	QGNH01001862.1	33	29292	29750	1	E																								0	False	
QGNH01001862.1_34	QGNH01001862.1	QGNH01001862.1	34	29754	30215	1	E																								0	False	
QGNH01001862.1_35	QGNH01001862.1	QGNH01001862.1	35	30202	31158	1	E																								0	False	
QGNH01001862.1_36	QGNH01001862.1	QGNH01001862.1	36	31177	36684	1	D			YP_004894390.1	YP_004894390.1 RNA polymerase beta subunit [Megavirus chiliensis]	False	0.263	130.0	1.533e-28	MER0180392	N11	MER0180392 - family N11 unassigned peptide lyases (Methanoculleus marisnigri) [N11.UPW]#N11#{peptidase unit: 415-773}~source ABN57178~	False	0.329	188.0	6.0699999999999994e-46	RNA polymerase Rpb2, domain 6 [PF00562.31]; RNA polymerase Rpb1, domain 2 [PF00623.23]; RNA polymerase beta subunit [PF04563.18]								0	False	P
