	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
GCA_001441135.1_HE580238.1_1	GCA_001441135.1	HE580238.1	1	1	252	1	E											0
GCA_001441135.1_HE580238.1_2	GCA_001441135.1	HE580238.1	2	391	780	1	E											0
GCA_001441135.1_HE580238.1_3	GCA_001441135.1	HE580238.1	3	781	1761	1	E											0
GCA_001441135.1_HE580238.1_4	GCA_001441135.1	HE580238.1	4	1820	2485	-1	D			MER0883197	M48X	MER0883197 - family M48 unassigned peptidases (Aeropyrum pernix) [M48.UPW]#M48X#{peptidase unit: 24-193}~source Q9YDU4~	False	323.0	3.761e-99	0.903	Peptidase family M48 [PF01435.21]	0
GCA_001441135.1_HE580238.1_5	GCA_001441135.1	HE580238.1	5	2951	3877	1	E											0
GCA_001441135.1_HE580238.1_6	GCA_001441135.1	HE580238.1	6	4431	5066	-1	E											0
GCA_001441135.1_HE580238.1_7	GCA_001441135.1	HE580238.1	7	5576	5851	1	E											0
GCA_001441135.1_HE580238.1_8	GCA_001441135.1	HE580238.1	8	5829	6308	1	E											0
GCA_001441135.1_HE580238.1_9	GCA_001441135.1	HE580238.1	9	6317	7273	1	E											0
GCA_001441135.1_HE580238.1_10	GCA_001441135.1	HE580238.1	10	7277	7681	1	E											0
GCA_001441135.1_HE580238.1_11	GCA_001441135.1	HE580238.1	11	7668	8540	1	E											0
GCA_001441135.1_HE580238.1_12	GCA_001441135.1	HE580238.1	12	8679	9344	1	E											0
GCA_001441135.1_HE580238.1_13	GCA_001441135.1	HE580238.1	13	9371	10087	1	E											0
GCA_001441135.1_HE580238.1_14	GCA_001441135.1	HE580238.1	14	10103	11368	1	E											0
GCA_001441135.1_HE580238.1_15	GCA_001441135.1	HE580238.1	15	11393	11683	1	E											0
GCA_001441135.1_HE580238.1_16	GCA_001441135.1	HE580238.1	16	11696	14476	1	D										Glycosyl hydrolase family 76 [PF03663.17]	0
GCA_001441135.1_HE580238.1_17	GCA_001441135.1	HE580238.1	17	14511	14882	1	E											0
GCA_001441135.1_HE580238.1_18	GCA_001441135.1	HE580238.1	18	14879	15172	1	E											0
GCA_001441135.1_HE580238.1_19	GCA_001441135.1	HE580238.1	19	15203	15520	1	E											0
GCA_001441135.1_HE580238.1_20	GCA_001441135.1	HE580238.1	20	15548	15814	1	E											0
GCA_001441135.1_HE580238.1_21	GCA_001441135.1	HE580238.1	21	15865	17139	1	E											0
GCA_001441135.1_HE580238.1_22	GCA_001441135.1	HE580238.1	22	17136	17360	1	E											0
GCA_001441135.1_HE580238.1_23	GCA_001441135.1	HE580238.1	23	17382	18230	1	E											0
GCA_001441135.1_HE580238.1_24	GCA_001441135.1	HE580238.1	24	18318	19922	1	E											0
GCA_001441135.1_HE580238.1_25	GCA_001441135.1	HE580238.1	25	20043	20165	1	E											0
GCA_001441135.1_HE580238.1_26	GCA_001441135.1	HE580238.1	26	20196	20702	1	E											0
GCA_001441135.1_HE580238.1_27	GCA_001441135.1	HE580238.1	27	20683	21699	1	E											0
GCA_001441135.1_HE580238.1_28	GCA_001441135.1	HE580238.1	28	21776	22096	1	E											0
GCA_001441135.1_HE580238.1_29	GCA_001441135.1	HE580238.1	29	22141	22548	1	E											0
GCA_001441135.1_HE580238.1_30	GCA_001441135.1	HE580238.1	30	22584	22913	1	E											0
GCA_001441135.1_HE580238.1_31	GCA_001441135.1	HE580238.1	31	23007	23984	1	E											0
GCA_001441135.1_HE580238.1_32	GCA_001441135.1	HE580238.1	32	23975	24232	1	E											0
GCA_001441135.1_HE580238.1_33	GCA_001441135.1	HE580238.1	33	24413	24589	1	E											0
GCA_001441135.1_HE580238.1_34	GCA_001441135.1	HE580238.1	34	24762	25229	1	E											0
GCA_001441135.1_HE580238.1_35	GCA_001441135.1	HE580238.1	35	25193	26236	-1	E											0
GCA_001441135.1_HE580238.1_36	GCA_001441135.1	HE580238.1	36	26716	26916	1	E											0
GCA_001441135.1_HE580238.1_37	GCA_001441135.1	HE580238.1	37	26913	28322	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]								C-5 cytosine-specific DNA methylase [PF00145.20]	0
GCA_001441135.1_HE580238.1_38	GCA_001441135.1	HE580238.1	38	28324	29376	-1	E											0
GCA_001441135.1_HE580238.1_39	GCA_001441135.1	HE580238.1	39	29461	30132	1	C	K03575	A/G-specific adenine glycosylase [EC:3.2.2.31]								HhH-GPD superfamily base excision DNA repair protein [PF00730.28]	0
GCA_001441135.1_HE580238.1_40	GCA_001441135.1	HE580238.1	40	30179	30664	1	E											0
GCA_001441135.1_HE580238.1_41	GCA_001441135.1	HE580238.1	41	30670	32103	1	E											0
GCA_001441135.1_HE580238.1_42	GCA_001441135.1	HE580238.1	42	32106	33710	1	E											0
GCA_001441135.1_HE580238.1_43	GCA_001441135.1	HE580238.1	43	33779	34063	-1	E											0
GCA_001441135.1_HE580238.1_44	GCA_001441135.1	HE580238.1	44	34206	34448	1	D										Winged helix DNA-binding domain [PF13463.9]; Winged helix-turn-helix DNA-binding [PF13412.9]	0
GCA_001441135.1_HE580238.1_45	GCA_001441135.1	HE580238.1	45	34455	34706	1	E											0
GCA_001441135.1_HE580238.1_46	GCA_001441135.1	HE580238.1	46	34706	35134	1	E											0
GCA_001441135.1_HE580238.1_47	GCA_001441135.1	HE580238.1	47	35151	35381	1	E											0
GCA_001441135.1_HE580238.1_48	GCA_001441135.1	HE580238.1	48	35394	35675	1	E											0
GCA_001441135.1_HE580238.1_49	GCA_001441135.1	HE580238.1	49	35663	35893	1	E											0
GCA_001441135.1_HE580238.1_50	GCA_001441135.1	HE580238.1	50	35907	36233	1	E											0
GCA_001441135.1_HE580238.1_51	GCA_001441135.1	HE580238.1	51	36239	36484	1	E											0
GCA_001441135.1_HE580238.1_52	GCA_001441135.1	HE580238.1	52	36488	38047	1	D										Phage integrase family [PF00589.25]	0
