	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_044946.1_1	NC_044946.1	NC_044946.1	1	66	296	-1	E			YP_009702727.1	YP_009702727.1 MGF 360-2L [African swine fever virus]	False	0.812	119.0	9.904e-32												0	False	F
NC_044946.1_2	NC_044946.1	NC_044946.1	2	446	970	1	E			YP_009702893.1	YP_009702893.1 BA71V-KP177R [African swine fever virus]	True	1.0	372.0	1.247e-117									VOG36423	sp|P0C9W0|P22_ASFK5 Inner membrane protein p22; XhXs	Xs;Xh	0	False	VF
NC_044946.1_3	NC_044946.1	NC_044946.1	3	1110	1361	-1	E			YP_009702894.1	YP_009702894.1 BA71V-L83L [African swine fever virus]	False	1.0	181.0	3.6539999999999995e-53									VOG36419	sp|P0CAK6|L83L_ASFK5 Protein L83L; Xh	Xh	0	False	F
NC_044946.1_4	NC_044946.1	NC_044946.1	4	1444	1722	-1	E			YP_009702895.1	YP_009702895.1 BA71V-L60L [African swine fever virus]	False	0.867	168.0	2.671e-48									VOG36422	REFSEQ pL60L; Xu	Xu	0	False	F
NC_044946.1_5	NC_044946.1	NC_044946.1	5	1905	2966	-1	D			YP_009702896.1	YP_009702896.1 MGF 360-3L [African swine fever virus]	True	0.991	741.0	1.0479999999999999e-241								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	F
NC_044946.1_6	NC_044946.1	NC_044946.1	6	3160	3975	-1	D			YP_009702897.1	YP_009702897.1 MGF 110-1L [African swine fever virus]	True	1.0	604.0	6.906999999999999e-196								Viral family 110 [PF01639.20]	VOG36421	sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L; Xu	Xu	0	False	F
NC_044946.1_7	NC_044946.1	NC_044946.1	7	4118	4459	-1	D			YP_009702898.1	YP_009702898.1 MGF 110-2L [African swine fever virus]	False	1.0	245.0	9.233e-75								Viral family 110 [PF01639.20]	VOG36421	sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L; Xu	Xu	0	False	F
NC_044946.1_8	NC_044946.1	NC_044946.1	8	4558	4734	-1	D			YP_009702899.1	YP_009702899.1 MGF 110-3L [African swine fever virus]	False	1.0	140.0	2.8e-39								Viral family 110 [PF01639.20]				0	False	F
NC_044946.1_9	NC_044946.1	NC_044946.1	9	5282	5656	-1	D			YP_009702900.1	YP_009702900.1 MGF 110-4L [African swine fever virus]	False	1.0	284.0	7.797999999999999e-88								Viral family 110 [PF01639.20]	VOG36421	sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L; Xu	Xu	0	False	
NC_044946.1_10	NC_044946.1	NC_044946.1	10	8786	9154	1	E			YP_009702904.1	YP_009702904.1 MGF 100-1R [African swine fever virus]	False	0.981	255.0	7.297000000000001e-78									VOG36492	sp|P0C9F5|1002L_ASFM2 Protein MGF 100-2L; Xh	Xh	0	False	
NC_044946.1_11	NC_044946.1	NC_044946.1	11	9204	9296	1	E																				0	False	
NC_044946.1_12	NC_044946.1	NC_044946.1	12	9277	9843	-1	D			YP_009702905.1	YP_009702905.1 MGF 110-9L [African swine fever virus]	True	1.0	409.0	6.036e-130								Viral family 110 [PF01639.20]				0	False	
NC_044946.1_13	NC_044946.1	NC_044946.1	13	10392	10544	-1	D			YP_009702906.1	YP_009702906.1 MGF 110-11L(FRAG-1) [African swine fever virus]	False	1.0	115.0	1.19e-30								Viral family 110 [PF01639.20]				0	False	
NC_044946.1_14	NC_044946.1	NC_044946.1	14	11446	11961	-1	D			YP_009702908.1	YP_009702908.1 MGF 110-12L [African swine fever virus]	True	0.998	363.0	2.101e-114								Viral family 110 [PF01639.20]	VOG36421	sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L; Xu	Xu	0	False	
NC_044946.1_15	NC_044946.1	NC_044946.1	15	12047	12520	-1	D			YP_009702909.1	YP_009702909.1 MGF 110-13L [African swine fever virus]	False	1.0	347.0	3.253e-109								Viral family 110 [PF01639.20]	VOG36421	sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L; Xu	Xu	0	False	
