	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_027329.1_NC_027329.1_1	NC_027329.1	NC_027329.1	1	1	2292	1	E															0
NC_027329.1_NC_027329.1_2	NC_027329.1	NC_027329.1	2	2372	3481	1	E															0
NC_027329.1_NC_027329.1_3	NC_027329.1	NC_027329.1	3	3582	4130	1	E															0
NC_027329.1_NC_027329.1_4	NC_027329.1	NC_027329.1	4	4108	4803	1	E															0
NC_027329.1_NC_027329.1_5	NC_027329.1	NC_027329.1	5	4814	5278	1	E															0
NC_027329.1_NC_027329.1_6	NC_027329.1	NC_027329.1	6	5330	6214	1	C	K06223	DNA adenine methylase [EC:2.1.1.72]								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]					0
NC_027329.1_NC_027329.1_7	NC_027329.1	NC_027329.1	7	6226	7038	1	E															0
NC_027329.1_NC_027329.1_8	NC_027329.1	NC_027329.1	8	7085	7432	1	E															0
NC_027329.1_NC_027329.1_9	NC_027329.1	NC_027329.1	9	7374	7595	1	E															0
NC_027329.1_NC_027329.1_10	NC_027329.1	NC_027329.1	10	7592	7861	1	E															0
NC_027329.1_NC_027329.1_11	NC_027329.1	NC_027329.1	11	7864	8190	1	E															0
NC_027329.1_NC_027329.1_12	NC_027329.1	NC_027329.1	12	8165	8392	1	E															0
NC_027329.1_NC_027329.1_13	NC_027329.1	NC_027329.1	13	8385	8585	1	E															0
NC_027329.1_NC_027329.1_14	NC_027329.1	NC_027329.1	14	8586	9371	1	D										Macro domain [PF01661.24]					0
NC_027329.1_NC_027329.1_15	NC_027329.1	NC_027329.1	15	9894	10085	1	E															0
NC_027329.1_NC_027329.1_16	NC_027329.1	NC_027329.1	16	10082	10288	1	E															0
NC_027329.1_NC_027329.1_17	NC_027329.1	NC_027329.1	17	10379	10759	1	E															0
NC_027329.1_NC_027329.1_18	NC_027329.1	NC_027329.1	18	10848	11138	1	E															0
NC_027329.1_NC_027329.1_19	NC_027329.1	NC_027329.1	19	11229	11525	1	E															0
NC_027329.1_NC_027329.1_20	NC_027329.1	NC_027329.1	20	11519	11851	1	E															0
NC_027329.1_NC_027329.1_21	NC_027329.1	NC_027329.1	21	11940	12212	1	E															0
NC_027329.1_NC_027329.1_22	NC_027329.1	NC_027329.1	22	12298	12702	1	E															0
NC_027329.1_NC_027329.1_23	NC_027329.1	NC_027329.1	23	12894	13097	1	E															0
NC_027329.1_NC_027329.1_24	NC_027329.1	NC_027329.1	24	13183	13725	1	E															0
NC_027329.1_NC_027329.1_25	NC_027329.1	NC_027329.1	25	13792	14025	1	E															0
NC_027329.1_NC_027329.1_26	NC_027329.1	NC_027329.1	26	14310	14651	1	E															0
NC_027329.1_NC_027329.1_27	NC_027329.1	NC_027329.1	27	14874	15404	1	E															0
NC_027329.1_NC_027329.1_28	NC_027329.1	NC_027329.1	28	15471	15719	1	E															0
NC_027329.1_NC_027329.1_29	NC_027329.1	NC_027329.1	29	17406	17963	-1	E															0
NC_027329.1_NC_027329.1_30	NC_027329.1	NC_027329.1	30	17968	18432	-1	E															0
NC_027329.1_NC_027329.1_31	NC_027329.1	NC_027329.1	31	18422	18850	-1	E															0
NC_027329.1_NC_027329.1_32	NC_027329.1	NC_027329.1	32	18854	19126	-1	E															0
NC_027329.1_NC_027329.1_33	NC_027329.1	NC_027329.1	33	19180	19404	-1	E															0
NC_027329.1_NC_027329.1_34	NC_027329.1	NC_027329.1	34	19481	19984	-1	E															0
NC_027329.1_NC_027329.1_35	NC_027329.1	NC_027329.1	35	19981	20214	-1	E															0
NC_027329.1_NC_027329.1_36	NC_027329.1	NC_027329.1	36	20283	20864	-1	E															0
NC_027329.1_NC_027329.1_37	NC_027329.1	NC_027329.1	37	20864	21208	-1	E															0
NC_027329.1_NC_027329.1_38	NC_027329.1	NC_027329.1	38	21201	21494	-1	E															0
NC_027329.1_NC_027329.1_39	NC_027329.1	NC_027329.1	39	21494	21904	-1	E															0
NC_027329.1_NC_027329.1_40	NC_027329.1	NC_027329.1	40	21897	22295	-1	E															0
NC_027329.1_NC_027329.1_41	NC_027329.1	NC_027329.1	41	22347	22811	-1	C	K01185	lysozyme [EC:3.2.1.17]								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_027329.1_NC_027329.1_42	NC_027329.1	NC_027329.1	42	22811	23443	-1	D										Immunoglobulin domain [PF13895.9]; Immunoglobulin I-set domain [PF07679.19]; Immunoglobulin domain [PF13927.9]					0
NC_027329.1_NC_027329.1_43	NC_027329.1	NC_027329.1	43	23636	24226	-1	E															0
NC_027329.1_NC_027329.1_44	NC_027329.1	NC_027329.1	44	24846	25217	1	D										Family of unknown function (DUF5681) [PF18932.3]					0
NC_027329.1_NC_027329.1_45	NC_027329.1	NC_027329.1	45	25299	26714	1	D										Domain of unknown function (DUF2828) [PF11443.11]					0
NC_027329.1_NC_027329.1_46	NC_027329.1	NC_027329.1	46	29853	30410	1	E															0
NC_027329.1_NC_027329.1_47	NC_027329.1	NC_027329.1	47	30799	31596	1	E															0
NC_027329.1_NC_027329.1_48	NC_027329.1	NC_027329.1	48	31993	32193	1	E															0
NC_027329.1_NC_027329.1_49	NC_027329.1	NC_027329.1	49	32215	33816	1	D										Terminase RNaseH-like domain [PF17289.5]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]					0
NC_027329.1_NC_027329.1_50	NC_027329.1	NC_027329.1	50	33833	35299	1	E															0
NC_027329.1_NC_027329.1_51	NC_027329.1	NC_027329.1	51	35299	35799	1	E															0
NC_027329.1_NC_027329.1_52	NC_027329.1	NC_027329.1	52	35799	36131	1	E															0
NC_027329.1_NC_027329.1_53	NC_027329.1	NC_027329.1	53	36143	37489	1	C	K04773	protease IV [EC:3.4.21.-]	MER0320705	S49B	MER0320705 - protein C (bacteriophage lambda) () [S49.003]#S49B#{peptidase unit: 96-292}~source ACZ55514~	True	383.0	9.307e-116	0.923	Peptidase family S49 [PF01343.21]; Clp protease [PF00574.26]					0
NC_027329.1_NC_027329.1_54	NC_027329.1	NC_027329.1	54	37501	37878	1	E															0
