	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KC292026.1_1	KC292026	KC292026.1	1	1	114	1	E			YP_008059209.1	YP_008059209.1 hypothetical protein M199_gp001 [Halogranum tailed virus 1]	False	0.882	70.0	1.673e-15												0	False	F
KC292026.1_2	KC292026	KC292026.1	2	162	764	1	E			YP_008059210.1	YP_008059210.1 hypothetical protein M199_gp002 [Halogranum tailed virus 1]	True	0.955	404.0	6.462e-128									VOG04971	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292026.1_3	KC292026	KC292026.1	3	961	1569	1	E			YP_008059211.1	YP_008059211.1 terminase small subunit [Halogranum tailed virus 1]	True	0.975	417.0	1.5630000000000002e-132									VOG05559	REFSEQ terminase small subunit; Xu	Xu	0	False	F
KC292026.1_4	KC292026	KC292026.1	4	1572	1940	1	D			YP_008059212.1	YP_008059212.1 hypothetical protein M199_gp004 [Halogranum tailed virus 1]	False	1.0	264.0	5.106e-81								Family of unknown function (DUF5802) [PF19118.3]				0	False	F
KC292026.1_5	KC292026	KC292026.1	5	1933	3246	1	C	K06909	phage terminase large subunit	YP_008059213.1	YP_008059213.1 terminase large subunit [Halogranum tailed virus 1]	True	0.968	892.0	1.521e-292								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase RNaseH-like domain [PF17289.5]; Terminase large subunit, ATPase domain [PF03354.18]; Phage terminase large subunit [PF04466.16]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
KC292026.1_6	KC292026	KC292026.1	6	3250	3603	1	E			YP_008059214.1	YP_008059214.1 hypothetical protein M199_gp006 [Halogranum tailed virus 1]	False	0.96	239.0	2.413e-72												0	False	F
KC292026.1_7	KC292026	KC292026.1	7	3605	5821	1	E			YP_008059215.1	YP_008059215.1 portal protein [Halogranum tailed virus 1]	True	0.929	1438.0	0.0									VOG26458	REFSEQ portal protein; Xu	Xu	0	False	F
KC292026.1_8	KC292026	KC292026.1	8	5847	6587	1	E			YP_008059216.1	YP_008059216.1 hypothetical protein M199_gp008 [Halogranum tailed virus 1]	True	0.961	499.0	2.981e-160												0	False	
KC292026.1_9	KC292026	KC292026.1	9	6602	6937	1	E			YP_008059217.1	YP_008059217.1 hypothetical protein M199_gp009 [Halogranum tailed virus 1]	False	0.94	221.0	1.966e-66												0	False	
KC292026.1_10	KC292026	KC292026.1	10	6949	8727	1	E			YP_008059218.1	YP_008059218.1 virion structural protein [Halogranum tailed virus 1]	True	0.962	1200.0	0.0									VOG02418	REFSEQ virion structural protein; Xu	Xu	0	False	
