JACQFO010000126.1_orf8889	6140484221ee7bf8a725c58fa78b5822	443	ProSiteProfiles	PS50850	Major facilitator superfamily (MFS) profile.	65	443	27.498711	T	24-06-2023	IPR020846	Major facilitator superfamily domain
JACQFO010000126.1_orf8889	6140484221ee7bf8a725c58fa78b5822	443	PANTHER	PTHR43124	PURINE EFFLUX PUMP PBUE	61	434	1.2E-19	T	24-06-2023	-	-
JACQFO010000126.1_orf8889	6140484221ee7bf8a725c58fa78b5822	443	Gene3D	G3DSA:1.20.1250.20	MFS general substrate transporter like domains	258	443	7.0E-15	T	24-06-2023	IPR036259	MFS transporter superfamily
JACQFO010000126.1_orf8889	6140484221ee7bf8a725c58fa78b5822	443	Gene3D	G3DSA:1.20.1250.20	MFS general substrate transporter like domains	60	246	1.4E-24	T	24-06-2023	IPR036259	MFS transporter superfamily
JACQFO010000126.1_orf8889	6140484221ee7bf8a725c58fa78b5822	443	Pfam	PF07690	Major Facilitator Superfamily	72	249	9.1E-20	T	24-06-2023	IPR011701	Major facilitator superfamily
JACQFO010000126.1_orf8889	6140484221ee7bf8a725c58fa78b5822	443	SUPERFAMILY	SSF103473	MFS general substrate transporter	60	440	1.83E-49	T	24-06-2023	IPR036259	MFS transporter superfamily
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	511	535	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	511	525	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	353	482	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	305	341	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	273	289	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	643	659	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	685	754	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	568	582	-	T	24-06-2023	-	-
