	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_049965.1_NC_049965.1_1	NC_049965.1	NC_049965.1	1	346	522	-1	E															0
NC_049965.1_NC_049965.1_2	NC_049965.1	NC_049965.1	2	519	689	-1	E															0
NC_049965.1_NC_049965.1_3	NC_049965.1	NC_049965.1	3	676	936	-1	E															0
NC_049965.1_NC_049965.1_4	NC_049965.1	NC_049965.1	4	964	2682	-1	C	K21237	Podoviridae DNA polymerase [EC:2.7.7.7]								DNA polymerase type B, organellar and viral [PF03175.16]					0
NC_049965.1_NC_049965.1_5	NC_049965.1	NC_049965.1	5	2705	3505	-1	D										Phi-29 DNA terminal protein GP3 [PF05435.14]					0
NC_049965.1_NC_049965.1_6	NC_049965.1	NC_049965.1	6	3790	4164	-1	D										Phage Single-stranded DNA-binding protein [PF17427.5]					0
NC_049965.1_NC_049965.1_7	NC_049965.1	NC_049965.1	7	4229	4426	-1	E															0
NC_049965.1_NC_049965.1_8	NC_049965.1	NC_049965.1	8	4426	4740	-1	D										Histone-like Protein p6 [PF17548.5]					0
NC_049965.1_NC_049965.1_9	NC_049965.1	NC_049965.1	9	5042	5338	1	D										Phi29 scaffolding protein [PF11418.11]					0
NC_049965.1_NC_049965.1_10	NC_049965.1	NC_049965.1	10	5369	6715	1	E															0
NC_049965.1_NC_049965.1_11	NC_049965.1	NC_049965.1	11	6715	7557	1	D										Head fiber protein [PF11133.11]					0
NC_049965.1_NC_049965.1_12	NC_049965.1	NC_049965.1	12	7571	9370	1	D										Caudoviral major tail protein N-terminus [PF16838.8]					0
NC_049965.1_NC_049965.1_13	NC_049965.1	NC_049965.1	13	9375	10304	1	D										Phage Connector (GP10) [PF05352.15]					0
NC_049965.1_NC_049965.1_14	NC_049965.1	NC_049965.1	14	10297	11178	1	E															0
NC_049965.1_NC_049965.1_15	NC_049965.1	NC_049965.1	15	11191	13755	1	D			MER0151381	G02	MER0151381 - pre-neck appendage protein (Bacillus phage phi29) () [G02.001]#G02#{peptidase unit: 692-854}~source VG12_BPPH2~	False	0.965	333.0	1.237e-93	Peptidase_G2, IMC autoproteolytic cleavage domain [PF11962.11]; Pectate lyase superfamily protein [PF12708.10]					0
NC_049965.1_NC_049965.1_16	NC_049965.1	NC_049965.1	16	13767	14861	1	D			MER0127161	M23B	MER0127161 - gp13 peptidase (bacteriophage phi-29) () [M23.008]#M23B#{peptidase unit: 132-292}~source VG13_BPPH2~	True	1.0	362.0	2.857e-110	Phage tail lysozyme [PF18013.4]; Prophage endopeptidase tail [PF06605.14]					0
NC_049965.1_NC_049965.1_17	NC_049965.1	NC_049965.1	17	14880	15275	1	D										Bacteriophage holin family [PF05105.15]					0
NC_049965.1_NC_049965.1_18	NC_049965.1	NC_049965.1	18	15277	16053	1	C	K01185	lysozyme [EC:3.2.1.17]								Phage lysozyme [PF00959.22]; LysM domain [PF01476.23]	CBM50; GH24	CBM50 Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.; GH24 lysozyme (EC 3.2.1.17)	3.2.1.14,3.2.1.17,3.2.1.96,3.2.1.-,4.2.2.n1; 3.2.1.17	GH24.hmm	0
NC_049965.1_NC_049965.1_19	NC_049965.1	NC_049965.1	19	16064	17062	1	D										Podovirus DNA encapsidation protein (Gp16) [PF05894.15]					0
NC_049965.1_NC_049965.1_20	NC_049965.1	NC_049965.1	20	17093	17206	-1	E															0
NC_049965.1_NC_049965.1_21	NC_049965.1	NC_049965.1	21	17203	17367	-1	E															0
NC_049965.1_NC_049965.1_22	NC_049965.1	NC_049965.1	22	17364	17756	-1	D										Bacteriophage phi-29 early protein GP16.7 [PF06720.14]					0
NC_049965.1_NC_049965.1_23	NC_049965.1	NC_049965.1	23	17758	18075	-1	E															0
NC_049965.1_NC_049965.1_24	NC_049965.1	NC_049965.1	24	18072	18398	-1	E															0
NC_049965.1_NC_049965.1_25	NC_049965.1	NC_049965.1	25	18400	18903	-1	D										Gene Product 17 [PF17549.5]					0
