	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_053504_NC_053504_1	NC_053504	NC_053504	1	84	473	1	E															0
NC_053504_NC_053504_2	NC_053504	NC_053504	2	481	852	1	E															0
NC_053504_NC_053504_3	NC_053504	NC_053504	3	860	1048	1	E															0
NC_053504_NC_053504_4	NC_053504	NC_053504	4	1190	2755	1	D										Terminase large subunit, endonuclease domain [PF20441.1]					0
NC_053504_NC_053504_5	NC_053504	NC_053504	5	2756	4399	1	D										Phage portal protein, SPP1 Gp6-like [PF05133.17]					0
NC_053504_NC_053504_6	NC_053504	NC_053504	6	4416	5486	1	E															0
NC_053504_NC_053504_7	NC_053504	NC_053504	7	5542	6141	1	D										Domain of unknown function (DUF4355) [PF14265.9]					0
NC_053504_NC_053504_8	NC_053504	NC_053504	8	6200	7360	1	D										P22 coat protein - gene protein 5 [PF11651.11]					0
NC_053504_NC_053504_9	NC_053504	NC_053504	9	7371	7847	1	E															0
NC_053504_NC_053504_10	NC_053504	NC_053504	10	7844	8182	1	E															0
NC_053504_NC_053504_11	NC_053504	NC_053504	11	8182	8598	1	E															0
NC_053504_NC_053504_12	NC_053504	NC_053504	12	8608	9093	1	E															0
NC_053504_NC_053504_13	NC_053504	NC_053504	13	9123	10025	1	D										Bacterial Ig-like domain (group 2) [PF02368.21]					0
NC_053504_NC_053504_14	NC_053504	NC_053504	14	10124	10399	1	E															0
NC_053504_NC_053504_15	NC_053504	NC_053504	15	10431	10946	1	E															0
NC_053504_NC_053504_16	NC_053504	NC_053504	16	10975	16398	1	E															0
NC_053504_NC_053504_17	NC_053504	NC_053504	17	16487	17377	1	E															0
NC_053504_NC_053504_18	NC_053504	NC_053504	18	17370	19133	1	E															0
NC_053504_NC_053504_19	NC_053504	NC_053504	19	19272	19721	1	D										Protein of unknown function (DUF2744) [PF10910.11]					0
