	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000654.1_1	QGNH01000654.1	QGNH01000654.1	1	116	1606	1	E																								0	False	F
QGNH01000654.1_2	QGNH01000654.1	QGNH01000654.1	2	1673	3100	1	E			YP_009099063.1	YP_009099063.1 major head protein [Bacillus phage CP-51]	True	0.439	361.0	5.641e-108													VOG02591	sp|Q6Y7S3|CAPSD_BPPGK Major capsid protein; Xs	Xs	0	False	VF
QGNH01000654.1_3	QGNH01000654.1	QGNH01000654.1	3	3243	4082	1	E			YP_007674388.1	YP_007674388.1 endonuclease [Synechococcus phage S-SKS1]	False	0.367	106.0	7.91e-24													VOG00117	REFSEQ HNH endonuclease; Xu	Xu	0	False	F
QGNH01000654.1_4	QGNH01000654.1	QGNH01000654.1	4	4079	4447	-1	D																Uncharacterized protein conserved in bacteria (DUF2314) [PF10077.12]								0	False	F
QGNH01000654.1_5	QGNH01000654.1	QGNH01000654.1	5	4523	4708	-1	E																								0	False	F
QGNH01000654.1_6	QGNH01000654.1	QGNH01000654.1	6	4718	4996	-1	E																								0	False	F
QGNH01000654.1_7	QGNH01000654.1	QGNH01000654.1	7	4996	5130	-1	E																								0	False	F
QGNH01000654.1_8	QGNH01000654.1	QGNH01000654.1	8	5130	5654	-1	D			YP_010101929.1	YP_010101929.1 phosphoesterase [Vibrio phage Achelous]	False	0.412	106.0	4.279e-25								Calcineurin-like phosphoesterase superfamily domain [PF12850.10]								0	False	
QGNH01000654.1_9	QGNH01000654.1	QGNH01000654.1	9	5651	5881	-1	E																								0	False	
QGNH01000654.1_10	QGNH01000654.1	QGNH01000654.1	10	5878	6375	-1	D									MER0461532	C82B	MER0461532 - ykuD transpeptidase (Bacillus cellulosilyticus) [C82.003]#C82B#{peptidase unit: 29-150}~source YP_004094737~	False	77.0	4.734e-15	0.439	L,D-transpeptidase catalytic domain [PF03734.17]								0	False	M
