	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
GCA_002890195.1_LC208019.1_1	GCA_002890195.1	LC208019.1	1	1	930	1	E											0
GCA_002890195.1_LC208019.1_2	GCA_002890195.1	LC208019.1	2	936	1121	1	E											0
GCA_002890195.1_LC208019.1_3	GCA_002890195.1	LC208019.1	3	1209	1928	1	E											0
GCA_002890195.1_LC208019.1_4	GCA_002890195.1	LC208019.1	4	1930	2718	1	D			MER0024606	S01C	MER0024606 - subfamily S1C unassigned peptidases (Rhodopseudomonas palustris) [S01.UPC]#S01C#{peptidase unit: 213-371}~source B3QH25_RHOPT~	False	71.0	4.898e-12	0.31	Trypsin-like peptidase domain [PF13365.9]	0
GCA_002890195.1_LC208019.1_5	GCA_002890195.1	LC208019.1	5	2708	2920	1	E											0
GCA_002890195.1_LC208019.1_6	GCA_002890195.1	LC208019.1	6	2913	3377	1	E											0
GCA_002890195.1_LC208019.1_7	GCA_002890195.1	LC208019.1	7	3361	4314	1	E											0
GCA_002890195.1_LC208019.1_8	GCA_002890195.1	LC208019.1	8	4311	5393	1	E											0
GCA_002890195.1_LC208019.1_9	GCA_002890195.1	LC208019.1	9	5390	5584	1	E											0
GCA_002890195.1_LC208019.1_10	GCA_002890195.1	LC208019.1	10	5600	5932	1	E											0
GCA_002890195.1_LC208019.1_11	GCA_002890195.1	LC208019.1	11	5925	6284	1	E											0
GCA_002890195.1_LC208019.1_12	GCA_002890195.1	LC208019.1	12	6427	6669	1	E											0
GCA_002890195.1_LC208019.1_13	GCA_002890195.1	LC208019.1	13	6870	7616	1	E											0
GCA_002890195.1_LC208019.1_14	GCA_002890195.1	LC208019.1	14	7784	8275	1	E											0
GCA_002890195.1_LC208019.1_15	GCA_002890195.1	LC208019.1	15	8278	8712	1	E											0
GCA_002890195.1_LC208019.1_16	GCA_002890195.1	LC208019.1	16	8840	9358	1	E											0
GCA_002890195.1_LC208019.1_17	GCA_002890195.1	LC208019.1	17	9388	9654	1	E											0
GCA_002890195.1_LC208019.1_18	GCA_002890195.1	LC208019.1	18	9660	9995	1	E											0
GCA_002890195.1_LC208019.1_19	GCA_002890195.1	LC208019.1	19	10003	10347	1	E											0
GCA_002890195.1_LC208019.1_20	GCA_002890195.1	LC208019.1	20	10358	10780	1	C	K23255	archaeal type IV pilus assembly protein PilA									0
GCA_002890195.1_LC208019.1_21	GCA_002890195.1	LC208019.1	21	10786	11352	1	D										Viral/Archaeal nuclease [PF12187.11]	0
GCA_002890195.1_LC208019.1_22	GCA_002890195.1	LC208019.1	22	11363	11575	1	D										Ribbon-helix-helix protein, copG family [PF01402.24]	0
GCA_002890195.1_LC208019.1_23	GCA_002890195.1	LC208019.1	23	11578	11949	1	E											0
GCA_002890195.1_LC208019.1_24	GCA_002890195.1	LC208019.1	24	11959	12285	1	E											0
GCA_002890195.1_LC208019.1_25	GCA_002890195.1	LC208019.1	25	12248	12496	1	E											0
GCA_002890195.1_LC208019.1_26	GCA_002890195.1	LC208019.1	26	12493	13512	1	D										Archaeal phage integrase [PF16795.8]	0
GCA_002890195.1_LC208019.1_27	GCA_002890195.1	LC208019.1	27	13509	13703	1	E											0
GCA_002890195.1_LC208019.1_28	GCA_002890195.1	LC208019.1	28	13710	14639	-1	E											0
GCA_002890195.1_LC208019.1_29	GCA_002890195.1	LC208019.1	29	14642	14965	-1	E											0
GCA_002890195.1_LC208019.1_30	GCA_002890195.1	LC208019.1	30	14967	15302	-1	E											0
GCA_002890195.1_LC208019.1_31	GCA_002890195.1	LC208019.1	31	15377	16153	-1	E											0
GCA_002890195.1_LC208019.1_32	GCA_002890195.1	LC208019.1	32	16160	16402	-1	E											0
GCA_002890195.1_LC208019.1_33	GCA_002890195.1	LC208019.1	33	16407	17399	-1	E											0
GCA_002890195.1_LC208019.1_34	GCA_002890195.1	LC208019.1	34	17421	18068	-1	E											0
