	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_019724.1_NC_019724.1_1	NC_019724.1	NC_019724.1	1	1	573	1	E															0
NC_019724.1_NC_019724.1_2	NC_019724.1	NC_019724.1	2	573	1958	1	C	K06909	phage terminase large subunit								Phage terminase large subunit [PF04466.16]					0
NC_019724.1_NC_019724.1_3	NC_019724.1	NC_019724.1	3	1970	3490	1	D										Domain of unknown function (DUF4055) [PF13264.9]					0
NC_019724.1_NC_019724.1_4	NC_019724.1	NC_019724.1	4	3474	4577	1	E															0
NC_019724.1_NC_019724.1_5	NC_019724.1	NC_019724.1	5	4570	4899	1	E															0
NC_019724.1_NC_019724.1_6	NC_019724.1	NC_019724.1	6	5078	5485	-1	E															0
NC_019724.1_NC_019724.1_7	NC_019724.1	NC_019724.1	7	5640	6344	1	E															0
NC_019724.1_NC_019724.1_8	NC_019724.1	NC_019724.1	8	6442	7542	1	D										Major capsid protein 13-like [PF20036.2]					0
NC_019724.1_NC_019724.1_9	NC_019724.1	NC_019724.1	9	7601	8101	1	D										Putative DnaT-like ssDNA binding protein [PF20557.1]					0
NC_019724.1_NC_019724.1_10	NC_019724.1	NC_019724.1	10	8206	8559	1	E															0
NC_019724.1_NC_019724.1_11	NC_019724.1	NC_019724.1	11	8561	9154	1	E															0
NC_019724.1_NC_019724.1_12	NC_019724.1	NC_019724.1	12	9154	9576	1	D										Bacteriophage related domain of unknown function [PF13554.9]					0
NC_019724.1_NC_019724.1_13	NC_019724.1	NC_019724.1	13	9638	10363	1	D										Phage tail tube protein, TTP [PF08813.14]					0
NC_019724.1_NC_019724.1_14	NC_019724.1	NC_019724.1	14	10433	10795	1	D										Phage tail assembly chaperone [PF08748.14]					0
NC_019724.1_NC_019724.1_15	NC_019724.1	NC_019724.1	15	11504	14146	1	D										Prophage tail length tape measure protein [PF06791.16]; Lambda phage tail tape-measure protein (Tape_meas_lam_C) [PF09718.13]					0
NC_019724.1_NC_019724.1_16	NC_019724.1	NC_019724.1	16	14181	14780	1	D										Phage minor tail protein [PF05939.16]					0
NC_019724.1_NC_019724.1_17	NC_019724.1	NC_019724.1	17	14777	15565	1	D										Phage minor tail protein L [PF05100.15]					0
NC_019724.1_NC_019724.1_18	NC_019724.1	NC_019724.1	18	15568	16308	1	D			MER0163594	C40	MER0163594 - family C40 unassigned peptidases (Cronobacter sakazakii) [C40.UPW]#C40#{peptidase unit: 116-204}~source YP_001437147~	False	137.0	1.392e-34	0.746	NlpC/P60 family [PF00877.22]; Prokaryotic homologs of the JAB domain [PF14464.9]					0
NC_019724.1_NC_019724.1_19	NC_019724.1	NC_019724.1	19	16299	16916	1	D										Bacteriophage lambda tail assembly protein I [PF06805.15]					0
NC_019724.1_NC_019724.1_20	NC_019724.1	NC_019724.1	20	16913	20365	1	D										Domain of unknown function (DUF1983) [PF09327.14]					0
NC_019724.1_NC_019724.1_21	NC_019724.1	NC_019724.1	21	20388	21320	-1	D										Family of unknown function (DUF6453) [PF20051.2]					0
NC_019724.1_NC_019724.1_22	NC_019724.1	NC_019724.1	22	21320	21550	-1	E															0
NC_019724.1_NC_019724.1_23	NC_019724.1	NC_019724.1	23	21631	23472	1	E															0
NC_019724.1_NC_019724.1_24	NC_019724.1	NC_019724.1	24	23498	24073	-1	E															0
NC_019724.1_NC_019724.1_25	NC_019724.1	NC_019724.1	25	24116	24658	-1	D										Domain of unknown function (DUF6378) [PF19905.2]					0
NC_019724.1_NC_019724.1_26	NC_019724.1	NC_019724.1	26	24723	25193	-1	E															0
NC_019724.1_NC_019724.1_27	NC_019724.1	NC_019724.1	27	25190	25414	-1	E															0
NC_019724.1_NC_019724.1_28	NC_019724.1	NC_019724.1	28	25395	25880	-1	D										DNA N-6-adenine-methyltransferase (Dam) [PF05869.14]					0
NC_019724.1_NC_019724.1_29	NC_019724.1	NC_019724.1	29	25961	26284	-1	E															0
NC_019724.1_NC_019724.1_30	NC_019724.1	NC_019724.1	30	26281	26976	-1	E															0
NC_019724.1_NC_019724.1_31	NC_019724.1	NC_019724.1	31	26973	28397	-1	D										SNF2-related domain [PF00176.26]					0
NC_019724.1_NC_019724.1_32	NC_019724.1	NC_019724.1	32	28402	28620	-1	E															0
NC_019724.1_NC_019724.1_33	NC_019724.1	NC_019724.1	33	28664	28837	-1	E															0
NC_019724.1_NC_019724.1_34	NC_019724.1	NC_019724.1	34	28878	29156	-1	D										VRR-NUC domain [PF08774.14]					0
NC_019724.1_NC_019724.1_35	NC_019724.1	NC_019724.1	35	29153	29485	-1	E															0
NC_019724.1_NC_019724.1_36	NC_019724.1	NC_019724.1	36	29490	31781	-1	C	K02334	DNA polymerase bacteriophage-type [EC:2.7.7.7]								DNA polymerase family A [PF00476.23]					0
NC_019724.1_NC_019724.1_37	NC_019724.1	NC_019724.1	37	31778	31948	-1	E															0
NC_019724.1_NC_019724.1_38	NC_019724.1	NC_019724.1	38	32007	32729	-1	D										Protein of unknown function (DUF2815) [PF10991.11]					0
NC_019724.1_NC_019724.1_39	NC_019724.1	NC_019724.1	39	32834	34261	-1	D										Protein of unknown function (DUF2800) [PF10926.11]					0
NC_019724.1_NC_019724.1_40	NC_019724.1	NC_019724.1	40	34261	34440	-1	E															0
NC_019724.1_NC_019724.1_41	NC_019724.1	NC_019724.1	41	34440	34691	-1	E															0
NC_019724.1_NC_019724.1_42	NC_019724.1	NC_019724.1	42	34740	35171	-1	E															0
NC_019724.1_NC_019724.1_43	NC_019724.1	NC_019724.1	43	35575	36003	1	E															0
NC_019724.1_NC_019724.1_44	NC_019724.1	NC_019724.1	44	36014	38275	1	D										AAA domain [PF13481.9]					0
NC_019724.1_NC_019724.1_45	NC_019724.1	NC_019724.1	45	38755	38934	1	E															0
NC_019724.1_NC_019724.1_46	NC_019724.1	NC_019724.1	46	38931	39236	1	E															0
NC_019724.1_NC_019724.1_47	NC_019724.1	NC_019724.1	47	39336	39515	1	E															0
NC_019724.1_NC_019724.1_48	NC_019724.1	NC_019724.1	48	39642	40166	1	E															0
NC_019724.1_NC_019724.1_49	NC_019724.1	NC_019724.1	49	40163	40303	1	E															0
NC_019724.1_NC_019724.1_50	NC_019724.1	NC_019724.1	50	40249	40575	1	E															0
NC_019724.1_NC_019724.1_51	NC_019724.1	NC_019724.1	51	40628	40918	1	E															0
NC_019724.1_NC_019724.1_52	NC_019724.1	NC_019724.1	52	40915	41160	1	E															0
NC_019724.1_NC_019724.1_53	NC_019724.1	NC_019724.1	53	41204	41638	1	C	K01185	lysozyme [EC:3.2.1.17]								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_019724.1_NC_019724.1_54	NC_019724.1	NC_019724.1	54	41655	42056	1	D										Bacterial Ig-like domain (group 2) [PF02368.21]					0
NC_019724.1_NC_019724.1_55	NC_019724.1	NC_019724.1	55	42294	43436	1	E															0
NC_019724.1_NC_019724.1_56	NC_019724.1	NC_019724.1	56	43433	43645	1	E															0
