	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_028664_NC_028664_1	NC_028664	NC_028664	1	1435	1656	1	E															0
NC_028664_NC_028664_2	NC_028664	NC_028664	2	1777	2349	1	E															0
NC_028664_NC_028664_3	NC_028664	NC_028664	3	2346	2570	1	E															0
NC_028664_NC_028664_4	NC_028664	NC_028664	4	2641	2883	1	E															0
NC_028664_NC_028664_5	NC_028664	NC_028664	5	2945	3166	1	E															0
NC_028664_NC_028664_6	NC_028664	NC_028664	6	3159	3428	1	E															0
NC_028664_NC_028664_7	NC_028664	NC_028664	7	3436	3615	1	E															0
NC_028664_NC_028664_8	NC_028664	NC_028664	8	3809	4153	1	E															0
NC_028664_NC_028664_9	NC_028664	NC_028664	9	4200	5876	1	E															0
NC_028664_NC_028664_10	NC_028664	NC_028664	10	5876	6922	1	D			MER0839985	M20X	MER0839985 - family M20 non-peptidase homologues (Bacteroides vulgatus) [M20.UNW]#M20X#{peptidase unit: 5-171}~source A6L0P8~	False	61.0	2.454e-08	0.284						0
NC_028664_NC_028664_11	NC_028664	NC_028664	11	6925	7374	1	E															0
NC_028664_NC_028664_12	NC_028664	NC_028664	12	7374	7571	1	E															0
NC_028664_NC_028664_13	NC_028664	NC_028664	13	7571	8356	1	E															0
NC_028664_NC_028664_14	NC_028664	NC_028664	14	8353	8547	1	E															0
NC_028664_NC_028664_15	NC_028664	NC_028664	15	8548	9828	1	D										DnaB-like helicase C terminal domain [PF03796.18]; AAA domain [PF13481.9]					0
NC_028664_NC_028664_16	NC_028664	NC_028664	16	9821	10147	1	E															0
NC_028664_NC_028664_17	NC_028664	NC_028664	17	10198	10407	1	E															0
NC_028664_NC_028664_18	NC_028664	NC_028664	18	10377	10532	1	E															0
NC_028664_NC_028664_19	NC_028664	NC_028664	19	10529	12895	1	D										DNA polymerase family A [PF00476.23]					0
