	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001228.1_1	QGNH01001228.1	QGNH01001228.1	1	16	345	1	E																								0	False	F
QGNH01001228.1_2	QGNH01001228.1	QGNH01001228.1	2	491	820	1	D																Uncharacterized protein conserved in bacteria (DUF2312) [PF10073.12]					VOG02322	sp|B9JS29|Y3695_AGRVS UPF0335 protein Avi_3695; Xu	Xu	0	False	F
QGNH01001228.1_3	QGNH01001228.1	QGNH01001228.1	3	817	1116	1	E																								0	False	F
QGNH01001228.1_4	QGNH01001228.1	QGNH01001228.1	4	1113	1310	1	E																								0	False	F
QGNH01001228.1_5	QGNH01001228.1	QGNH01001228.1	5	1303	1833	1	D			YP_010660358.1	YP_010660358.1 hypothetical protein PP899_gp67 [Agrobacterium phage Atu_ph08]	False	0.425	126.0	3.776e-32								N-6 DNA Methylase [PF02384.19]								0	False	F
QGNH01001228.1_6	QGNH01001228.1	QGNH01001228.1	6	1836	2009	-1	E																								0	False	F
QGNH01001228.1_7	QGNH01001228.1	QGNH01001228.1	7	2051	2536	-1	D			YP_024942.1	YP_024942.1 endolysin [Burkholderia phage BcepC6B]	False	0.541	157.0	3.23e-43									GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)	4.2.2.n1	GH104.hmm				0	False	F
QGNH01001228.1_8	QGNH01001228.1	QGNH01001228.1	8	2669	2893	-1	E																								0	False	F
QGNH01001228.1_9	QGNH01001228.1	QGNH01001228.1	9	2890	3312	-1	E																								0	False	F
QGNH01001228.1_10	QGNH01001228.1	QGNH01001228.1	10	3368	3622	-1	E																								0	False	F
QGNH01001228.1_11	QGNH01001228.1	QGNH01001228.1	11	3680	4060	-1	E																								0	False	F
QGNH01001228.1_12	QGNH01001228.1	QGNH01001228.1	12	4103	4270	-1	E																								0	False	F
QGNH01001228.1_13	QGNH01001228.1	QGNH01001228.1	13	4608	4907	-1	E																								0	False	F
QGNH01001228.1_14	QGNH01001228.1	QGNH01001228.1	14	4904	6601	-1	D			YP_009777804.1	YP_009777804.1 tail protein [uncultured phage_MedDCM-OCT-S45-C18]	False	0.2	111.0	1.196e-23								Carbohydrate binding domain [PF02018.20]					VOG00500	REFSEQ tail protein; Xu	Xu	0	False	F
QGNH01001228.1_15	QGNH01001228.1	QGNH01001228.1	15	6592	7851	-1	E			YP_010663375.1	YP_010663375.1 tail protein [Gordonia phage BigChungus]	False	0.433	71.0	1.304e-11																0	False	
QGNH01001228.1_16	QGNH01001228.1	QGNH01001228.1	16	7844	8317	-1	E																								0	False	
QGNH01001228.1_17	QGNH01001228.1	QGNH01001228.1	17	8376	11300	-1	D																Pectate lyase superfamily protein [PF12708.10]								0	False	
QGNH01001228.1_18	QGNH01001228.1	QGNH01001228.1	18	11297	11683	-1	E																								0	False	
QGNH01001228.1_19	QGNH01001228.1	QGNH01001228.1	19	11695	12468	-1	E																								0	False	
QGNH01001228.1_20	QGNH01001228.1	QGNH01001228.1	20	12523	13467	-1	E			YP_024911.1	YP_024911.1 tail fiber protein [Burkholderia phage BcepB1A]	False	0.367	79.0	8.749e-15																0	False	
QGNH01001228.1_21	QGNH01001228.1	QGNH01001228.1	21	13476	14228	-1	D			YP_024913.1	YP_024913.1 structural protein [Burkholderia phage BcepB1A]	False	0.478	192.0	1.1699999999999998e-53								Protein of unknown function (DUF2612) [PF11041.11]								0	False	
QGNH01001228.1_22	QGNH01001228.1	QGNH01001228.1	22	14242	15438	-1	D			YP_024914.1	YP_024914.1 gp08 W [Burkholderia phage BcepB1A]	False	0.433	284.0	9.18e-83								Baseplate J-like protein [PF04865.17]					VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	V
QGNH01001228.1_23	QGNH01001228.1	QGNH01001228.1	23	15435	15803	-1	E																								0	False	
