NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	Gene3D	G3DSA:1.10.250.10	Bluetongue Virus 10, subunit 1, domain 1	5	124	3.9E-55	T	24-06-2023	IPR023176	Orbivirus inner capsid protein VP7, N-terminal
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	Pfam	PF00897	Orbivirus inner capsid protein VP7	5	352	1.7E-160	T	24-06-2023	IPR001803	Orbivirus inner capsid protein VP7
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	Gene3D	G3DSA:1.10.170.10	Bluetongue Virus 10, subunit 1, domain 3	258	353	2.3E-37	T	24-06-2023	IPR023178	Orbivirus inner capsid protein VP7, C-terminal
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	PRINTS	PR00903	VP7 core protein signature	184	203	3.3E-89	T	24-06-2023	IPR001803	Orbivirus inner capsid protein VP7
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	PRINTS	PR00903	VP7 core protein signature	25	44	3.3E-89	T	24-06-2023	IPR001803	Orbivirus inner capsid protein VP7
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	PRINTS	PR00903	VP7 core protein signature	211	229	3.3E-89	T	24-06-2023	IPR001803	Orbivirus inner capsid protein VP7
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	PRINTS	PR00903	VP7 core protein signature	275	290	3.3E-89	T	24-06-2023	IPR001803	Orbivirus inner capsid protein VP7
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	PRINTS	PR00903	VP7 core protein signature	64	84	3.3E-89	T	24-06-2023	IPR001803	Orbivirus inner capsid protein VP7
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	PRINTS	PR00903	VP7 core protein signature	86	105	3.3E-89	T	24-06-2023	IPR001803	Orbivirus inner capsid protein VP7
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	PRINTS	PR00903	VP7 core protein signature	248	265	3.3E-89	T	24-06-2023	IPR001803	Orbivirus inner capsid protein VP7
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	PRINTS	PR00903	VP7 core protein signature	314	331	3.3E-89	T	24-06-2023	IPR001803	Orbivirus inner capsid protein VP7
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	PRINTS	PR00903	VP7 core protein signature	110	127	3.3E-89	T	24-06-2023	IPR001803	Orbivirus inner capsid protein VP7
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	SUPERFAMILY	SSF48345	A virus capsid protein alpha-helical domain	5	353	4.71E-96	T	24-06-2023	IPR008935	Virus capsid protein, alpha-helical
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	Gene3D	G3DSA:2.60.120.170	-	125	257	1.4E-52	T	24-06-2023	-	-
NC_013402.1_orf12	656d6c5f7a1a365996da5fdd6ea2977e	353	SUPERFAMILY	SSF49818	Viral protein domain	125	258	3.11E-56	T	24-06-2023	IPR008980	Viral capsid/haemagglutinin protein
NC_013402.1_orf28	794c4ec6357207ebb158a58a1085159f	80	MobiDBLite	mobidb-lite	consensus disorder prediction	1	22	-	T	24-06-2023	-	-
