	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_005884_NC_005884_1	NC_005884	NC_005884	1	380	1105	-1	E									0
NC_005884_NC_005884_2	NC_005884	NC_005884	2	1156	1353	-1	E									0
NC_005884_NC_005884_3	NC_005884	NC_005884	3	1378	1677	-1	E									0
NC_005884_NC_005884_4	NC_005884	NC_005884	4	1682	1891	-1	E									0
NC_005884_NC_005884_5	NC_005884	NC_005884	5	2269	2853	1	E									0
NC_005884_NC_005884_6	NC_005884	NC_005884	6	2970	4580	1	E									0
NC_005884_NC_005884_7	NC_005884	NC_005884	7	4570	6570	1	E									0
NC_005884_NC_005884_8	NC_005884	NC_005884	8	6545	7114	1	E									0
NC_005884_NC_005884_9	NC_005884	NC_005884	9	7290	7658	1	E									0
NC_005884_NC_005884_10	NC_005884	NC_005884	10	7664	8410	1	E									0
NC_005884_NC_005884_11	NC_005884	NC_005884	11	8425	9681	1	D								Family of unknown function (DUF5309) [PF17236.5]	0
NC_005884_NC_005884_12	NC_005884	NC_005884	12	9767	10183	1	E									0
NC_005884_NC_005884_13	NC_005884	NC_005884	13	10186	10839	1	E									0
NC_005884_NC_005884_14	NC_005884	NC_005884	14	10851	11198	1	E									0
NC_005884_NC_005884_15	NC_005884	NC_005884	15	11478	11828	1	D	MER0086056	M15C	MER0086056 - subfamily M15C unassigned peptidases (Yersinia pseudotuberculosis) [M15.UPC]#M15C#{peptidase unit: 3-105}~source ACC90234~	False	103.0	5.106e-25	0.508	D-alanyl-D-alanine carboxypeptidase [PF13539.9]	0
NC_005884_NC_005884_16	NC_005884	NC_005884	16	12047	12343	1	E									0
NC_005884_NC_005884_17	NC_005884	NC_005884	17	12321	12692	1	E									0
NC_005884_NC_005884_18	NC_005884	NC_005884	18	12703	15798	1	E									0
NC_005884_NC_005884_19	NC_005884	NC_005884	19	15809	16726	1	E									0
NC_005884_NC_005884_20	NC_005884	NC_005884	20	16740	18473	1	E									0
NC_005884_NC_005884_21	NC_005884	NC_005884	21	18491	24040	1	E									0
NC_005884_NC_005884_22	NC_005884	NC_005884	22	24096	24377	-1	E									0
NC_005884_NC_005884_23	NC_005884	NC_005884	23	24379	24891	-1	E									0
NC_005884_NC_005884_24	NC_005884	NC_005884	24	25026	25280	-1	E									0
NC_005884_NC_005884_25	NC_005884	NC_005884	25	25259	26149	-1	E									0
NC_005884_NC_005884_26	NC_005884	NC_005884	26	26152	27180	-1	E									0
NC_005884_NC_005884_27	NC_005884	NC_005884	27	27324	29729	-1	D								DNA polymerase family A [PF00476.23]	0
NC_005884_NC_005884_28	NC_005884	NC_005884	28	29844	30173	-1	E									0
NC_005884_NC_005884_29	NC_005884	NC_005884	29	30246	30749	-1	E									0
NC_005884_NC_005884_30	NC_005884	NC_005884	30	30793	31296	-1	E									0
NC_005884_NC_005884_31	NC_005884	NC_005884	31	31336	32292	-1	E									0
NC_005884_NC_005884_32	NC_005884	NC_005884	32	32383	32640	-1	E									0
NC_005884_NC_005884_33	NC_005884	NC_005884	33	32637	33104	-1	E									0
NC_005884_NC_005884_34	NC_005884	NC_005884	34	33097	33333	-1	E									0
NC_005884_NC_005884_35	NC_005884	NC_005884	35	33336	34010	-1	D								3'-5' exoribonuclease Rv2179c-like domain [PF16473.8]	0
NC_005884_NC_005884_36	NC_005884	NC_005884	36	34007	35032	-1	E									0
NC_005884_NC_005884_37	NC_005884	NC_005884	37	35034	35345	-1	E									0
NC_005884_NC_005884_38	NC_005884	NC_005884	38	35342	35527	-1	E									0
NC_005884_NC_005884_39	NC_005884	NC_005884	39	35541	36257	-1	E									0
NC_005884_NC_005884_40	NC_005884	NC_005884	40	36270	36572	-1	E									0
NC_005884_NC_005884_41	NC_005884	NC_005884	41	36576	37013	-1	E									0
NC_005884_NC_005884_42	NC_005884	NC_005884	42	37111	37404	-1	E									0
NC_005884_NC_005884_43	NC_005884	NC_005884	43	37404	37661	-1	E									0
NC_005884_NC_005884_44	NC_005884	NC_005884	44	37661	37990	-1	E									0
NC_005884_NC_005884_45	NC_005884	NC_005884	45	37987	38313	-1	E									0
NC_005884_NC_005884_46	NC_005884	NC_005884	46	38310	38729	-1	E									0
NC_005884_NC_005884_47	NC_005884	NC_005884	47	38805	39134	-1	E									0
NC_005884_NC_005884_48	NC_005884	NC_005884	48	39118	39342	-1	E									0
NC_005884_NC_005884_49	NC_005884	NC_005884	49	39358	41409	-1	D								AAA domain [PF13604.9]; PIF1-like helicase [PF05970.17]; UvrD-like helicase C-terminal domain [PF13538.9]; AAA domain [PF13245.9]	0
NC_005884_NC_005884_50	NC_005884	NC_005884	50	41399	41731	-1	E									0
NC_005884_NC_005884_51	NC_005884	NC_005884	51	41718	42746	-1	E									0
NC_005884_NC_005884_52	NC_005884	NC_005884	52	42910	43581	-1	E									0
