	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MK450543.1_1	MK450543	MK450543.1	1	115	717	1	E			NP_665919.1	NP_665919.1 hypothetical protein PhiCh1p02 [Natrialba phage PhiCh1]	True	0.949	401.0	5.879e-127									VOG06040	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK450543.1_2	MK450543	MK450543.1	2	710	2374	1	E			YP_010078033.1	YP_010078033.1 terminase large subunit [Natrialba phage PhiCh1]	True	0.989	1159.0	0.0									VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VTF
MK450543.1_3	MK450543	MK450543.1	3	2380	2505	1	E			YP_010078034.1	YP_010078034.1 uncharacterized protein KMC42_gp04 [Natrialba phage PhiCh1]	False	0.888	78.0	3.582e-18									VOG25502	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK450543.1_4	MK450543	MK450543.1	4	2492	2797	1	E			YP_010078035.1	YP_010078035.1 uncharacterized protein KMC42_gp05 [Natrialba phage PhiCh1]	False	0.9	192.0	1.738e-56												0	False	TF
MK450543.1_5	MK450543	MK450543.1	5	2790	2975	1	E			NP_665922.1	NP_665922.1 hypothetical protein PhiCh1p05 [Natrialba phage PhiCh1]	False	0.989	130.0	1.233e-35									VOG25480	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK450543.1_6	MK450543	MK450543.1	6	2972	3250	1	E			NP_665923.1	NP_665923.1 hypothetical protein PhiCh1p06 [Natrialba phage PhiCh1]	False	0.953	186.0	9.352e-55												0	False	TF
MK450543.1_7	MK450543	MK450543.1	7	3247	4794	1	D			YP_010078038.1	YP_010078038.1 portal protein [Natrialba phage PhiCh1]	True	0.96	1041.0	0.0								Phage portal protein [PF04860.15]	VOG25223	REFSEQ portal protein; Xu	Xu	0	False	TF
MK450543.1_8	MK450543	MK450543.1	8	4801	5748	1	D			YP_010078039.1	YP_010078039.1 head morphogenesis [Natrialba phage PhiCh1]	True	0.935	619.0	1.839e-200								Phage Mu protein F like protein [PF04233.17]	VOG00318	sp|P45918|YQBB_BACSU Uncharacterized protein YqbB; Xu	Xu	0	False	TF
MK450543.1_9	MK450543	MK450543.1	9	5827	7713	1	D			YP_010078040.1	YP_010078040.1 XkdF-like putative serine protease domain-containing protein [Natrialba phage PhiCh1]	True	0.937	1235.0	0.0								Putative phage serine protease XkdF [PF14550.9]	VOG06381	REFSEQ XkdF-like putative serine protease domain-containing protein; Xu	Xu	0	False	T
MK450543.1_10	MK450543	MK450543.1	10	7757	8722	1	E			NP_665929.1	NP_665929.1 virion structural protein [Natrialba phage PhiCh1]	True	0.949	642.0	3.8450000000000002e-208									VOG01409	sp|P25477|CAPSD_BPP2 Capsid proteins; XhXs	Xh;Xs	0	False	VT
MK450543.1_11	MK450543	MK450543.1	11	8732	9175	1	E			NP_665930.1	NP_665930.1 hypothetical protein PhiCh1p13 [Natrialba phage PhiCh1]	False	0.892	275.0	1.795e-84									VOG06394	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_12	MK450543	MK450543.1	12	9182	9778	1	E			YP_010078043.1	YP_010078043.1 head-tail adaptor protein [Natrialba phage PhiCh1]	True	0.964	404.0	4.286e-128									VOG00699	REFSEQ head-tail adaptor; Xu	Xu	0	False	T
MK450543.1_13	MK450543	MK450543.1	13	9775	10155	1	E			NP_665932.1	NP_665932.1 hypothetical protein PhiCh1p15 [Natrialba phage PhiCh1]	False	0.939	250.0	2.859e-76									VOG25481	REFSEQ head closure protein, type 1; Xu	Xu	0	False	T
MK450543.1_14	MK450543	MK450543.1	14	10157	10438	1	E			NP_665933.1	NP_665933.1 hypothetical protein PhiCh1p16 [Natrialba phage PhiCh1]	False	0.934	184.0	4.7749999999999997e-54									VOG11945	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_15	MK450543	MK450543.1	15	10438	10875	1	D			NP_665934.1	NP_665934.1 tail completion or Neck1 protein [Natrialba phage PhiCh1]	False	0.959	295.0	3.121e-91								Phage virion morphogenesis family [PF05069.16]	VOG00556	sp|P36934|VPS_BPP2 Tail completion protein S; Xu	Xu	0	False	T
MK450543.1_16	MK450543	MK450543.1	16	10892	11488	1	E			NP_665935.1	NP_665935.1 hypothetical protein PhiCh1p18 [Natrialba phage PhiCh1]	True	0.958	401.0	3.9e-127									VOG11947	REFSEQ tail completion protein, type 1; Xu	Xu	0	False	T
MK450543.1_17	MK450543	MK450543.1	17	11525	12805	1	E			NP_665936.1	NP_665936.1 head protein [Natrialba phage PhiCh1]	True	0.942	843.0	8.411999999999999e-276									VOG11946	REFSEQ head protein; Xu	Xu	0	False	T
MK450543.1_18	MK450543	MK450543.1	18	12822	13214	1	E			NP_665937.1	NP_665937.1 head protein [Natrialba phage PhiCh1]	False	0.938	258.0	8.590000000000001e-79									VOG06285	REFSEQ head protein; Xu	Xu	0	False	T
MK450543.1_19	MK450543	MK450543.1	19	13214	13594	1	E			NP_665938.1	NP_665938.1 hypothetical protein PhiCh1p21 [Natrialba phage PhiCh1]	False	0.94	251.0	2.085e-76									VOG11948	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_20	MK450543	MK450543.1	20	13918	14694	1	D			NP_665939.1	NP_665939.1 HNH endonuclease [Natrialba phage PhiCh1]	True	1.0	561.0	2.288e-181								Transposase [PF01710.19]	VOG01272	sp|Q38490|GP13_BPMU Uncharacterized protein gp13; Xh	Xh	0	True	T
MK450543.1_21	MK450543	MK450543.1	21	14704	15198	-1	E																				0	False	T
MK450543.1_22	MK450543	MK450543.1	22	15278	17500	1	E			YP_010078052.1	YP_010078052.1 tail tape measure protein [Natrialba phage PhiCh1]	True	0.859	1318.0	0.0												0	False	T
MK450543.1_23	MK450543	MK450543.1	23	17497	18051	1	E			YP_010078053.1	YP_010078053.1 uncharacterized protein KMC42_gp23 [Natrialba phage PhiCh1]	False	0.9	347.0	8.620000000000001e-109									VOG11949	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_24	MK450543	MK450543.1	24	18052	18396	1	E			YP_010078054.1	YP_010078054.1 uncharacterized protein KMC42_gp24 [Natrialba phage PhiCh1]	False	1.0	243.0	4.706e-74									VOG11950	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_25	MK450543	MK450543.1	25	18399	19241	1	E			YP_010078055.1	YP_010078055.1 baseplate hub [Natrialba phage PhiCh1]	True	0.978	580.0	2.379e-187									VOG01442	REFSEQ baseplate hub; Xu	Xu	0	False	T
MK450543.1_26	MK450543	MK450543.1	26	19247	19807	1	D			YP_010078056.1	YP_010078056.1 uncharacterized protein KMC42_gp26 [Natrialba phage PhiCh1]	True	0.948	372.0	2.212e-117								Phage protein Gp138 N-terminal domain [PF18352.4]	VOG04104	REFSEQ uncharacterized protein; Xu	Xu	0	False	T
MK450543.1_27	MK450543	MK450543.1	27	19831	20187	1	D			YP_010078057.1	YP_010078057.1 uncharacterized protein KMC42_gp27 [Natrialba phage PhiCh1]	False	0.922	230.0	2.644e-69								Protein of unknown function (DUF2634) [PF10934.11]				0	False	T
MK450543.1_28	MK450543	MK450543.1	28	20194	21465	1	D			YP_010078058.1	YP_010078058.1 baseplate J/gp47 family protein [Natrialba phage PhiCh1]	True	0.926	822.0	2.4490000000000003e-268								Baseplate J-like protein [PF04865.17]	VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xh;Xs	0	False	VT
MK450543.1_29	MK450543	MK450543.1	29	21455	22063	1	E			YP_010078059.1	YP_010078059.1 baseplate protein [Natrialba phage PhiCh1]	True	0.904	383.0	9.435e-121												0	False	T
