KO	prodigal_RW1	prodigal_GIC31	prodigal_Rleg	prodigal_RW2	prodigal_DJ
K01959: pycA; pyruvate carboxylase subunit A	20	24	24	24	24
K02031: ddpD; peptide/nickel transport system ATP-binding protein	10	10	10	10	10
K02032: ddpF; peptide/nickel transport system ATP-binding protein	9	9	9	9	9
K02010: afuC, fbpC; iron(III) transport system ATP-binding protein	4	4	4	4	4
K13004: wbtD; galacturonosyltransferase WbtD	6	6	6	6	6
K02056: ABC.SS.A; simple sugar transport system ATP-binding protein	44	44	44	44	44
K00382: DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	4	6	6	6	6
K09817: znuC; zinc transport system ATP-binding protein	2	2	2	2	2
K02013: ABC.FEV.A; iron complex transport system ATP-binding protein	2	2	2	2	2
K08483: ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	19	20	19	20	19
K01897: ACSL, fadD; long-chain acyl-CoA synthetase	12	12	12	12	12
K00360: nasB; assimilatory nitrate reductase electron transfer subunit	5	2	11	4	11
K00219: fadH; 2,4-dienoyl-CoA reductase (NADPH2)	1	2	2	2	2
K01840: manB; phosphomannomutase	16	16	16	16	16
K11072: potA; spermidine/putrescine transport system ATP-binding protein	5	5	5	5	5
K00248: ACADS, bcd; butyryl-CoA dehydrogenase	18	18	18	18	18
K00249: ACADM, acd; acyl-CoA dehydrogenase	15	15	15	15	18
K01426: E3.5.1.4, amiE; amidase	10	30	30	30	30
K00128: ALDH; aldehyde dehydrogenase (NAD+)	72	72	72	72	72
K02768: fruB; fructose PTS system EIIA component	259	301	259	301	287
K11183: fruB, fpr; multiphosphoryl transfer protein	9	10	9	10	9
K04757: rsbW; serine/threonine-protein kinase RsbW	30	30	30	30	30
K14085: ALDH7A1; aldehyde dehydrogenase family 7 member A1	52	52	52	52	52
K00155: LNAA, LNBA; L-tyrosine reductase	4	5	5	5	5
K03407: cheA; two-component system, chemotaxis family, sensor kinase CheA	30	30	30	30	30
K02482: flgS; two-component system, NtrC family, sensor kinase	81	99	102	99	102
K11711: dctS; two-component system, LuxR family, sensor histidine kinase DctS	75	78	78	78	78
K02509: hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	8	0	8	0	8
