index	PC1	PC2	PC3	PC4	PC5
K01959: pycA; pyruvate carboxylase subunit A	-1.1151240979031491	0.07948256095773756	0.00443804054318207	-0.012691437088900552	-4.1845809687190357e-14
K02031: ddpD; peptide/nickel transport system ATP-binding protein	4.5843770222009446e-14	8.26264395400535e-14	-3.4520557185215505e-14	8.574084265311107e-16	-7.999437892456298e-14
K02032: ddpF; peptide/nickel transport system ATP-binding protein	-1.0490800843344507e-15	-5.527433949123538e-15	5.747267336462098e-15	-3.209047661324592e-15	1.4252767211879809e-15
K02010: afuC, fbpC; iron(III) transport system ATP-binding protein	1.1985377000283194e-14	2.0848607394044535e-14	-3.499184073247241e-14	3.650941130980503e-16	-2.123014309695107e-14
K13004: wbtD; galacturonosyltransferase WbtD	-0.0	-0.0	0.0	-0.0	0.0
K02056: ABC.SS.A; simple sugar transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K00382: DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	-1.1151240979031676	0.07948256095775418	0.004438040543171344	-0.012691437088894857	5.135440486351959e-19
K09817: znuC; zinc transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K02013: ABC.FEV.A; iron complex transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K08483: ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	-0.38334075952929964	1.0483809671097997	-0.06033358262492331	0.01752337561861066	2.4795553706525592e-17
K01897: ACSL, fadD; long-chain acyl-CoA synthetase	-0.0	-0.0	0.0	-0.0	0.0
K00360: nasB; assimilatory nitrate reductase electron transfer subunit	-0.31801418112575125	-1.05732919861431	0.06508719988790924	0.16335728563888102	-4.3773893168553204e-17
K00219: fadH; 2,4-dienoyl-CoA reductase (NADPH2)	-1.1151240979031674	0.07948256095775415	0.004438040543171384	-0.012691437088894855	5.249160288225026e-17
K01840: manB; phosphomannomutase	-0.0	-0.0	0.0	-0.0	0.0
K11072: potA; spermidine/putrescine transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K00248: ACADS, bcd; butyryl-CoA dehydrogenase	-0.0	-0.0	0.0	-0.0	0.0
K00249: ACADM, acd; acyl-CoA dehydrogenase	-0.3155904035386	-0.5489706682191848	0.9213802066516925	-0.009613397933116262	-4.807728069719162e-18
K01426: E3.5.1.4, amiE; amidase	-1.1151240979031676	0.07948256095775418	0.004438040543171344	-0.012691437088894857	5.135440486351959e-19
K00128: ALDH; aldehyde dehydrogenase (NAD+)	-0.0	-0.0	0.0	-0.0	0.0
K02768: fruB; fructose PTS system EIIA component	-0.6014643049921112	0.812126896983982	0.4780306117983163	0.013316425918882827	4.6133655643233477e-17
K11183: fruB, fpr; multiphosphoryl transfer protein	-0.38334075952929964	1.0483809671097994	-0.060333582624923325	0.017523375618610625	-5.588680627401107e-17
K04757: rsbW; serine/threonine-protein kinase RsbW	-0.0	-0.0	0.0	-0.0	0.0
K14085: ALDH7A1; aldehyde dehydrogenase family 7 member A1	-0.0	-0.0	0.0	-0.0	0.0
K00155: LNAA, LNBA; L-tyrosine reductase	-1.1151240979031676	0.07948256095775418	0.004438040543171344	-0.012691437088894857	5.135440486351959e-19
K03407: cheA; two-component system, chemotaxis family, sensor kinase CheA	-0.0	-0.0	0.0	-0.0	0.0
K02482: flgS; two-component system, NtrC family, sensor kinase	-1.1123381637774719	-0.1103216546808388	0.015913922823311125	-0.0167239042397157	4.3595935353071906e-17
K11711: dctS; two-component system, LuxR family, sensor histidine kinase DctS	-1.1151240979031676	0.07948256095775418	0.004438040543171344	-0.012691437088894857	5.135440486351959e-19
K02509: hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	0.38334075952929964	-1.0483809671097994	0.060333582624923325	-0.017523375618610625	5.588680627401107e-17
K01835: pgm; phosphoglucomutase	-0.0	-0.0	0.0	-0.0	0.0
K07683: nreB; two-component system, NarL family, sensor histidine kinase NreB	-1.1151240979031676	0.07948256095775418	0.004438040543171344	-0.012691437088894857	5.135440486351959e-19
K07777: degS; two-component system, NarL family, sensor histidine kinase DegS	-1.1151240979031676	0.07948256095775415	0.004438040543171342	-0.012691437088894857	-4.603397132475112e-17
K07642: baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	-1.1151240979031676	0.07948256095775418	0.004438040543171344	-0.012691437088894857	5.135440486351959e-19
K01537: ATP2C; P-type Ca2+ transporter type 2C	-0.0	-0.0	0.0	-0.0	0.0
K02476: K02476; two-component system, CitB family, sensor kinase	-1.1151240979031674	0.07948256095775415	0.004438040543171384	-0.012691437088894855	5.249160288225026e-17
K14519: aldH; NADP-dependent aldehyde dehydrogenase	-0.0	-0.0	0.0	-0.0	0.0
K00146: feaB; phenylacetaldehyde dehydrogenase	-0.0	-0.0	0.0	-0.0	0.0
K00206: phnY; phosphonoacetaldehyde dehydrogenase	-0.0	-0.0	0.0	-0.0	0.0
K00756: pdp; pyrimidine-nucleoside phosphorylase	-0.0	-0.0	0.0	-0.0	0.0
