	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000137.1_1	QGNH01000137.1	QGNH01000137.1	1	2	178	-1	D																Pentapeptide repeats (8 copies) [PF00805.25]								0	False	F
QGNH01000137.1_2	QGNH01000137.1	QGNH01000137.1	2	425	856	-1	E																								0	False	F
QGNH01000137.1_3	QGNH01000137.1	QGNH01000137.1	3	1664	2356	1	E																								0	False	F
QGNH01000137.1_4	QGNH01000137.1	QGNH01000137.1	4	2346	3575	1	C	K06909	phage terminase large subunit	YP_009788260.1	YP_009788260.1 terminase large subunit [Streptomyces phage Raleigh]	False	0.406	277.0	2.005e-80								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Phage terminase large subunit [PF04466.16]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000137.1_5	QGNH01000137.1	QGNH01000137.1	5	3756	3848	1	E																								0	False	F
QGNH01000137.1_6	QGNH01000137.1	QGNH01000137.1	6	3992	4288	1	E																								0	False	F
QGNH01000137.1_7	QGNH01000137.1	QGNH01000137.1	7	4285	4497	1	E																								0	False	F
QGNH01000137.1_8	QGNH01000137.1	QGNH01000137.1	8	4466	5974	1	C	K09961	uncharacterized protein	YP_005098311.1	YP_005098311.1 portal protein [Synechococcus phage S-CBS4]	False	0.294	188.0	3.932e-49								Protein of unknown function (DUF1073) [PF06381.14]					VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
QGNH01000137.1_9	QGNH01000137.1	QGNH01000137.1	9	5982	6920	1	D			YP_009797055.1	YP_009797055.1 head morphogenesis [Faecalibacterium phage FP_Brigit]	False	0.3	120.0	3.027e-28								Phage Mu protein F like protein [PF04233.17]					VOG03910	sp|Q38442|GP7_BPSPP Minor head protein GP7; XhXs	Xh;Xs	0	False	V
QGNH01000137.1_10	QGNH01000137.1	QGNH01000137.1	10	7409	7576	1	E																								0	False	
QGNH01000137.1_11	QGNH01000137.1	QGNH01000137.1	11	7579	8721	1	C	K09960	uncharacterized protein	YP_004327310.1	YP_004327310.1 head maturation protease [Erwinia phage phiEt88]	False	0.339	192.0	1.4e-51								Uncharacterized protein conserved in bacteria (DUF2213) [PF09979.12]					VOG02460	sp|P44180|Y1405_HAEIN Uncharacterized protein HI_1405; Xu	Xu	0	False	
QGNH01000137.1_12	QGNH01000137.1	QGNH01000137.1	12	8760	9530	1	E																								0	False	
QGNH01000137.1_13	QGNH01000137.1	QGNH01000137.1	13	9575	10579	1	D			YP_005098323.1	YP_005098323.1 major head protein [Synechococcus phage S-CBS4]	False	0.423	233.0	2.021e-66								Uncharacterized protein conserved in bacteria (DUF2184) [PF09950.12]					VOG02112	sp|A0A0U5AF03|CAPSD_BPK22 Major capsid protein; Xs	Xs	0	False	V
QGNH01000137.1_14	QGNH01000137.1	QGNH01000137.1	14	10678	11076	1	E																								0	False	
QGNH01000137.1_15	QGNH01000137.1	QGNH01000137.1	15	11079	11525	1	D																Protein of unknown function (DUF4054) [PF13262.9]								0	False	
QGNH01000137.1_16	QGNH01000137.1	QGNH01000137.1	16	11535	11801	1	E																								0	False	
QGNH01000137.1_17	QGNH01000137.1	QGNH01000137.1	17	11801	12292	1	E																					VOG02678	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	
QGNH01000137.1_18	QGNH01000137.1	QGNH01000137.1	18	12289	12636	1	E																					VOG00405	REFSEQ minor head protein; Xu	Xu	0	False	
QGNH01000137.1_19	QGNH01000137.1	QGNH01000137.1	19	12639	12971	1	E																								0	False	
QGNH01000137.1_20	QGNH01000137.1	QGNH01000137.1	20	12968	13492	1	E																					VOG01549	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000137.1_21	QGNH01000137.1	QGNH01000137.1	21	13505	14854	1	D			YP_004327318.1	YP_004327318.1 tail sheath [Erwinia phage phiEt88]	False	0.272	173.0	1.592e-44								Protein of unknown function (DUF3383) [PF11863.11]					VOG03778	REFSEQ tail sheath; Xu	Xu	0	False	
QGNH01000137.1_22	QGNH01000137.1	QGNH01000137.1	22	14875	15312	1	D			YP_009797065.1	YP_009797065.1 virion structural protein [Faecalibacterium phage FP_Brigit]	False	0.433	103.0	1.271e-24								Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]					VOG03723	sp|D6RRG7|ORF10_BPKPP Structural protein ORF10; Xs	Xs	0	False	V
QGNH01000137.1_23	QGNH01000137.1	QGNH01000137.1	23	15354	15794	1	E																					VOG00091	REFSEQ tail assembly chaperone; Xu	Xu	0	False	
QGNH01000137.1_24	QGNH01000137.1	QGNH01000137.1	24	15971	16279	1	E																								0	False	
QGNH01000137.1_25	QGNH01000137.1	QGNH01000137.1	25	16282	17781	1	D			YP_009616303.1	YP_009616303.1 tail length tape measure protein [Rhodobacter phage RcCronus]	False	0.28	111.0	7.383e-24								Prophage tail length tape measure protein [PF06791.16]					VOG02357	REFSEQ tail length tape measure protein; Xu	Xu	0	False	
QGNH01000137.1_26	QGNH01000137.1	QGNH01000137.1	26	17781	18464	1	E			YP_004327322.1	YP_004327322.1 tail fiber protein [Erwinia phage phiEt88]	False	0.318	77.0	1.056e-14													VOG01485	REFSEQ tail fiber protein; Xu	Xu	0	False	
QGNH01000137.1_27	QGNH01000137.1	QGNH01000137.1	27	18466	18786	1	E																					VOG00258	REFSEQ virion structural protein; Xu	Xu	0	False	
QGNH01000137.1_28	QGNH01000137.1	QGNH01000137.1	28	18783	19733	1	E			YP_004327324.1	YP_004327324.1 baseplate hub [Erwinia phage phiEt88]	False	0.276	118.0	1.532e-27													VOG01442	REFSEQ baseplate hub; Xu	Xu	0	False	
QGNH01000137.1_29	QGNH01000137.1	QGNH01000137.1	29	19733	20431	1	D			YP_009855703.1	YP_009855703.1 baseplate spike [Alteromonas phage vB_AmeM_PT11-V22]	False	0.309	94.0	3.105e-20								Phage protein Gp138 N-terminal domain [PF18352.4]					VOG00324	sp|P31340|SPIKE_BPP2 Spike protein; XhXpXs	Xh;Xs;Xp	0	False	V
QGNH01000137.1_30	QGNH01000137.1	QGNH01000137.1	30	20436	21713	1	E			YP_004327326.1	YP_004327326.1 baseplate wedge subunit [Erwinia phage phiEt88]	False	0.372	78.0	6.204e-14																0	False	
QGNH01000137.1_31	QGNH01000137.1	QGNH01000137.1	31	21710	23413	1	D			YP_010766454.1	YP_010766454.1 hypothetical protein QGX12_gp146 [Pseudomonas phage Kremar]	False	0.257	156.0	5.07e-38								Baseplate J-like protein [PF04865.17]					VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xh;Xs	0	False	V
QGNH01000137.1_32	QGNH01000137.1	QGNH01000137.1	32	23417	23998	1	D			YP_009225457.1	YP_009225457.1 hypothetical protein AXI76_gp023 [Pseudoalteromonas phage H101]	False	0.281	72.0	1.774e-13								Protein of unknown function (DUF2612) [PF11041.11]								0	False	
QGNH01000137.1_33	QGNH01000137.1	QGNH01000137.1	33	24021	24695	1	E																								0	False	
QGNH01000137.1_34	QGNH01000137.1	QGNH01000137.1	34	24707	25177	1	D			YP_009592219.1	YP_009592219.1 endolysin [Acinetobacter phage vB_AbaM-IME-AB2]	False	0.425	122.0	5.409e-31								Glycosyl hydrolase 108 [PF05838.15]; Predicted Peptidoglycan domain [PF09374.13]	GH108	GH108 N-acetylmuramidase (EC 3.2.1.17)	3.2.1.17	GH108.hmm	VOG04462	REFSEQ endolysin; Xu	Xu	0	False	
QGNH01000137.1_35	QGNH01000137.1	QGNH01000137.1	35	25203	25508	1	E																								0	False	
QGNH01000137.1_36	QGNH01000137.1	QGNH01000137.1	36	25508	26737	1	E																								0	False	
QGNH01000137.1_37	QGNH01000137.1	QGNH01000137.1	37	26742	26939	1	E																								0	False	
QGNH01000137.1_38	QGNH01000137.1	QGNH01000137.1	38	26968	27417	1	D			YP_010655174.1	YP_010655174.1 holin [Pseudoalteromonas phage TW1]	False	0.395	76.0	3.822e-15								Holin of 3TMs, for gene-transfer release [PF11351.11]					VOG01288	REFSEQ holin; Xu	Xu	0	False	
QGNH01000137.1_39	QGNH01000137.1	QGNH01000137.1	39	27780	28109	-1	E																								0	False	
QGNH01000137.1_40	QGNH01000137.1	QGNH01000137.1	40	28172	28477	-1	E																								0	False	
QGNH01000137.1_41	QGNH01000137.1	QGNH01000137.1	41	28545	28790	-1	E																								0	False	
QGNH01000137.1_42	QGNH01000137.1	QGNH01000137.1	42	28862	30355	-1	D			YP_006561009.1	YP_006561009.1 DNA helicase [Pseudomonas phage MP1412]	False	0.303	257.0	2.6700000000000003e-72								SNF2-related domain [PF00176.26]					VOG00107	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW; Xh	Xh	0	False	
QGNH01000137.1_43	QGNH01000137.1	QGNH01000137.1	43	30336	30494	-1	E																								0	False	
QGNH01000137.1_44	QGNH01000137.1	QGNH01000137.1	44	30503	32035	-1	D			YP_009600201.1	YP_009600201.1 DNA helicase [Dinoroseobacter phage vB_DshS-R5C]	False	0.347	280.0	6.6169999999999994e-80								UvrD/REP helicase N-terminal domain [PF00580.24]; AAA domain [PF13245.9]; UvrD-like helicase C-terminal domain [PF13361.9]; UvrD-like helicase C-terminal domain [PF13538.9]; AAA domain [PF13087.9]; Viral (Superfamily 1) RNA helicase [PF01443.21]					VOG03885	sp|Q9USU3|FBH1_SCHPO F-box DNA helicase protein 1; Xh	Xh	0	False	
QGNH01000137.1_45	QGNH01000137.1	QGNH01000137.1	45	31992	33488	-1	E			YP_009600200.1	YP_009600200.1 primase [Dinoroseobacter phage vB_DshS-R5C]	False	0.23	156.0	2.392e-38																0	False	
