	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000470.1_1	QGNH01000470.1	QGNH01000470.1	1	34	372	1	E																								0	False	F
QGNH01000470.1_2	QGNH01000470.1	QGNH01000470.1	2	372	770	1	E																								0	False	F
QGNH01000470.1_3	QGNH01000470.1	QGNH01000470.1	3	783	1349	1	E			YP_009273339.1	YP_009273339.1 major tail protein [Bacillus phage vB_BhaS-171]	False	0.398	130.0	2.6000000000000003e-33																0	False	F
QGNH01000470.1_4	QGNH01000470.1	QGNH01000470.1	4	1370	1720	1	E																								0	False	F
QGNH01000470.1_5	QGNH01000470.1	QGNH01000470.1	5	1747	2010	1	E																								0	False	F
QGNH01000470.1_6	QGNH01000470.1	QGNH01000470.1	6	2015	3742	1	D			YP_009104264.1	YP_009104264.1 tail length tape measure protein [Idiomarinaceae phage Phi1M2-2]	False	0.403	126.0	1.465e-28								Prophage tail length tape measure protein [PF06791.16]					VOG02357	REFSEQ tail length tape measure protein; Xu	Xu	0	False	F
QGNH01000470.1_7	QGNH01000470.1	QGNH01000470.1	7	3730	4431	1	E			YP_010681864.1	YP_010681864.1 distal tail protein Dit [Streptococcus phage SW4]	False	0.278	91.0	2.743e-19																0	False	F
QGNH01000470.1_8	QGNH01000470.1	QGNH01000470.1	8	4431	6899	1	D			YP_001700584.1	YP_001700584.1 hypothetical protein STM0929.1n.Fels1 [Salmonella phage Fels-1]	False	0.305	169.0	4.693999999999998e-41								BNR repeat-like domain [PF13859.9]; BNR repeat-like domain [PF13088.9]	GH33	GH33 sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); anhydrosialidase (EC 4.2.2.15); Kdo hydrolase (EC 3.2.1.124); 2-keto-3-deoxynononic acid hydrolase / KDNase (EC 3.2.1.-)	2.4.1.-,3.2.1.124,3.2.1.18,3.2.1.40,3.2.1.-	GH33.hmm	VOG11453	REFSEQ sialidase; Xu	Xu	0	False	F
QGNH01000470.1_9	QGNH01000470.1	QGNH01000470.1	9	7011	8018	1	D																Acyltransferase family [PF01757.25]								0	False	
QGNH01000470.1_10	QGNH01000470.1	QGNH01000470.1	10	8103	10019	1	D			YP_009273348.1	YP_009273348.1 minor head protein [Bacillus phage vB_BhaS-171]	False	0.225	166.0	1.099e-40								Prophage endopeptidase tail [PF06605.14]					VOG01294	REFSEQ tail protein; Xu	Xu	0	False	
QGNH01000470.1_11	QGNH01000470.1	QGNH01000470.1	11	10147	10329	1	E																								0	False	
QGNH01000470.1_12	QGNH01000470.1	QGNH01000470.1	12	10567	11007	1	E																								0	False	
QGNH01000470.1_13	QGNH01000470.1	QGNH01000470.1	13	11019	11993	1	C	K07273	lysozyme	YP_009600073.1	YP_009600073.1 endolysin [Geobacillus phage TP-84]	False	0.43	148.0	1.985e-37								Glycosyl hydrolases family 25 [PF01183.23]; Putative peptidoglycan binding domain [PF01471.21]	GH25	GH25 lysozyme (EC 3.2.1.17)	3.2.1.17	GH25.hmm	VOG01249	REFSEQ endolysin; Xu	Xu	0	False	
QGNH01000470.1_14	QGNH01000470.1	QGNH01000470.1	14	12011	12472	1	E																								0	False	
QGNH01000470.1_15	QGNH01000470.1	QGNH01000470.1	15	12706	13017	1	D																Protein of unknown function (DUF3467) [PF11950.11]								0	False	
QGNH01000470.1_16	QGNH01000470.1	QGNH01000470.1	16	13014	13571	1	E																								0	False	
QGNH01000470.1_17	QGNH01000470.1	QGNH01000470.1	17	13771	14307	1	E																								0	False	
QGNH01000470.1_18	QGNH01000470.1	QGNH01000470.1	18	14690	15769	-1	C	K14059	integrase	YP_001974327.1	YP_001974327.1 integrase [Streptococcus phage PH15]	False	0.237	108.0	9.552e-24								Phage integrase family [PF00589.25]					VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	V
QGNH01000470.1_19	QGNH01000470.1	QGNH01000470.1	19	15772	16233	-1	D			YP_009219370.1	YP_009219370.1 metallo-protease (endogenous virus) [Clostridium phage phiCT9441A]	False	0.548	158.0	1.6670000000000001e-43	MER0909320	M78	MER0909320 - family M78 non-peptidase homologues (Clostridium sp. 7_2_43FAA) [M78.UNW]#M78#{peptidase unit: 5-137}~source V9HFH9~	False	61.0	6.061e-10	0.296						VOG01389	REFSEQ metallo-protease; Xu	Xu	0	False	P
QGNH01000470.1_20	QGNH01000470.1	QGNH01000470.1	20	16260	16604	-1	D																Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Cro/C1-type HTH DNA-binding domain [PF13443.9]								0	False	
QGNH01000470.1_21	QGNH01000470.1	QGNH01000470.1	21	16931	17095	1	D																Cysteine-rich KTR [PF14205.9]								0	False	
QGNH01000470.1_22	QGNH01000470.1	QGNH01000470.1	22	17189	17386	1	D			YP_006546323.1	YP_006546323.1 helix-turn-helix domain protein [Thermoanaerobacterium phage THSA-485A]	False	0.561	68.0	3.487e-14								Helix-turn-helix domain [PF12844.10]; Cro/C1-type HTH DNA-binding domain [PF13443.9]								0	False	
